국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,전체수출대비_비중_%
CN,중국,2026-07-01,21681183695,11047812017.0,96.24866590450422,8.393349892122949,21.681183695,21.909237204023867
US,미국,2026-07-01,17474061407,10333446398.0,69.10196979762763,-12.637650928052368,17.474061407,17.65786230444288
VN,베트남,2026-07-01,9933399526,5540385041.0,79.29077947635012,15.359281996715147,9.933399526,10.037883978985045
HK,홍콩,2026-07-01,6654371934,2348328710.0,183.3662896366838,-26.83494844999059,6.654371934,6.72436593853623
TW,대만,2026-07-01,5677909773,4652836226.0,22.031154702413545,-31.780277742135098,5.677909773,5.737632861271798
NL,네덜란드,2026-07-01,3108773450,969713716.0,220.58672561871856,122.94280594425442,3.10877345,3.14147308042637
JP,일본,2026-07-01,2753565356,2483646324.0,10.86785301883426,-1.5775522894642013,2.753565356,2.7825287304446884
IN,인도,2026-07-01,2583451093,1781514346.0,45.01433001651507,22.76741841579355,2.583451093,2.610625120739365
MY,말레이시아,2026-07-01,2579527974,1049176580.0,145.8621382875321,4.9561365536408,2.579527974,2.6066607364160848
SG,싱가포르,2026-07-01,2441076593,1795828527.0,35.93038290119554,-22.461860808644595,2.441076593,2.466753054703429
PH,필리핀,2026-07-01,1858304117,1048523588.0,77.23054953342643,-5.841147128515578,1.858304117,1.8778506869971485
AU,호주,2026-07-01,1806271070,1203119363.0,50.1323248173839,-12.069017156812912,1.80627107,1.82527033044429
MX,멕시코,2026-07-01,1329957723,1075293903.0,23.68318273632024,-15.27143701295518,1.329957723,1.3439468819799818
CA,캐나다,2026-07-01,1050797560,802649378.0,30.91613708320846,-9.992250784195623,1.05079756,1.061850373084508
TH,태국,2026-07-01,1034388327,690457711.0,49.811974074687384,-1.671440025216353,1.034388327,1.0452685395835999
DE,독일,2026-07-01,1016033096,694524594.0,46.29188149383232,15.339684740593595,1.016033096,1.0267202391046737
PL,폴란드,2026-07-01,985560474,660892427.0,49.12570241934395,-11.034506064814508,0.985560474,0.9959270908606264
GB,영국,2026-07-01,902380572,719584021.0,25.403086459030753,22.680712358989584,0.902380572,0.9118722611445841
TR,튀르키예,2026-07-01,872171558,884254391.0,-1.3664430873038258,-7.0672757177229535,0.872171558,0.8813454936610213
