국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러
GH,가나,2025-01-01,17112799,,,,0.017112799
GH,가나,2025-02-01,30086211,,,75.81116332868748,0.030086211
GH,가나,2025-03-01,23198521,,,-22.893178539497715,0.023198521
GH,가나,2025-04-01,28315390,,,22.056875953428246,0.02831539
GH,가나,2025-05-01,13751195,,,-51.43561504891863,0.013751195
GH,가나,2025-06-01,17429770,,,26.750947826716143,0.01742977
GH,가나,2025-07-01,24077571,,,38.140497551029064,0.024077571
GH,가나,2025-08-01,19808081,,,-17.73222888637729,0.019808081
GH,가나,2025-09-01,31014267,,,56.57380944676065,0.031014267
GH,가나,2025-10-01,21043549,,,-32.148810739263965,0.021043549
GH,가나,2025-11-01,17147062,,,-18.51630159912665,0.017147062
GH,가나,2025-12-01,31124417,,,81.51457666625336,0.031124417
GH,가나,2026-01-01,20492081,17112799.0,19.747102738716205,-34.16075552515569,0.020492081
GH,가나,2026-02-01,23267387,30086211.0,-22.664282983324156,13.54330973023188,0.023267387
GH,가나,2026-03-01,20310597,23198521.0,-12.448741883157123,-12.707873041351824,0.020310597
GH,가나,2026-04-01,24274046,28315390.0,-14.27260581613038,19.51419251733466,0.024274046
GH,가나,2026-05-01,22868282,13751195.0,66.30032517173963,-5.791222443922206,0.022868282
GH,가나,2026-06-01,33533486,17429770.0,92.39201664737975,46.637539278202,0.033533486
GH,가나,2026-07-01,32236432,24077571.0,33.88573124755816,-3.867936664860905,0.032236432
GA,가봉,2025-01-01,1382028,,,,0.001382028
GA,가봉,2025-02-01,1229125,,,-11.063668753455069,0.001229125
GA,가봉,2025-03-01,1950663,,,58.70338655547647,0.001950663
GA,가봉,2025-04-01,1774358,,,-9.038209060201584,0.001774358
GA,가봉,2025-05-01,1601997,,,-9.713992328492893,0.001601997
GA,가봉,2025-06-01,1373532,,,-14.261262661540563,0.001373532
GA,가봉,2025-07-01,2714538,,,97.63194450511527,0.002714538
GA,가봉,2025-08-01,2105458,,,-22.437703948148823,0.002105458
GA,가봉,2025-09-01,2053565,,,-2.4646893929966773,0.002053565
GA,가봉,2025-10-01,2137724,,,4.098190220421549,0.002137724
GA,가봉,2025-11-01,1486695,,,-30.454305607272037,0.001486695
GA,가봉,2025-12-01,1662136,,,11.800739223579825,0.001662136
GA,가봉,2026-01-01,1514747,1382028.0,9.603206302621947,-8.86744526320349,0.001514747
GA,가봉,2026-02-01,1363809,1229125.0,10.95771382080748,-9.964568340455537,0.001363809
GA,가봉,2026-03-01,1891501,1950663.0,-3.0329175259898866,38.69251486095193,0.001891501
