국가코드,국가,기준월,수출건수,수출액_USD,수입건수,수입액_USD,무역수지_USD
US,미국,2025-01-01,193178,9282566788,1416582,5839340836,3443225952
CN,중국,2025-01-01,91388,9204172269,1225173,11208793314,-2004621045
VN,베트남,2025-01-01,57209,4356972160,145132,2564726980,1792245180
TW,대만,2025-01-01,34078,2438188048,20022,2227887479,210300569
JP,일본,2025-01-01,146929,2363796881,344783,3587345310,-1223548429
HK,홍콩,2025-01-01,18142,1685484400,145075,183373107,1502111293
IN,인도,2025-01-01,18165,1463920945,10408,535824122,928096823
SG,싱가포르,2025-01-01,42253,1162019513,18404,1027832377,134187136
MX,멕시코,2025-01-01,15031,947164179,6035,767988631,179175548
MY,말레이시아,2025-01-01,26784,921581753,10823,1350979097,-429397344
AU,호주,2025-01-01,15080,909426750,46098,2906681767,-1997255017
PH,필리핀,2025-01-01,25805,880737363,5154,229072218,651665145
DE,독일,2025-01-01,12862,769583494,182280,1389601463,-620017969
PL,폴란드,2025-01-01,5877,765206162,2266,80692734,684513428
MH,마샬군도,2025-01-01,26,737986093,19,57178,737928915
CA,캐나다,2025-01-01,18111,734752287,35388,542674072,192078215
TR,튀르키예,2025-01-01,14543,662302204,2556,108219422,554082782
TH,태국,2025-01-01,17639,624224814,42817,460643382,163581432
GB,영국,2025-01-01,16092,556946982,29145,332880539,224066443
ID,인도네시아,2025-01-01,12319,551655213,8931,1114628902,-562973689
FR,프랑스,2025-01-01,6309,476678490,19289,482944618,-6266128
NL,네덜란드,2025-01-01,8910,458101813,5392,484396805,-26294992
LR,라이베리아,2025-01-01,57,457792875,29,9669,457783206
BR,브라질,2025-01-01,7368,405356891,1627,687723211,-282366320
IT,이탈리아,2025-01-01,5694,336927313,28493,461176932,-124249619
AE,아랍에미리트 연합,2025-01-01,8682,329442024,460,1456901196,-1127459172
BE,벨기에,2025-01-01,2372,312584293,2247,124648943,187935350
SA,사우디아라비아,2025-01-01,3714,291910343,468,2482498250,-2190587907
CZ,체코공화국,2025-01-01,2422,281161290,3582,78232255,202929035
HU,헝가리,2025-01-01,1825,254477023,1155,56487214,197989809
DK,덴마크,2025-01-01,1309,253412744,1756,137875392,115537352
ES,스페인,2025-01-01,3984,242347682,9360,225942176,16405506
RU,러시아 연방,2025-01-01,4709,223133772,1140,501821551,-278687779
KZ,카자흐스탄,2025-01-01,3714,194103721,50,12325186,181778535
MT,몰타,2025-01-01,195,181194201,116,16983535,164210666
IL,이스라엘,2025-01-01,3065,175268137,1508,136295600,38972537
SK,슬로바키아,2025-01-01,1506,170924255,1136,55393409,115530846
NZ,뉴질랜드,2025-01-01,2848,139315474,31775,102112404,37203070
CL,칠레,2025-01-01,2119,123920256,1456,366209458,-242289202
KG,키르기스스탄,2025-01-01,5567,114483826,11,1225930,113257896
BS,바하마,2025-01-01,40,113267669,1,493,113267176
UZ,우즈베키스탄,2025-01-01,1455,110091202,61,1165748,108925454
PK,파키스탄,2025-01-01,1484,107100732,571,38185839,68914893
CH,스위스,2025-01-01,2147,101420663,3507,280292476,-178871813
IQ,이라크,2025-01-01,733,99544684,80,791999585,-692454901
BD,방글라데시,2025-01-01,2319,99099948,1501,52091818,47008130
SE,스웨덴,2025-01-01,1436,96082640,2789,155453889,-59371249
EG,이집트,2025-01-01,2228,91577613,270,5990329,85587284
AO,앙골라,2025-01-01,97,78319777,2,30704,78289073
PA,파나마,2025-01-01,899,77923646,78,2905951,75017695
IE,아일랜드,2025-01-01,914,76335641,975,106541801,-30206160
QA,카타르,2025-01-01,908,73034059,200,1414195011,-1341160952
CO,콜롬비아,2025-01-01,1228,66485795,1158,95564399,-29078604
OM,오만,2025-01-01,993,65013103,60,499520151,-434507048
SI,슬로베니아,2025-01-01,637,63883078,294,6459449,57423629
AT,오스트리아,2025-01-01,2179,62081514,1611,112985931,-50904417
PY,파라과이,2025-01-01,122,58354480,22,543869,57810611
PT,포루투갈,2025-01-01,1011,56927732,4249,37262388,19665344
JO,요르단,2025-01-01,2013,55723382,100,4693296,51030086
KH,캄보디아,2025-01-01,1812,49598669,1020,41983513,7615156
FI,핀란드,2025-01-01,749,45115522,1038,74099175,-28983653
GU,괌,2025-01-01,535,43488239,49,479617,43008622
RO,루마니아,2025-01-01,1059,41323267,3403,47514315,-6191048
NG,나이지리아,2025-01-01,851,41085566,54,79947784,-38862218
PE,페루,2025-01-01,1146,40437898,791,257595889,-217157991
ZA,남아프리카공화국,2025-01-01,1406,39934581,310,263378295,-223443714
KW,쿠웨이트,2025-01-01,699,35753099,64,802321808,-766568709
NO,노르웨이,2025-01-01,772,34938711,1928,124259439,-89320728
PR,푸에르토리코,2025-01-01,364,34893762,116,11880194,23013568
UA,우크라이나,2025-01-01,775,33059806,167,31660879,1398927
LY,리비아,2025-01-01,9568,31688929,16,1662380,30026549
MN,몽골,2025-01-01,2280,31639167,1311,2670991,28968176
LA,라오스,2025-01-01,192,29884981,217,25016397,4868584
LT,리투아니아,2025-01-01,413,29687011,480,6614692,23072319
GR,그리스,2025-01-01,994,27196412,382,93660330,-66463918
AR,아르헨티나,2025-01-01,766,27035269,364,121717914,-94682645
MM,미얀마,2025-01-01,776,23365844,2256,41918520,-18552676
SV,엘살바도르,2025-01-01,187,21022855,97,3379847,17643008
MA,모로코,2025-01-01,376,20647032,360,13057305,7589727
EC,에쿠아도르,2025-01-01,363,20629980,207,11809914,8820066
DZ,알제리,2025-01-01,247,20215696,28,455392241,-435176545
GT,과테말라,2025-01-01,729,18323773,182,7332014,10991759
DO,도미니카 공화국,2025-01-01,475,18160181,122,8736736,9423445
GH,가나,2025-01-01,746,17112799,22,6487175,10625624
LK,스리랑카,2025-01-01,700,16795993,461,9978658,6817335
TJ,타지크,2025-01-01,2307,15873345,0,0,15873345
AL,알바니아,2025-01-01,1112,14910996,79,865588,14045408
CR,코스타리카,2025-01-01,856,13469713,363,9121425,4348288
BG,불가리아,2025-01-01,458,12897979,842,25741185,-12843206
SL,시에라 리온,2025-01-01,23,12106161,15,1361763,10744398
HN,온두라스,2025-01-01,373,11511870,74,1740225,9771645
TZ,탄자니아,2025-01-01,302,11466446,31,8240157,3226289
AZ,아제르바이잔,2025-01-01,577,11039680,8,394096,10645584
KE,케냐,2025-01-01,281,10638341,68,3422542,7215799
CI,코트디봐르,2025-01-01,134,10506655,33,17354577,-6847922
RS,세르비아,2025-01-01,244,10497990,150,8121372,2376618
UY,우루과이,2025-01-01,151,10208189,61,20242606,-10034417
GE,조지아,2025-01-01,434,9882905,102,614955,9267950
TN,튀니지,2025-01-01,143,9342246,587,7354893,1987353
IR,이란,2025-01-01,194,8821420,12,216916,8604504
ET,에티오피아,2025-01-01,64,8576826,262,7518179,1058647
ZZ,기타국,2025-01-01,84,8412290,679,28380209,-19967919
HR,크로아티아,2025-01-01,186,8313154,122,1495818,6817336
DJ,지부티,2025-01-01,51,8239363,1,40885,8198478
TM,투르크멘,2025-01-01,15,8048919,0,225,8048694
EE,에스토니아,2025-01-01,285,7672612,263,7483169,189443
BN,브루나이,2025-01-01,134,7582455,13,2360221,5222234
LB,레바논,2025-01-01,186,6331708,46,1190611,5141097
PG,파푸아 뉴기니,2025-01-01,77,6289946,28,151529962,-145240016
SN,세네갈,2025-01-01,440,6057593,41,3024010,3033583
MD,몰도바,2025-01-01,140,5795514,292,5203056,592458
MZ,모잠비크,2025-01-01,54,5667394,15,37752956,-32085562
SD,수단,2025-01-01,30,5434438,0,4,5434434
BH,바레인,2025-01-01,244,5241635,69,73454788,-68213153
GY,가이아나,2025-01-01,89,4547326,3,48584,4498742
TT,트리니다드 토바고,2025-01-01,70,4260668,42,13539769,-9279101
BY,벨라루스,2025-01-01,155,4245481,19,915772,3329709
LV,라트비아,2025-01-01,201,4146123,302,9366712,-5220589
NI,니카라과,2025-01-01,126,4109352,31,1231399,2877953
IS,아이슬란드,2025-01-01,120,4080380,39,832183,3248197
LU,룩셈부르그,2025-01-01,155,3797888,202,10126152,-6328264
WS,사모아,2025-01-01,13,3370274,0,0,3370274
CG,콩고,2025-01-01,81,3367276,3,613710,2753566
MU,모리셔스,2025-01-01,120,3236658,15,187731,3048927
SS,남수단,2025-01-01,7,3218520,0,107,3218413
YE,예맨,2025-01-01,280,3125394,41,6429056,-3303662
FJ,피지,2025-01-01,80,2996571,15,159869,2836702
GN,기니,2025-01-01,264,2955140,36,3972423,-1017283
JM,자마이카,2025-01-01,58,2841178,8,76946,2764232
CY,사이프러스,2025-01-01,217,2699574,33,1233967,1465607
VE,베네주엘라,2025-01-01,70,2638295,6,439434,2198861
RE,불령 리유니온 코모도 제도,2025-01-01,40,2509851,0,0,2509851
BO,볼리비아,2025-01-01,69,2489683,12,71833735,-69344052
AF,아프카니스탄,2025-01-01,77,2427495,10,98401,2329094
SY,시리아,2025-01-01,203,2043262,1,6102,2037160
AW,아루바,2025-01-01,50,2027227,0,0,2027227
NP,네팔,2025-01-01,212,1974005,86,563676,1410329
MG,마다카스카르,2025-01-01,183,1797690,123,6259269,-4461579
MQ,마티니크,2025-01-01,23,1769183,1,5596,1763587
BZ,벨리제,2025-01-01,10,1763130,0,0,1763130
TG,토고,2025-01-01,81,1735501,13,850116,885385
CM,카메룬,2025-01-01,93,1651009,12,481343,1169666
BJ,베닝,2025-01-01,26,1573205,1,37203,1536002
RW,르완다,2025-01-01,182,1559797,9,279446,1280351
NE,니제르,2025-01-01,3,1513439,2,5843,1507596
BF,부르키나 파소,2025-01-01,11,1472226,1,56054,1416172
GA,가봉,2025-01-01,278,1382028,1,78541,1303487
AM,아르메니아,2025-01-01,64,1310088,232,4791321,-3481233
HT,아이티,2025-01-01,22,1272981,3,1761,1271220
ZM,잠비아,2025-01-01,52,1168280,2,4441260,-3272980
MP,북마리아나 군도,2025-01-01,148,1145046,2,26098,1118948
PF,불령 폴리네시아,2025-01-01,45,1098225,4,160152,938073
ZW,짐바브웨,2025-01-01,20,1056132,8,672640,383492
SO,소말리아,2025-01-01,26,1054358,3,374192,680166
ML,말리,2025-01-01,12,1046520,3,103806,942714
CD,콩고민주공화국,2025-01-01,21,1037382,44,87133943,-86096561
CW,큐라소,2025-01-01,43,1025609,1,18420,1007189
MF,세인트 마틴,2025-01-01,14,1005869,0,0,1005869
GP,과델로프,2025-01-01,15,1005741,0,0,1005741
PS,팔레스타인 해방기구,2025-01-01,8,918079,0,0,918079
SR,수리남,2025-01-01,22,913833,12,776873,136960
MO,마카오,2025-01-01,172,867392,28,93301,774091
BM,버뮤다,2025-01-01,10,784597,2,680,783917
FM,마이크로네시아,2025-01-01,50,704851,2,29158,675693
VU,바누아투,2025-01-01,35,649492,7,625211,24281
UG,우간다,2025-01-01,33,623073,20,763114,-140041
TV,투발루,2025-01-01,6,610241,1,2078,608163
SB,솔로몬 군도,2025-01-01,15,604874,1,17,604857
PW,팔라우,2025-01-01,16,596642,2,24367,572275
BI,부룬디,2025-01-01,7,594150,0,14,594136
BT,부탄,2025-01-01,37,590179,5,1579932,-989753
KI,키리바티,2025-01-01,46,537616,0,0,537616
LI,리히텐슈타인,2025-01-01,14,527820,44,962335,-434515
BW,보츠와나,2025-01-01,11,503244,4,51349,451895
ME,몬테네그로,2025-01-01,7,479940,4,2383,477557
MR,모리타니,2025-01-01,39,461957,10,1502965,-1041008
BA,보스니아-헤르체고비나,2025-01-01,43,461052,61,2822769,-2361717
BB,바베이도스,2025-01-01,17,424095,9,83503,340592
MV,몰디브,2025-01-01,77,411643,2,1691,409952
AS,아메리칸 사모아,2025-01-01,10,395190,2,151841,243349
GD,그레나다,2025-01-01,5,366571,1,735,365836
CV,카보 베르데,2025-01-01,4,316669,0,82,316587
NA,나미비아,2025-01-01,22,298322,3,66695,231627
LC,세인트 루시아,2025-01-01,8,275362,0,0,275362
AG,안티가 바부다,2025-01-01,7,275187,0,0,275187
GM,감비아,2025-01-01,74,257178,13,876592,-619414
MK,마세도니아,2025-01-01,39,241773,17,845053,-603280
KY,영령 캐이맨 군도,2025-01-01,12,240809,0,0,240809
GQ,적도 기니,2025-01-01,10,236782,1,81506,155276
CU,쿠바,2025-01-01,15,229399,5,928191,-698792
NC,뉴 칼레도니아,2025-01-01,35,181643,9,20047202,-19865559
GF,불령 가이아나,2025-01-01,9,171448,0,0,171448
VG,영령 버진군도,2025-01-01,2,162401,0,0,162401
SC,세이쉘,2025-01-01,16,162149,6,203019,-40870
VC,세인트 빈센트 그레나딘,2025-01-01,3,152943,0,0,152943
SZ,스와질랜드,2025-01-01,8,150628,14,51912,98716
DM,도미니카,2025-01-01,4,123810,3,18268,105542
TC,투르크 & 카이코스 군도,2025-01-01,7,108139,0,0,108139
YT,메요트,2025-01-01,1,89413,0,0,89413
GW,기네비소,2025-01-01,3,72617,5,149211,-76594
MW,말라위,2025-01-01,7,68980,9,1549716,-1480736
KN,세인트 키츠 네비스,2025-01-01,2,60178,2,599,59579
TL,티모르,2025-01-01,4,27765,4,2457,25308
AN,네덜란드 열도,2025-01-01,7,26982,1,52,26930
MC,모나코,2025-01-01,1,20891,7,215222,-194331
CF,중앙아프리카공화국,2025-01-01,2,19864,1,27872,-8008
TD,챠드,2025-01-01,2,18022,1,89,17933
GI,지브랄타,2025-01-01,11,15869,0,0,15869
TO,통가,2025-01-01,1,11966,1,14932,-2966
SX,세인트마틴(생마르탱),2025-01-01,5,7845,1,37,7808
BL,세인트 바르탤르미,2025-01-01,2,5937,0,13834,-7897
GL,그린랜드,2025-01-01,1,2506,3,282235,-279729
VA,교황청,2025-01-01,6,1854,0,0,1854
KM,코모로스,2025-01-01,2,1731,1,1913,-182
AI,앙귈라,2025-01-01,1,1160,0,0,1160
ER,에리트리아,2025-01-01,1,1084,0,0,1084
VI,미령 버진군도,2025-01-01,7,1019,0,0,1019
MS,몬트세라트,2025-01-01,2,557,0,0,557
GG,건지,2025-01-01,4,415,0,0,415
JE,저어지,2025-01-01,2,246,1,480,-234
WF,왈라스 & 퓨투나 군도,2025-01-01,1,4,0,0,4
BQ,보네르 신트외스타티위스,2025-01-01,0,0,1,8408,-8408
TF,불령 남부지역,2025-01-01,0,0,0,46,-46
ST,상토메 프린스페,2025-01-01,0,0,0,74,-74
IM,맨섬,2025-01-01,0,0,1,12,-12
AD,안도라,2025-01-01,0,0,1,1619,-1619
CX,크리스마스 아일랜드,2025-01-01,0,0,0,1177,-1177
TK,토켈라우,2025-01-01,0,0,1,129121,-129121
SM,산마리노,2025-01-01,0,0,14,210054,-210054
NR,나우루,2025-01-01,0,0,1,4504430,-4504430
NU,니우에,2025-01-01,0,0,1,148,-148
CK,쿡 아일랜드,2025-01-01,0,0,1,1100,-1100
LS,레소토,2025-01-01,0,0,3,5697,-5697
CC,코스 군도,2025-01-01,0,0,1,98,-98
PN,피트카이른,2025-01-01,0,0,1,13348,-13348
IO,영령 인도양,2025-01-01,0,0,1,91,-91
US,미국,2025-02-01,212449,9889640386,1498316,5739597567,4150042819
CN,중국,2025-02-01,94365,9505605066,1181232,9485141464,20463602
VN,베트남,2025-02-01,63933,4733817757,135250,2264974405,2468843352
TW,대만,2025-02-01,36733,2751970053,20802,2396498193,355471860
JP,일본,2025-02-01,149826,2265013927,399594,4192447648,-1927433721
HK,홍콩,2025-02-01,20299,1888439729,154904,451335046,1437104683
SG,싱가포르,2025-02-01,46551,1629459571,23932,867679429,761780142
IN,인도,2025-02-01,20499,1595804410,12512,539824960,1055979450
MY,말레이시아,2025-02-01,27843,1033843641,11935,1379681367,-345837726
AU,호주,2025-02-01,17275,991920941,42774,2340709198,-1348788257
MX,멕시코,2025-02-01,16638,961377566,7145,640039041,321338525
TR,튀르키예,2025-02-01,17137,852894976,2702,84604879,768290097
CA,캐나다,2025-02-01,19742,816900210,38528,443162767,373737443
PH,필리핀,2025-02-01,26209,727944622,6128,272119814,455824808
PL,폴란드,2025-02-01,6878,725083058,2253,67332713,657750345
DE,독일,2025-02-01,14303,709873650,194856,1659253129,-949379479
ID,인도네시아,2025-02-01,13940,674768217,10139,985493836,-310725619
TH,태국,2025-02-01,19054,668576738,53786,610306315,58270423
NL,네덜란드,2025-02-01,9967,578872305,5506,746248577,-167376272
AE,아랍에미리트 연합,2025-02-01,10669,501213734,645,1379016972,-877803238
GB,영국,2025-02-01,17431,481862923,24379,358048304,123814619
BR,브라질,2025-02-01,8612,427286585,2068,473438089,-46151504
IT,이탈리아,2025-02-01,6427,375759766,32077,588205245,-212445479
SA,사우디아라비아,2025-02-01,4272,358306037,476,2366254386,-2007948349
MH,마샬군도,2025-02-01,34,355701444,9,212756,355488688
BE,벨기에,2025-02-01,2597,334877889,2388,85547603,249330286
HU,헝가리,2025-02-01,2172,331912909,1555,85966619,245946290
CZ,체코공화국,2025-02-01,2885,304913481,4066,90349804,214563677
RU,러시아 연방,2025-02-01,6859,297090636,1407,485544202,-188453566
FR,프랑스,2025-02-01,6777,291311145,24619,818432044,-527120899
ES,스페인,2025-02-01,4629,280928145,10388,174612897,106315248
DK,덴마크,2025-02-01,1434,254829979,2233,118444164,136385815
KZ,카자흐스탄,2025-02-01,5001,247640956,63,15414003,232226953
LR,라이베리아,2025-02-01,83,245797726,31,606893,245190833
SK,슬로바키아,2025-02-01,1742,226628571,1422,57491270,169137301
IL,이스라엘,2025-02-01,4323,218569507,1726,102612075,115957432
NZ,뉴질랜드,2025-02-01,3262,215910794,28109,125458599,90452195
KG,키르기스스탄,2025-02-01,8953,211145509,5,35119,211110390
BM,버뮤다,2025-02-01,14,208775051,1,349,208774702
BD,방글라데시,2025-02-01,2472,156177459,1626,64352722,91824737
UZ,우즈베키스탄,2025-02-01,1916,144963951,77,2296585,142667366
CH,스위스,2025-02-01,2256,137332665,4483,350839765,-213507100
IQ,이라크,2025-02-01,1024,125243539,82,929492499,-804248960
CL,칠레,2025-02-01,2452,119174486,1219,260064274,-140889788
EG,이집트,2025-02-01,2502,117239072,239,5044859,112194213
PK,파키스탄,2025-02-01,1609,95916574,616,20904188,75012386
PT,포루투갈,2025-02-01,1190,95111722,4023,41018765,54092957
SE,스웨덴,2025-02-01,1633,94041026,3323,152857704,-58816678
PA,파나마,2025-02-01,1118,93073646,82,2298176,90775470
IE,아일랜드,2025-02-01,1031,88660355,1082,123581408,-34921053
CO,콜롬비아,2025-02-01,1394,81118840,1284,158312738,-77193898
AT,오스트리아,2025-02-01,2396,80398723,2096,116530910,-36132187
QA,카타르,2025-02-01,1059,77863094,148,827629673,-749766579
SI,슬로베니아,2025-02-01,736,74104516,374,11771738,62332778
KW,쿠웨이트,2025-02-01,743,62742385,71,575332100,-512589715
JO,요르단,2025-02-01,2853,60293368,90,2114080,58179288
KH,캄보디아,2025-02-01,2306,53392996,1063,40013417,13379579
PE,페루,2025-02-01,1279,52077611,686,228380034,-176302423
RO,루마니아,2025-02-01,1389,48663334,2836,36618104,12045230
MN,몽골,2025-02-01,3235,48646772,991,1233634,47413138
GR,그리스,2025-02-01,1225,48243786,452,13753779,34490007
NG,나이지리아,2025-02-01,1068,46712817,56,69543055,-22830238
ZA,남아프리카공화국,2025-02-01,1717,45008101,304,247938147,-202930046
UA,우크라이나,2025-02-01,1001,44989831,149,8526989,36462842
LY,리비아,2025-02-01,12212,42468597,16,1627023,40841574
LT,리투아니아,2025-02-01,550,39425356,518,7664778,31760578
PR,푸에르토리코,2025-02-01,426,37395787,118,29100915,8294872
DZ,알제리,2025-02-01,336,33668613,28,295859826,-262191213
AR,아르헨티나,2025-02-01,822,33454792,342,77921553,-44466761
FI,핀란드,2025-02-01,795,33202906,1106,82860661,-49657755
EC,에쿠아도르,2025-02-01,528,32766776,281,6755291,26011485
MA,모로코,2025-02-01,404,32211688,360,23832057,8379631
GH,가나,2025-02-01,933,30086211,47,14213615,15872596
FJ,피지,2025-02-01,93,29798612,8,331934,29466678
CR,코스타리카,2025-02-01,650,29745476,414,22657245,7088231
TJ,타지크,2025-02-01,2529,26320570,2,7724,26312846
NO,노르웨이,2025-02-01,949,25659970,2296,114509965,-88849995
KE,케냐,2025-02-01,358,23598303,114,3075209,20523094
MM,미얀마,2025-02-01,828,23401991,1896,58360689,-34958698
AL,알바니아,2025-02-01,1629,22215699,70,582771,21632928
OM,오만,2025-02-01,1100,21099843,58,199234302,-178134459
GT,과테말라,2025-02-01,598,18939838,215,5758208,13181630
RS,세르비아,2025-02-01,299,18433233,178,9965051,8468182
SV,엘살바도르,2025-02-01,220,17895215,118,2939467,14955748
CI,코트디봐르,2025-02-01,245,17716579,30,14983546,2733033
LK,스리랑카,2025-02-01,745,16925817,493,10224259,6701558
TZ,탄자니아,2025-02-01,342,16583819,43,4728481,11855338
DO,도미니카 공화국,2025-02-01,503,16311127,146,5306516,11004611
TN,튀니지,2025-02-01,135,15960190,677,8728530,7231660
AZ,아제르바이잔,2025-02-01,619,14455587,6,26975,14428612
BH,바레인,2025-02-01,295,14305019,63,66153004,-51847985
BG,불가리아,2025-02-01,610,14142284,796,9640326,4501958
GE,조지아,2025-02-01,505,13379878,64,523590,12856288
IR,이란,2025-02-01,230,11881671,17,44308,11837363
UY,우루과이,2025-02-01,146,11739751,54,4824273,6915478
SN,세네갈,2025-02-01,538,11312102,34,2211929,9100173
LA,라오스,2025-02-01,194,10721791,189,8335569,2386222
PY,파라과이,2025-02-01,139,9868796,38,1571230,8297566
HN,온두라스,2025-02-01,338,9706595,115,4468416,5238179
HR,크로아티아,2025-02-01,231,9279874,139,1264276,8015598
MT,몰타,2025-02-01,264,9096205,106,14677907,-5581702
SY,시리아,2025-02-01,946,8966484,2,5006,8961478
ET,에티오피아,2025-02-01,59,8676032,345,8810640,-134608
LB,레바논,2025-02-01,216,8183713,64,1748925,6434788
IS,아이슬란드,2025-02-01,156,8050825,46,765359,7285466
NA,나미비아,2025-02-01,30,7765857,2,657,7765200
CY,사이프러스,2025-02-01,253,7556355,30,335141,7221214
EE,에스토니아,2025-02-01,333,7525572,278,8931235,-1405663
GU,괌,2025-02-01,596,7382910,58,721250,6661660
BY,벨라루스,2025-02-01,168,6724968,22,1394699,5330269
MD,몰도바,2025-02-01,222,6576225,245,4653189,1923036
PG,파푸아 뉴기니,2025-02-01,70,6202711,35,25360372,-19157661
ZZ,기타국,2025-02-01,104,5724546,775,12761279,-7036733
CG,콩고,2025-02-01,72,5542818,3,301012,5241806
YE,예맨,2025-02-01,312,5209809,62,8809505,-3599696
LV,라트비아,2025-02-01,234,5051079,338,8700182,-3649103
NI,니카라과,2025-02-01,129,5029123,34,6027971,-998848
BN,브루나이,2025-02-01,130,4905389,9,20331,4885058
WS,사모아,2025-02-01,38,4852585,1,100,4852485
TM,투르크멘,2025-02-01,39,4220469,0,0,4220469
BJ,베닝,2025-02-01,52,3765290,2,21,3765269
VE,베네주엘라,2025-02-01,108,3502203,8,230726,3271477
MU,모리셔스,2025-02-01,159,3484920,18,326339,3158581
AO,앙골라,2025-02-01,108,3354132,1,37,3354095
MZ,모잠비크,2025-02-01,50,3293125,16,52603320,-49310195
LU,룩셈부르그,2025-02-01,167,3231760,218,9055628,-5823868
TT,트리니다드 토바고,2025-02-01,77,3201844,39,36615098,-33413254
JM,자마이카,2025-02-01,61,3055394,9,448095,2607299
BO,볼리비아,2025-02-01,73,2920225,23,99187387,-96267162
SS,남수단,2025-02-01,4,2837586,2,18232,2819354
SD,수단,2025-02-01,35,2697066,0,0,2697066
BF,부르키나 파소,2025-02-01,15,2640384,3,95,2640289
AW,아루바,2025-02-01,83,2553934,2,24074,2529860
TG,토고,2025-02-01,99,2544691,10,547367,1997324
MG,마다카스카르,2025-02-01,260,2518752,109,11440922,-8922170
CM,카메룬,2025-02-01,83,2352179,11,3491448,-1139269
DJ,지부티,2025-02-01,39,2346649,0,0,2346649
NP,네팔,2025-02-01,197,2325322,106,731368,1593954
UG,우간다,2025-02-01,32,2063586,21,3275092,-1211506
GD,그레나다,2025-02-01,16,2032550,0,0,2032550
GQ,적도 기니,2025-02-01,23,2019549,0,0,2019549
RW,르완다,2025-02-01,233,2013441,6,267080,1746361
PF,불령 폴리네시아,2025-02-01,43,2010820,0,0,2010820
