국가코드,국가,비교기간,2025_YTD_USD,2026_YTD_USD,2025_YTD_bn,2026_YTD_bn,YTD_YoY_%,YTD_증감액_bn,YTD_전체수출대비_비중_%
CN,중국,1-7월,71555436742,121223950218,71.555436742,121.223950218,69.41263408828682,49.668513476,20.371621784603445
US,미국,1-7월,72466127380,110947444076,72.46612738,110.947444076,53.10248813795519,38.481316696,18.644660272332143
VN,베트남,1-7월,34666455643,54367349092,34.666455643,54.367349092,56.82984626949623,19.700893449,9.136404738024057
HK,홍콩,1-7월,17156375012,44931428431,17.156375012,44.931428431,161.89348507229985,27.775053419,7.550703178639674
TW,대만,1-7월,25088074932,41055121782,25.088074932,41.055121782,63.64396986726921,15.96704685,6.899291862372847
JP,일본,1-7월,16387991424,18730677247,16.387991424,18.730677247,14.295136984079493,2.342685823,3.147680569385562
SG,싱가포르,1-7월,11047603198,16360262782,11.047603198,16.360262782,48.08879798436077,5.312659584,2.7493336514135485
IN,인도,1-7월,11244397088,14450689258,11.244397088,14.450689258,28.514576147633107,3.20629217,2.4284308138895807
AU,호주,1-7월,7659064020,13365877211,7.65906402,13.365877211,74.51058218207713,5.706813191,2.2461287136105224
MY,말레이시아,1-7월,6911888657,12172810472,6.911888657,12.172810472,76.11409957641627,5.260921815,2.0456344686449817
PH,필리핀,1-7월,6333782166,11297021168,6.333782166,11.297021168,78.36137827162526,4.963239002,1.8984585316126976
NL,네덜란드,1-7월,5084092586,10033798195,5.084092586,10.033798195,97.35671656786779,4.949705609,1.686174568012267
MX,멕시코,1-7월,7016408122,9256801532,7.016408122,9.256801532,31.930773852439252,2.24039341,1.5556006829172024
CA,캐나다,1-7월,6034016290,7589136667,6.03401629,7.589136667,25.7725584794535,1.555120377,1.2753504697195857
TH,태국,1-7월,4623174873,6573837523,4.623174873,6.573837523,42.19314007333246,1.95066265,1.1047299766354686
DE,독일,1-7월,5674758953,6197393590,5.674758953,6.19739359,9.209812105300186,0.522634637,1.0414687694862736
TR,튀르키예,1-7월,5452963685,5848179031,5.452963685,5.848179031,7.247716449811636,0.395215346,0.9827834444755666
PL,폴란드,1-7월,5574476197,5543475267,5.574476197,5.543475267,-0.5561227441725158,-0.03100093,0.9315781354141948
ID,인도네시아,1-7월,4174992210,5391047158,4.17499221,5.391047158,29.12711897012139,1.216054948,0.9059626709758049
GB,영국,1-7월,4066350448,4914880518,4.066350448,4.914880518,20.86711612417327,0.84853007,0.8259431147818254
MH,마샬군도,1-7월,2052347561,4518180337,2.052347561,4.518180337,120.14693918599883,2.465832776,0.7592778556916645
BR,브라질,1-7월,3122851063,3983985626,3.122851063,3.983985626,27.575268420670106,0.861134563,0.6695067123469919
BE,벨기에,1-7월,2317929835,3105158301,2.317929835,3.105158301,33.96256668830531,0.787228466,0.5218202374657566
IT,이탈리아,1-7월,2690205432,3045520029,2.690205432,3.045520029,13.207712421272078,0.355314597,0.5117980568744916
FR,프랑스,1-7월,3355886913,2986424758,3.355886913,2.986424758,-11.009374409154892,-0.369462155,0.5018671273188576
AE,아랍에미리트 연합,1-7월,3092816399,2688961054,3.092816399,2.688961054,-13.057850609256294,-0.403855345,0.4518785065748734
LR,라이베리아,1-7월,3299277313,2548493508,3.299277313,2.548493508,-22.756007870018045,-0.750783805,0.4282730085278506
NZ,뉴질랜드,1-7월,1683312285,2528975766,1.683312285,2.528975766,50.23806268959774,0.845663481,0.42499306213608196
ES,스페인,1-7월,2057582247,2514367001,2.057582247,2.514367001,22.20007266615962,0.456784754,0.4225380667759657
HU,헝가리,1-7월,2499989087,2360700735,2.499989087,2.360700735,-5.571558400966737,-0.139288352,0.39671453069770124
SA,사우디아라비아,1-7월,2607716577,2326798447,2.607716577,2.326798447,-10.77257139359743,-0.28091813,0.3910172688321482
CZ,체코공화국,1-7월,2080630865,2320833818,2.080630865,2.320833818,11.544717375900305,0.240202953,0.3900149160309488
RU,러시아 연방,1-7월,2273383730,2131868961,2.27338373,2.131868961,-6.224851842324042,-0.141514769,0.3582594700942095
MT,몰타,1-7월,1479654811,1849982762,1.479654811,1.849982762,25.027996276355836,0.370327951,0.3108886409634921
GR,그리스,1-7월,399267921,1528246060,0.399267921,1.52824606,282.76204513810666,1.128978139,0.25682095553018536
BD,방글라데시,1-7월,947095177,1526341144,0.947095177,1.526341144,61.16026995669095,0.579245967,0.2565008353871472
CH,스위스,1-7월,1002266128,1504276867,1.002266128,1.504276867,50.08756905730731,0.502010739,0.25279294511310146
EG,이집트,1-7월,806477865,1392073249,0.806477865,1.392073249,72.61146392405946,0.585595384,0.23393718546618705
KG,키르기스스탄,1-7월,1702983641,1374651007,1.702983641,1.374651007,-19.27984662302461,-0.328332634,0.23100938675953236
SK,슬로바키아,1-7월,1641136122,1313810299,1.641136122,1.313810299,-19.94507455000738,-0.327325823,0.2207851374238639
IE,아일랜드,1-7월,582432046,1167343684,0.582432046,1.167343684,100.42573069545698,0.584911638,0.19617149895155414
UZ,우즈베키스탄,1-7월,915979803,1139269609,0.915979803,1.139269609,24.377153870498613,0.223289806,0.19145366524935173
IL,이스라엘,1-7월,1190775615,1063286156,1.190775615,1.063286156,-10.70642171321252,-0.127489459,0.1786846854922942
BM,버뮤다,1-7월,847696396,1062951156,0.847696396,1.062951156,25.39290729743766,0.21525476,0.17862838891653032
KZ,카자흐스탄,1-7월,1779365828,1046434449,1.779365828,1.046434449,-41.19059540576948,-0.732931379,0.17585276489564974
CO,콜롬비아,1-7월,764722841,943257863,0.764722841,0.943257863,23.346369747049312,0.178535022,0.1585139932813049
SE,스웨덴,1-7월,809260320,938384504,0.80926032,0.938384504,15.95582790961505,0.129124184,0.15769502783602732
NO,노르웨이,1-7월,287339157,923242153,0.287339157,0.923242153,221.3074621082709,0.635902996,0.15515036362613335
BS,바하마,1-7월,351566640,919951417,0.35156664,0.919951417,161.67198827511052,0.568384777,0.15459735715287107
CL,칠레,1-7월,922492388,851512019,0.922492388,0.851512019,-7.69441243346064,-0.070980369,0.1430961519148411
PA,파나마,1-7월,974215464,845605617,0.974215464,0.845605617,-13.201376056169845,-0.128609847,0.1421035841307073
AT,오스트리아,1-7월,632531287,759414653,0.632531287,0.759414653,20.059618963954897,0.126883366,0.12761923745910664
PK,파키스탄,1-7월,742685853,659799379,0.742685853,0.659799379,-11.160367962468786,-0.082886474,0.11087894247409538
GU,괌,1-7월,278140924,606941775,0.278140924,0.606941775,118.21376238758737,0.328800851,0.10199624961355161
SI,슬로베니아,1-7월,584924626,560819454,0.584924626,0.560819454,-4.121073199609137,-0.024105172,0.09424541755808409
PT,포루투갈,1-7월,534381225,553686132,0.534381225,0.553686132,3.612572092142652,0.019304907,0.09304666650608105
DK,덴마크,1-7월,1579550121,552541931,1.579550121,0.552541931,-65.01903145370339,-1.02700819,0.09285438412313901
IQ,이라크,1-7월,789949137,539884315,0.789949137,0.539884315,-31.65581305015085,-0.250064822,0.09072727833766481
RO,루마니아,1-7월,372225376,497715492,0.372225376,0.497715492,33.71347685870831,0.125490116,0.08364082956485183
ZA,남아프리카공화국,1-7월,412092218,477081808,0.412092218,0.477081808,15.770642385680777,0.06498959,0.08017334970039341
KH,캄보디아,1-7월,379126722,434887193,0.379126722,0.434887193,14.707607711175786,0.055760471,0.07308256659539508
PE,페루,1-7월,359486681,431656595,0.359486681,0.431656595,20.07582417218956,0.072169914,0.07253966628175454
UA,우크라이나,1-7월,318839018,372573771,0.318839018,0.372573771,16.853255080593676,0.053734753,0.06261082843799674
MN,몽골,1-7월,429798911,361794273,0.429798911,0.361794273,-15.822431434685512,-0.068004638,0.060799339405598556
NG,나이지리아,1-7월,299528454,336622888,0.299528454,0.336622888,12.384277187902825,0.037094434,0.056569301248184184
JO,요르단,1-7월,375155790,325756862,0.37515579,0.325756862,-13.167577128424435,-0.049398928,0.054743271230389905
AR,아르헨티나,1-7월,272339719,298321476,0.272339719,0.298321476,9.54020114855152,0.025981757,0.050132768882450295
MA,모로코,1-7월,230110359,275115852,0.230110359,0.275115852,19.55822119246704,0.045005493,0.04623307583867814
OM,오만,1-7월,347150770,272711190,0.34715077,0.27271119,-21.443011634397358,-0.07443958,0.04582897364026179
AO,앙골라,1-7월,420672306,272504396,0.420672306,0.272504396,-35.2216934385027,-0.14816791,0.04579422201611698
DZ,알제리,1-7월,237262025,269483930,0.237262025,0.26948393,13.580725781970383,0.032221905,0.04528663427578514
AL,알바니아,1-7월,180811938,265434439,0.180811938,0.265434439,46.801390403768586,0.084622501,0.0446061194194073
EC,에쿠아도르,1-7월,237914145,259880300,0.237914145,0.2598803,9.232807490281836,0.021966155,0.04367274924920875
FI,핀란드,1-7월,255922255,255423359,0.255922255,0.255423359,-0.19494045173992225,-0.000498896,0.042923762632248876
LT,리투아니아,1-7월,243466739,254013907,0.243466739,0.254013907,4.332077573848814,0.010547168,0.04268690495671596
FJ,피지,1-7월,138772817,253699911,0.138772817,0.253699911,82.81671906970081,0.114927094,0.042634138092227755
LY,리비아,1-7월,263436104,233511809,0.263436104,0.233511809,-11.35922318377438,-0.029924295,0.039241538051118637
PR,푸에르토리코,1-7월,251158935,221899067,0.251158935,0.221899067,-11.649941102035655,-0.029259868,0.03729002279789723
MM,미얀마,1-7월,188463859,205246628,0.188463859,0.205246628,8.905033086476276,0.016782769,0.03449158908501194
SY,시리아,1-7월,117528798,198867709,0.117528798,0.198867709,69.20764304932312,0.081338911,0.03341961506478796
KW,쿠웨이트,1-7월,363694277,194101343,0.363694277,0.194101343,-46.630630374202994,-0.169592934,0.032618629737512464
PG,파푸아 뉴기니,1-7월,36144748,192219387,0.036144748,0.192219387,431.8044740552625,0.156074639,0.0323023680105326
SV,엘살바도르,1-7월,136868900,188479685,0.1368689,0.188479685,37.70819010016153,0.051610785,0.031673913034481076
TJ,타지크,1-7월,156975216,181845994,0.156975216,0.181845994,15.84376096669935,0.024870778,0.030559124712166017
QA,카타르,1-7월,483687635,178417451,0.483687635,0.178417451,-63.11308412918184,-0.305270184,0.029982959844228243
GT,과테말라,1-7월,155564785,177247435,0.155564785,0.177247435,13.93801945600992,0.02168265,0.029786339263962784
GH,가나,1-7월,153971457,176982311,0.153971457,0.176982311,14.944882933724536,0.023010854,0.029741785313655865
DO,도미니카 공화국,1-7월,150236654,161914238,0.150236654,0.161914238,7.772792916434357,0.011677584,0.02720960348302933
BG,불가리아,1-7월,126217168,160755205,0.126217168,0.160755205,27.36397714136638,0.034538037,0.027014828590201524
EE,에스토니아,1-7월,81177455,157858718,0.081177455,0.157858718,94.46127992063806,0.076681263,0.02652807545633723
LK,스리랑카,1-7월,116917798,146526547,0.116917798,0.146526547,25.324415535092438,0.029608749,0.024623710013738635
DJ,지부티,1-7월,48886140,144797117,0.04888614,0.144797117,196.19257523707128,0.095910977,0.0243330802017288
ZZ,기타국,1-7월,56634171,124199525,0.056634171,0.124199525,119.3013913808326,0.067565354,0.02087166557909866
ET,에티오피아,1-7월,85665076,120541226,0.085665076,0.120541226,40.712215092180614,0.03487615,0.02025689033485879
CI,코트디봐르,1-7월,110527214,119697106,0.110527214,0.119697106,8.296501529478517,0.009169892,0.02011503640789225
KE,케냐,1-7월,118792327,117227909,0.118792327,0.117227909,-1.3169352259595035,-0.001564418,0.019700089136291062
RS,세르비아,1-7월,101620760,116751487,0.10162076,0.116751487,14.889405471874051,0.015130727,0.019620026666981896
TZ,탄자니아,1-7월,129754573,112956854,0.129754573,0.112956854,-12.945762612929258,-0.016797719,0.018982340564950413
CR,코스타리카,1-7월,145670998,112850127,0.145670998,0.112850127,-22.53082044512388,-0.032820871,0.018964405148109965
PY,파라과이,1-7월,196714100,109524245,0.1967141,0.109524245,-44.323134437236575,-0.087189855,0.018405492407827392
AZ,아제르바이잔,1-7월,95554418,108427115,0.095554418,0.108427115,13.471587467572665,0.012872697,0.01822112028195335
UY,우루과이,1-7월,87435331,103262386,0.087435331,0.103262386,18.101441166843646,0.015827055,0.017353190259719587
TN,튀니지,1-7월,104724733,102647780,0.104724733,0.10264778,-1.9832497448334374,-0.002076953,0.01724990604108101
