순위,국가코드,국가,비교기간,2025_YTD_bn,2026_YTD_bn,YTD_YoY_%,YTD_증감액_bn,YTD_전체수출대비_비중_%
1,CN,중국,1-7월,71.555436742,121.223950218,69.41263408828682,49.668513476,20.371621784603445
2,US,미국,1-7월,72.46612738,110.947444076,53.10248813795519,38.481316696,18.644660272332143
3,VN,베트남,1-7월,34.666455643,54.367349092,56.82984626949623,19.700893449,9.136404738024057
4,HK,홍콩,1-7월,17.156375012,44.931428431,161.89348507229985,27.775053419,7.550703178639674
5,TW,대만,1-7월,25.088074932,41.055121782,63.64396986726921,15.96704685,6.899291862372847
6,JP,일본,1-7월,16.387991424,18.730677247,14.295136984079493,2.342685823,3.147680569385562
7,SG,싱가포르,1-7월,11.047603198,16.360262782,48.08879798436077,5.312659584,2.7493336514135485
8,IN,인도,1-7월,11.244397088,14.450689258,28.514576147633107,3.20629217,2.4284308138895807
9,AU,호주,1-7월,7.65906402,13.365877211,74.51058218207713,5.706813191,2.2461287136105224
10,MY,말레이시아,1-7월,6.911888657,12.172810472,76.11409957641627,5.260921815,2.0456344686449817
