기준월,수출액_USD,반도체_USD,Core_Basket_USD,Core_ex_Semi_USD,Total_ex_Semi_Proxy_USD,총수출_bn,반도체_bn,Core_Basket_bn,Core_ex_Semi_bn,Total_ex_Semi_Proxy_bn,수출액_YoY_%,반도체_YoY_%,Core_Basket_YoY_%,Core_ex_Semi_YoY_%,Total_ex_Semi_Proxy_YoY_%,반도체_전체수출비중_%,반도체_Core비중_%
2025-01-01,49176984042,10129969000,22298809000,12168840000,39047015042,49.176984042,10.129969,22.298809,12.16884,39.047015042,,,,,,20.59900418323421,45.42829619285945
2025-02-01,52292301495,9647383000,22524508000,12877125000,42644918495,52.292301495,9.647383,22.524508,12.877125,42.644918495,,,,,,18.448954672462538,42.830604779469546
2025-03-01,58064561820,13058341000,28201642000,15143301000,45006220820,58.06456182,13.058341,28.201642,15.143301,45.00622082,,,,,,22.489347358688118,46.303477648570954
2025-04-01,58035745123,11663445000,25667221000,14003776000,46372300123,58.035745123,11.663445,25.667221,14.003776,46.372300123,,,,,,20.09700224453169,45.44101209866078
2025-05-01,57261062502,13794186000,27606858000,13812672000,43466876502,57.261062502,13.794186,27.606858,13.812672,43.466876502,,,,,,24.089993090013305,49.96651918881895
2025-06-01,59833796879,14962293000,29075839000,14113546000,44871503879,59.833796879,14.962293,29.075839,14.113546,44.871503879,,,,,,25.00642409549535,51.45953999814073
2025-07-01,60724322143,14707000000,28423640000,13716640000,46017322143,60.724322143,14.707,28.42364,13.71664,46.017322143,,,,,,24.219290526399643,51.74214140060879
2025-08-01,58259331990,15095444000,29790627000,14695183000,43163887990,58.25933199,15.095444,29.790627,14.695183,43.16388799,,,,,,25.910774264612368,50.671790157353854
2025-09-01,65904118036,16620982000,32635351000,16014369000,49283136036,65.904118036,16.620982,32.635351,16.014369,49.283136036,,,,,,25.219944512300156,50.929380229432795
2025-10-01,59511577956,15701441000,31742446000,16041005000,43810136956,59.511577956,15.701441,31.742446,16.041005,43.810136956,,,,,,26.383842504745697,49.46512628547907
2025-11-01,60752618324,17258186000,31655063000,14396877000,43494432324,60.752618324,17.258186,31.655063,14.396877,43.494432324,,,,,,28.407312270823144,54.519512407857164
2025-12-01,69513624492,20767819000,36809564000,16041745000,48745805492,69.513624492,20.767819,36.809564,16.041745,48.745805492,,,,,,29.875897209747816,56.419627790212346
2026-01-01,65843936782,20541062000,35671758000,15130696000,45302874782,65.843936782,20.541062,35.671758,15.130696,45.302874782,33.89177491194957,102.77517137515426,59.971584132587516,24.339674118486233,16.02135203746313,31.196588484690036,57.583542700642894
2026-02-01,67642546892,25137332000,38839627000,13702295000,42505214892,67.642546892,25.137332,38.839627,13.702295,42.505214892,29.354694588203834,160.56114907016755,72.43274303705103,6.408029742663834,-0.3275973033372792,37.1620128972006,64.72083781855062
2026-03-01,87333127845,32827677000,51158003000,18330326000,54505450845,87.333127845,32.827677,51.158003,18.330326,54.505450845,50.406935155616054,151.39240122462724,81.40079574090046,21.04577462998325,21.106482286063667,37.58903157374942,64.16919167075385
2026-04-01,85751882817,31892551000,49841650000,17949099000,53859331817,85.751882817,31.892551,49.84165,17.949099,53.859331817,47.757011881658244,173.44023142390608,94.18405288207867,28.173279835381535,16.14548270010556,37.191662681110735,63.98775120807597
2026-05-01,87576083100,37158099000,54244928000,17086829000,50417984100,87.5760831,37.158099,54.244928,17.086829,50.4179841,52.94177102798461,169.37507584717216,96.49077051796333,23.70400889849553,15.991734758489407,42.42950550502527,68.50059603729218
2026-06-01,101956159193,44812600000,64592804000,19780204000,57143559193,101.956159193,44.8126,64.592804,19.780204,57.143559193,70.39894593215057,199.5035587125583,122.1528465610227,40.1504908830141,27.34932920254398,43.95281300776648,69.37707797915074
2026-07-01,98959098818,41006097000,60716167000,19710070000,57953001818,98.959098818,41.006097,60.716167,19.71007,57.953001818,62.96451788290158,178.8202692595363,113.61151140388776,43.69459284489496,25.93736253906642,41.437419590305794,67.53736117762507
