HS2,시작월,종료월,반환행수,고유HSK10,상태
01,202501,202512,237,31,OK
01,202601,202607,137,27,OK
02,202501,202512,504,59,OK
02,202601,202607,285,54,OK
03,202501,202512,3402,375,OK
03,202601,202607,1981,355,OK
04,202501,202512,715,67,OK
04,202601,202607,424,64,OK
05,202501,202512,448,50,OK
05,202601,202607,254,51,OK
06,202501,202512,421,47,OK
06,202601,202607,239,47,OK
07,202501,202512,1527,147,OK
07,202601,202607,891,142,OK
08,202501,202512,891,85,OK
08,202601,202607,509,84,OK
09,202501,202512,575,52,OK
09,202601,202607,338,51,OK
10,202501,202512,382,40,OK
10,202601,202607,217,38,OK
11,202501,202512,500,46,OK
11,202601,202607,287,44,OK
12,202501,202512,1423,157,OK
12,202601,202607,828,152,OK
13,202501,202512,335,34,OK
13,202601,202607,203,33,OK
14,202501,202512,147,17,OK
14,202601,202607,91,15,OK
15,202501,202512,1109,104,OK
15,202601,202607,633,105,OK
16,202501,202512,1112,104,OK
16,202601,202607,640,102,OK
17,202501,202512,397,34,OK
17,202601,202607,223,34,OK
18,202501,202512,269,31,OK
18,202601,202607,156,27,OK
19,202501,202512,617,52,OK
19,202601,202607,360,52,OK
20,202501,202512,1309,117,OK
20,202601,202607,763,116,OK
21,202501,202512,843,71,OK
21,202601,202607,496,71,OK
22,202501,202512,655,56,OK
22,202601,202607,376,56,OK
23,202501,202512,497,47,OK
23,202601,202607,285,47,OK
24,202501,202512,366,35,OK
24,202601,202607,206,35,OK
25,202501,202512,1283,127,OK
25,202601,202607,752,123,OK
27,202501,202512,1499,157,OK
27,202601,202607,878,152,OK
28,202501,202512,3743,334,OK
28,202601,202607,2172,332,OK
29,202501,202512,7685,737,OK
29,202601,202607,4471,711,OK
30,202501,202512,1038,99,OK
30,202601,202607,616,96,OK
31,202501,202512,342,34,OK
31,202601,202607,202,34,OK
32,202501,202512,1439,124,OK
32,202601,202607,839,123,OK
33,202501,202512,673,57,OK
33,202601,202607,394,57,OK
34,202501,202512,600,50,OK
34,202601,202607,350,50,OK
35,202501,202512,555,48,OK
35,202601,202607,317,48,OK
36,202501,202512,158,15,OK
36,202601,202607,88,14,OK
37,202501,202512,727,74,OK
37,202601,202607,407,72,OK
38,202501,202512,2245,215,OK
38,202601,202607,1281,204,OK
39,202501,202512,2721,238,OK
39,202601,202607,1584,233,OK
40,202501,202512,1508,130,OK
40,202601,202607,882,130,OK
42,202501,202512,850,71,OK
42,202601,202607,496,71,OK
43,202501,202512,301,32,OK
43,202601,202607,169,29,OK
44,202501,202512,2800,313,OK
44,202601,202607,1610,287,OK
45,202501,202512,84,7,OK
45,202601,202607,49,7,OK
46,202501,202512,168,14,OK
46,202601,202607,97,14,OK
48,202501,202512,2112,188,OK
48,202601,202607,1220,184,OK
49,202501,202512,403,34,OK
49,202601,202607,235,34,OK
50,202501,202512,208,22,OK
50,202601,202607,125,22,OK
51,202501,202512,532,52,OK
51,202601,202607,306,50,OK
52,202501,202512,1658,145,OK
52,202601,202607,968,145,OK
53,202501,202512,318,37,OK
53,202601,202607,182,33,OK
54,202501,202512,1539,132,OK
54,202601,202607,889,130,OK
55,202501,202512,1736,152,OK
55,202601,202607,1021,152,OK
56,202501,202512,597,50,OK
56,202601,202607,348,50,OK
57,202501,202512,284,24,OK
57,202601,202607,166,24,OK
58,202501,202512,512,43,OK
58,202601,202607,301,43,OK
59,202501,202512,348,29,OK
59,202601,202607,203,29,OK
60,202501,202512,555,49,OK
60,202601,202607,315,47,OK
61,202501,202512,1692,141,OK
61,202601,202607,987,141,OK
62,202501,202512,1956,165,OK
62,202601,202607,1138,164,OK
63,202501,202512,744,62,OK
63,202601,202607,433,62,OK
64,202501,202512,550,46,OK
64,202601,202607,322,46,OK
65,202501,202512,156,13,OK
65,202601,202607,91,13,OK
66,202501,202512,96,8,OK
66,202601,202607,56,8,OK
67,202501,202512,180,15,OK
67,202601,202607,105,15,OK
68,202501,202512,802,71,OK
68,202601,202607,469,71,OK
69,202501,202512,725,61,OK
69,202601,202607,424,61,OK
70,202501,202512,1841,183,OK
70,202601,202607,1054,174,OK
71,202501,202512,1191,105,OK
71,202601,202607,695,104,OK
72,202501,202512,3353,305,OK
72,202601,202607,1964,307,OK
73,202501,202512,2419,210,OK
73,202601,202607,1411,209,OK
74,202501,202512,934,81,OK
74,202601,202607,545,83,OK
75,202501,202512,301,26,OK
75,202601,202607,172,26,OK
76,202501,202512,732,61,OK
76,202601,202607,427,61,OK
78,202501,202512,187,18,OK
78,202601,202607,115,18,OK
79,202501,202512,198,18,OK
79,202601,202607,116,18,OK
80,202501,202512,140,13,OK
80,202601,202607,84,13,OK
81,202501,202512,919,95,OK
81,202601,202607,546,91,OK
82,202501,202512,1416,118,OK
82,202601,202607,826,118,OK
83,202501,202512,608,51,OK
83,202601,202607,353,51,OK
84,202501,202512,13086,1189,OK
84,202601,202607,7535,1170,OK
85,202501,202512,8521,740,OK
85,202601,202607,4978,740,OK
86,202501,202512,312,36,OK
86,202601,202607,182,31,OK
87,202501,202512,2150,216,OK
87,202601,202607,1227,206,OK
89,202501,202512,293,40,OK
89,202601,202607,176,39,OK
90,202501,202512,4128,356,OK
90,202601,202607,2406,349,OK
91,202501,202512,760,69,OK
91,202601,202607,451,69,OK
92,202501,202512,442,37,OK
92,202601,202607,255,37,OK
93,202501,202512,477,66,OK
93,202601,202607,286,64,OK
94,202501,202512,1008,84,OK
94,202601,202607,588,84,OK
95,202501,202512,1142,97,OK
95,202601,202607,664,97,OK
96,202501,202512,966,82,OK
96,202601,202607,561,82,OK
