산업20,공식_HSK10수,공식_MTI6수,보유월수,최초월,최신월,최소수출액_USD,최대수출액_USD,월완결_PASS,최신월순위,수출액_USD,수출액_bn,20대산업내_비중_%,KITA_비교월수,KITA_PASS월수,KITA_Exact_PASS,독립검증여부,산업QC_PASS
반도체,57,14,19,2025-01-01,2026-07-01,9647382548.0,44812600394.0,True,1,41006096710.0,41.00609671,46.558598424402604,19.0,19.0,True,VERIFIED,True
자동차,169,26,19,2025-01-01,2026-07-01,4801739453.0,6703054256.0,True,2,6237951936.0,6.237951936,7.082612647404761,19.0,19.0,True,VERIFIED,True
석유제품,141,12,19,2025-01-01,2026-07-01,3277814379.0,6251959746.0,True,3,5757297704.0,5.757297704,6.536874594672221,,,,NOT_YET,True
컴퓨터,76,21,19,2025-01-01,2026-07-01,663045625.0,5408131266.0,True,4,4789780598.0,4.789780598,5.438349155258503,19.0,19.0,True,VERIFIED,True
일반기계,1151,122,19,2025-01-01,2026-07-01,3275353602.0,4526786786.0,True,5,4526786786.0,4.526786786,5.13974420956942,,,,NOT_YET,True
석유화학,303,46,19,2025-01-01,2026-07-01,3094496629.0,4154219833.0,True,6,4154219833.0,4.154219833,4.716729181496774,,,,NOT_YET,True
선박류,74,15,19,2025-01-01,2026-07-01,1565522126.0,4688471683.0,True,7,3292014387.0,3.292014387,3.7377753102335918,,,,NOT_YET,True
철강제품,353,43,19,2025-01-01,2026-07-01,1821005461.0,2364012438.0,True,8,2360962622.0,2.360962622,2.6806528646243013,,,,NOT_YET,True
자동차부품,62,3,19,2025-01-01,2026-07-01,1431694352.0,2016280238.0,True,9,1950923767.0,1.950923767,2.215091986607564,19.0,19.0,True,VERIFIED,True
무선통신기기,64,17,19,2025-01-01,2026-07-01,1018108395.0,2025546160.0,True,10,1812587375.0,1.812587375,2.058023915287378,19.0,19.0,True,VERIFIED,True
전기기기,256,63,19,2025-01-01,2026-07-01,1126672915.0,1794485744.0,True,11,1794485744.0,1.794485744,2.0374712015161545,,,,NOT_YET,True
비철금속,304,68,19,2025-01-01,2026-07-01,1000395612.0,1850595188.0,True,12,1728464428.0,1.728464428,1.9625101546056603,,,,NOT_YET,True
디스플레이,42,3,19,2025-01-01,2026-07-01,1093388705.0,1746878221.0,True,13,1609958968.0,1.609958968,1.8279582570607862,,,,NOT_YET,True
바이오헬스,557,11,19,2025-01-01,2026-07-01,1153375658.0,1912938227.0,True,14,1573830833.0,1.573830833,1.786938129220201,,,,NOT_YET,True
화장품,34,8,19,2025-01-01,2026-07-01,753144531.0,1351908205.0,True,15,1351011744.0,1.351011744,1.5339478346449966,,,,NOT_YET,True
농수산식품,2461,270,19,2025-01-01,2026-07-01,851233982.0,1215721714.0,True,16,1092432668.0,1.092432668,1.2403554099482768,,,,NOT_YET,True
섬유류,1264,143,19,2025-01-01,2026-07-01,727014419.0,1048477378.0,True,17,932499958.0,0.932499958,1.0587667336966171,,,,NOT_YET,True
생활용품,609,102,19,2025-01-01,2026-07-01,578062301.0,947756517.0,True,18,809546555.0,0.809546555,0.9191646117078953,,,,NOT_YET,True
이차전지,10,4,19,2025-01-01,2026-07-01,485216279.0,819264951.0,True,19,682899603.0,0.682899603,0.7753688093045753,,,,NOT_YET,True
가전,181,47,19,2025-01-01,2026-07-01,478389323.0,705418731.0,True,20,610412592.0,0.610412592,0.6930665687377175,,,,NOT_YET,True
