기준월,산업수,전체금액_USD,산업수_PASS
2025-01-01,20,42125940658.0,True
2025-02-01,20,44729009115.0,True
2025-03-01,20,50190539591.0,True
2025-04-01,20,49111732802.0,True
2025-05-01,20,49239587442.0,True
2025-06-01,20,51175668707.0,True
2025-07-01,20,52011846720.0,True
2025-08-01,20,50653587500.0,True
2025-09-01,20,56734879506.0,True
2025-10-01,20,52064913170.0,True
2025-11-01,20,52715614880.0,True
2025-12-01,20,60801176558.0,True
2026-01-01,20,57478824056.0,True
2026-02-01,20,59585702737.0,True
2026-03-01,20,77288004538.0,True
2026-04-01,20,75881777291.0,True
2026-05-01,20,78306314341.0,True
2026-06-01,20,91013923047.0,True
2026-07-01,20,88074164811.0,True
