기준월,HSK10,수출액_USD,MTI6,산업20
2025-01-01,0101211000,0.0,021130,농수산식품
2025-01-01,0101219000,40.0,021190,농수산식품
2025-01-01,0101291000,148824.0,021130,농수산식품
2025-01-01,0101299000,0.0,021130,농수산식품
2025-01-01,0102212000,15.0,021110,농수산식품
2025-01-01,0106110000,0.0,021900,농수산식품
2025-01-01,0106149000,0.0,021190,농수산식품
2025-01-01,0106191000,299259.0,021190,농수산식품
2025-01-01,0106199000,16348.0,021900,농수산식품
2025-01-01,0106201000,3071.0,021900,농수산식품
2025-01-01,0106202000,0.0,021900,농수산식품
2025-01-01,0106203000,3025.0,021900,농수산식품
2025-01-01,0106209000,39157.0,021900,농수산식품
2025-01-01,0106310000,0.0,021900,농수산식품
2025-01-01,0106490000,0.0,021900,농수산식품
2025-01-01,0106901000,1700.0,021900,농수산식품
2025-01-01,0106903010,0.0,049090,농수산식품
2025-01-01,0106909000,0.0,021900,농수산식품
2025-01-01,0201201000,1035.0,022110,농수산식품
2025-01-01,0201209000,100925.0,022110,농수산식품
2025-01-01,0201300000,241477.0,022110,농수산식품
2025-01-01,0202201000,0.0,022110,농수산식품
2025-01-01,0202209000,0.0,022110,농수산식품
2025-01-01,0202300000,47707.0,022110,농수산식품
2025-01-01,0203191000,11371.0,022120,농수산식품
2025-01-01,0203199000,3435.0,022120,농수산식품
2025-01-01,0203291000,33395.0,022120,농수산식품
2025-01-01,0203299000,61193.0,022120,농수산식품
2025-01-01,0204220000,0.0,022130,농수산식품
2025-01-01,0204230000,0.0,022130,농수산식품
2025-01-01,0204420000,0.0,022130,농수산식품
2025-01-01,0204430000,0.0,022130,농수산식품
2025-01-01,0204500000,0.0,022130,농수산식품
2025-01-01,0206100000,0.0,022110,농수산식품
2025-01-01,0206210000,0.0,022110,농수산식품
2025-01-01,0206220000,0.0,022110,농수산식품
2025-01-01,0206291000,0.0,022110,농수산식품
2025-01-01,0206292000,0.0,022110,농수산식품
2025-01-01,0206299000,0.0,022110,농수산식품
2025-01-01,0206491000,0.0,022120,농수산식품
2025-01-01,0206499000,0.0,022120,농수산식품
2025-01-01,0206900000,0.0,022190,농수산식품
2025-01-01,0207120000,3093584.0,022210,농수산식품
2025-01-01,0207131000,922.0,022210,농수산식품
2025-01-01,0207141010,446803.0,022210,농수산식품
2025-01-01,0207141020,934358.0,022210,농수산식품
2025-01-01,0207141030,22467.0,022210,농수산식품
2025-01-01,0207141090,869794.0,022210,농수산식품
2025-01-01,0207142090,0.0,022210,농수산식품
2025-01-01,0207271000,0.0,022230,농수산식품
2025-01-01,0207420000,0.0,022220,농수산식품
2025-01-01,0207451000,0.0,022220,농수산식품
2025-01-01,0208909090,0.0,022990,농수산식품
2025-01-01,0209100000,0.0,022120,농수산식품
2025-01-01,0210110000,0.0,022120,농수산식품
2025-01-01,0210120000,0.0,022120,농수산식품
2025-01-01,0210190000,0.0,022120,농수산식품
2025-01-01,0210209000,0.0,022110,농수산식품
2025-01-01,0210999090,0.0,022990,농수산식품
2025-01-01,0301111000,0.0,041900,농수산식품
2025-01-01,0301119000,150.0,041900,농수산식품
2025-01-01,0301190000,0.0,041900,농수산식품
2025-01-01,0301921000,0.0,041800,농수산식품
2025-01-01,0301922000,0.0,041800,농수산식품
2025-01-01,0301929090,0.0,041800,농수산식품
2025-01-01,0301939000,0.0,041900,농수산식품
2025-01-01,0301992000,2486.0,041900,농수산식품
2025-01-01,0301994091,0.0,041900,농수산식품
2025-01-01,0301994099,0.0,041900,농수산식품
2025-01-01,0301995000,1307251.0,041900,농수산식품
2025-01-01,0301997000,0.0,041900,농수산식품
2025-01-01,0301998000,3817356.0,041500,농수산식품
2025-01-01,0301999010,0.0,041900,농수산식품
2025-01-01,0301999020,23605.0,041900,농수산식품
2025-01-01,0301999040,34214.0,041900,농수산식품
2025-01-01,0301999059,0.0,041900,농수산식품
2025-01-01,0301999060,44571.0,041900,농수산식품
2025-01-01,0301999070,4593.0,041900,농수산식품
2025-01-01,0301999095,0.0,041900,농수산식품
2025-01-01,0301999099,93267.0,041900,농수산식품
2025-01-01,0302130000,0.0,041900,농수산식품
2025-01-01,0302140000,23692.0,041900,농수산식품
2025-01-01,0302210000,210002.0,041500,농수산식품
2025-01-01,0302240000,1982.0,041500,농수산식품
2025-01-01,0302290000,236498.0,041900,농수산식품
2025-01-01,0302351000,0.0,041100,농수산식품
2025-01-01,0302352000,0.0,041100,농수산식품
2025-01-01,0302390000,22134.0,041100,농수산식품
2025-01-01,0302410000,13323.0,041900,농수산식품
2025-01-01,0302440000,487.0,041900,농수산식품
2025-01-01,0302450000,69537.0,041900,농수산식품
2025-01-01,0302491000,189106.0,041900,농수산식품
2025-01-01,0302492000,512.0,041900,농수산식품
2025-01-01,0302510000,1244.0,041700,농수산식품
2025-01-01,0302550000,648.0,041400,농수산식품
2025-01-01,0302590000,14582.0,041900,농수산식품
2025-01-01,0302740000,54.0,041800,농수산식품
2025-01-01,0302820000,166.0,041900,농수산식품
2025-01-01,0302840000,14246.0,041900,농수산식품
2025-01-01,0302850000,4073.0,041900,농수산식품
2025-01-01,0302891000,104995.0,041900,농수산식품
2025-01-01,0302892000,66284.0,041300,농수산식품
2025-01-01,0302893000,6485.0,041900,농수산식품
2025-01-01,0302895000,21174.0,041900,농수산식품
2025-01-01,0302896000,17732.0,041900,농수산식품
2025-01-01,0302899040,253640.0,041900,농수산식품
2025-01-01,0302899090,681892.0,041900,농수산식품
2025-01-01,0302911000,2094.0,046900,농수산식품
2025-01-01,0302912000,0.0,045290,농수산식품
2025-01-01,0302990000,25.0,046900,농수산식품
2025-01-01,0303120000,1537.0,041900,농수산식품
2025-01-01,0303130000,0.0,041900,농수산식품
2025-01-01,0303190000,1326.0,041900,농수산식품
2025-01-01,0303230000,0.0,041900,농수산식품
2025-01-01,0303240000,0.0,041900,농수산식품
2025-01-01,0303250000,0.0,041900,농수산식품
2025-01-01,0303260000,326.0,041800,농수산식품
2025-01-01,0303290000,1047.0,041900,농수산식품
2025-01-01,0303310000,52924.0,041500,농수산식품
2025-01-01,0303320000,18.0,041600,농수산식품
2025-01-01,0303330000,8903.0,041900,농수산식품
2025-01-01,0303391000,132045.0,041900,농수산식품
2025-01-01,0303399000,2580.0,041900,농수산식품
2025-01-01,0303410000,577501.0,041100,농수산식품
2025-01-01,0303420000,4335259.0,041100,농수산식품
2025-01-01,0303430000,5498043.0,041100,농수산식품
2025-01-01,0303440000,206952.0,041100,농수산식품
2025-01-01,0303451000,140329.0,041100,농수산식품
2025-01-01,0303452000,0.0,041100,농수산식품
2025-01-01,0303460000,0.0,041100,농수산식품
2025-01-01,0303490000,79717.0,041100,농수산식품
2025-01-01,0303510000,251247.0,041900,농수산식품
2025-01-01,0303530000,422507.0,041900,농수산식품
2025-01-01,0303540000,10501807.0,041900,농수산식품
2025-01-01,0303550000,2207160.0,041900,농수산식품
2025-01-01,0303570000,519130.0,041900,농수산식품
2025-01-01,0303591000,5643196.0,041900,농수산식품
2025-01-01,0303592000,750810.0,041900,농수산식품
2025-01-01,0303599000,69719.0,041900,농수산식품
2025-01-01,0303630000,692784.0,041700,농수산식품
2025-01-01,0303660000,1030422.0,041700,농수산식품
2025-01-01,0303670000,377792.0,041400,농수산식품
2025-01-01,0303680000,0.0,041900,농수산식품
2025-01-01,0303699000,45309.0,041900,농수산식품
2025-01-01,0303810000,0.0,041900,농수산식품
2025-01-01,0303821000,0.0,041900,농수산식품
2025-01-01,0303822000,368.0,041900,농수산식품
2025-01-01,0303830000,2498926.0,041900,농수산식품
2025-01-01,0303840000,14348.0,041900,농수산식품
2025-01-01,0303891000,23580.0,041700,농수산식품
2025-01-01,0303892000,804389.0,041300,농수산식품
2025-01-01,0303893010,1900.0,041900,농수산식품
2025-01-01,0303893020,0.0,041900,농수산식품
2025-01-01,0303893090,86916.0,041900,농수산식품
2025-01-01,0303894000,231164.0,041900,농수산식품
2025-01-01,0303895010,54964.0,041200,농수산식품
2025-01-01,0303895020,1433.0,041200,농수산식품
2025-01-01,0303895090,507.0,041200,농수산식품
2025-01-01,0303896000,210048.0,041900,농수산식품
2025-01-01,0303898000,112844.0,041900,농수산식품
2025-01-01,0303899030,430599.0,041900,농수산식품
2025-01-01,0303899040,408971.0,041900,농수산식품
2025-01-01,0303899050,41471.0,041900,농수산식품
2025-01-01,0303899060,70904.0,041900,농수산식품
2025-01-01,0303899070,15120.0,041900,농수산식품
2025-01-01,0303899080,0.0,041900,농수산식품
2025-01-01,0303899091,210801.0,041900,농수산식품
2025-01-01,0303899092,0.0,041900,농수산식품
2025-01-01,0303899099,2677645.0,041900,농수산식품
2025-01-01,0303911000,1255.0,047000,농수산식품
2025-01-01,0303912010,1497860.0,045210,농수산식품
2025-01-01,0303912090,7811.0,045290,농수산식품
2025-01-01,0303990000,587239.0,046900,농수산식품
2025-01-01,0304320000,0.0,045100,농수산식품
2025-01-01,0304390000,10713.0,045100,농수산식품
2025-01-01,0304410000,25203.0,045100,농수산식품
2025-01-01,0304420000,0.0,045100,농수산식품
2025-01-01,0304439000,29115.0,045100,농수산식품
2025-01-01,0304480000,636.0,045100,농수산식품
2025-01-01,0304491000,939967.0,045100,농수산식품
2025-01-01,0304492000,26.0,045100,농수산식품
2025-01-01,0304499000,6678.0,045100,농수산식품
2025-01-01,0304519000,908.0,045100,농수산식품
2025-01-01,0304540000,5382.0,045100,농수산식품
2025-01-01,0304599090,600.0,045100,농수산식품
2025-01-01,0304610000,0.0,045100,농수산식품
2025-01-01,0304620000,0.0,045100,농수산식품
2025-01-01,0304690000,0.0,045100,농수산식품
2025-01-01,0304710000,0.0,045100,농수산식품
2025-01-01,0304740000,0.0,045100,농수산식품
2025-01-01,0304750000,2140.0,045100,농수산식품
2025-01-01,0304810000,0.0,045100,농수산식품
2025-01-01,0304831000,21412.0,045100,농수산식품
2025-01-01,0304839000,30336.0,045100,농수산식품
2025-01-01,0304840000,339495.0,045100,농수산식품
2025-01-01,0304860000,17793.0,045100,농수산식품
2025-01-01,0304871000,828391.0,045100,농수산식품
2025-01-01,0304879000,11485621.0,045100,농수산식품
2025-01-01,0304889000,9323.0,045100,농수산식품
2025-01-01,0304891000,253014.0,045100,농수산식품
2025-01-01,0304893000,0.0,045100,농수산식품
2025-01-01,0304895000,7826.0,045100,농수산식품
2025-01-01,0304899000,1526985.0,045100,농수산식품
2025-01-01,0304919000,1796.0,045100,농수산식품
2025-01-01,0304929000,0.0,045100,농수산식품
2025-01-01,0304941000,517456.0,045100,농수산식품
2025-01-01,0304949000,473.0,045100,농수산식품
2025-01-01,0304951000,0.0,045100,농수산식품
2025-01-01,0304991000,79212.0,045100,농수산식품
2025-01-01,0304999000,74254.0,045100,농수산식품
2025-01-01,0305202000,0.0,046300,농수산식품
2025-01-01,0305204010,32686.0,046220,농수산식품
2025-01-01,0305204030,1052.0,046220,농수산식품
2025-01-01,0305204090,0.0,046220,농수산식품
2025-01-01,0305311000,50.0,046300,농수산식품
2025-01-01,0305312000,0.0,046290,농수산식품
2025-01-01,0305321000,0.0,046300,농수산식품
2025-01-01,0305391000,3.0,046300,농수산식품
2025-01-01,0305392000,690.0,046290,농수산식품
2025-01-01,0305410000,0.0,041900,농수산식품
2025-01-01,0305491000,701.0,046300,농수산식품
2025-01-01,0305492000,0.0,046300,농수산식품
2025-01-01,0305499000,681.0,046300,농수산식품
2025-01-01,0305510000,0.0,046300,농수산식품
2025-01-01,0305531000,57097.0,046300,농수산식품
2025-01-01,0305539000,206.0,046300,농수산식품
2025-01-01,0305541000,960252.0,046900,농수산식품
2025-01-01,0305549000,8926.0,046300,농수산식품
2025-01-01,0305594000,77949.0,046300,농수산식품
2025-01-01,0305599000,73704.0,046300,농수산식품
2025-01-01,0305610000,0.0,046290,농수산식품
2025-01-01,0305631000,0.0,046290,농수산식품
2025-01-01,0305691000,0.0,046900,농수산식품
2025-01-01,0305693000,5621.0,046900,농수산식품
2025-01-01,0305695000,68382.0,046900,농수산식품
2025-01-01,0305698000,6720.0,046900,농수산식품
2025-01-01,0305699000,5368.0,046900,농수산식품
2025-01-01,0305712000,0.0,046300,농수산식품
2025-01-01,0305720000,0.0,046900,농수산식품
2025-01-01,0305790000,17936.0,046900,농수산식품
2025-01-01,0306121000,0.0,042300,농수산식품
2025-01-01,0306129000,33252.0,042300,농수산식품
2025-01-01,0306141090,7902.0,042290,농수산식품
2025-01-01,0306142000,1211273.0,042290,농수산식품
2025-01-01,0306143010,70.0,042210,농수산식품
2025-01-01,0306143090,444224.0,042210,농수산식품
2025-01-01,0306149090,700949.0,042290,농수산식품
2025-01-01,0306161090,0.0,042100,농수산식품
2025-01-01,0306169090,637680.0,042100,농수산식품
2025-01-01,0306171090,1637.0,042100,농수산식품
2025-01-01,0306179010,0.0,042100,농수산식품
2025-01-01,0306179091,0.0,042100,농수산식품
2025-01-01,0306179099,5984.0,042100,농수산식품
2025-01-01,0306199000,1296.0,042900,농수산식품
2025-01-01,0306310000,0.0,042100,농수산식품
2025-01-01,0306320000,8344.0,042300,농수산식품
2025-01-01,0306331000,63828.0,042210,농수산식품
2025-01-01,0306332000,396818.0,042290,농수산식품
2025-01-01,0306339000,10430094.0,042290,농수산식품
2025-01-01,0306340000,0.0,042300,농수산식품
2025-01-01,0306360000,2236.0,042100,농수산식품
2025-01-01,0306390000,0.0,042900,농수산식품
2025-01-01,0306930000,0.0,042290,농수산식품
2025-01-01,0306951020,0.0,042100,농수산식품
2025-01-01,0306959020,8764.0,042100,농수산식품
2025-01-01,0306959030,172500.0,046210,농수산식품
2025-01-01,0306992000,0.0,046300,농수산식품
2025-01-01,0306993000,7715.0,042900,농수산식품
2025-01-01,0306994000,0.0,042900,농수산식품
2025-01-01,0307111090,568.0,043400,농수산식품
2025-01-01,0307119000,72552.0,043400,농수산식품
2025-01-01,0307120000,1600232.0,043400,농수산식품
2025-01-01,0307192000,3341.0,043400,농수산식품
2025-01-01,0307193000,16958.0,043400,농수산식품
2025-01-01,0307211000,72773.0,043590,농수산식품
2025-01-01,0307219000,21307.0,043590,농수산식품
2025-01-01,0307221000,0.0,043590,농수산식품
2025-01-01,0307229000,152242.0,043900,농수산식품
2025-01-01,0307299000,0.0,043590,농수산식품
2025-01-01,0307310000,1264.0,043590,농수산식품
2025-01-01,0307320000,2651.0,043590,농수산식품
2025-01-01,0307392000,0.0,046300,농수산식품
2025-01-01,0307421090,0.0,043100,농수산식품
2025-01-01,0307422090,0.0,043100,농수산식품
2025-01-01,0307431090,2304.0,043100,농수산식품
2025-01-01,0307432010,3535962.0,043100,농수산식품
2025-01-01,0307432090,1411073.0,043100,농수산식품
2025-01-01,0307492090,661.0,046290,농수산식품
2025-01-01,0307493010,11127.0,043100,농수산식품
2025-01-01,0307493090,159405.0,043100,농수산식품
2025-01-01,0307494090,5.0,043100,농수산식품
2025-01-01,0307511000,47159.0,043200,농수산식품
2025-01-01,0307512000,1413.0,043200,농수산식품
2025-01-01,0307519000,9911.0,043200,농수산식품
2025-01-01,0307521000,1021755.0,043200,농수산식품
2025-01-01,0307522000,34836.0,043300,농수산식품
2025-01-01,0307523000,7189.0,043200,농수산식품
2025-01-01,0307592000,17.0,046300,농수산식품
2025-01-01,0307599000,2842.0,046290,농수산식품
2025-01-01,0307600000,0.0,043900,농수산식품
2025-01-01,0307711000,173.0,043590,농수산식품
2025-01-01,0307712090,309724.0,043510,농수산식품
2025-01-01,0307714000,0.0,043590,농수산식품
2025-01-01,0307719000,243337.0,043590,농수산식품
