HS2,시작월,종료월,반환행수,고유HSK10,상태
05,202501,202512,448,50,OK
05,202601,202607,254,51,OK
24,202501,202512,366,35,OK
24,202601,202607,206,35,OK
25,202501,202512,1283,127,OK
25,202601,202607,752,123,OK
26,202501,202512,447,50,OK
26,202601,202607,265,48,OK
27,202501,202512,1499,157,OK
27,202601,202607,878,152,OK
28,202501,202512,3743,334,OK
28,202601,202607,2172,332,OK
29,202501,202512,7685,737,OK
29,202601,202607,4471,711,OK
30,202501,202512,1038,99,OK
30,202601,202607,616,96,OK
31,202501,202512,342,34,OK
31,202601,202607,202,34,OK
32,202501,202512,1439,124,OK
32,202601,202607,839,123,OK
33,202501,202512,673,57,OK
33,202601,202607,394,57,OK
34,202501,202512,600,50,OK
34,202601,202607,350,50,OK
35,202501,202512,555,48,OK
35,202601,202607,317,48,OK
36,202501,202512,158,15,OK
36,202601,202607,88,14,OK
37,202501,202512,727,74,OK
37,202601,202607,407,72,OK
38,202501,202512,2245,215,OK
38,202601,202607,1281,204,OK
39,202501,202512,2721,238,OK
39,202601,202607,1584,233,OK
40,202501,202512,1508,130,OK
40,202601,202607,882,130,OK
41,202501,202512,410,47,OK
41,202601,202607,241,46,OK
42,202501,202512,850,71,OK
42,202601,202607,496,71,OK
43,202501,202512,301,32,OK
43,202601,202607,169,29,OK
47,202501,202512,224,24,OK
47,202601,202607,128,24,OK
48,202501,202512,2112,188,OK
48,202601,202607,1220,184,OK
49,202501,202512,403,34,OK
49,202601,202607,235,34,OK
67,202501,202512,180,15,OK
67,202601,202607,105,15,OK
68,202501,202512,802,71,OK
68,202601,202607,469,71,OK
69,202501,202512,725,61,OK
69,202601,202607,424,61,OK
70,202501,202512,1841,183,OK
70,202601,202607,1054,174,OK
71,202501,202512,1191,105,OK
71,202601,202607,695,104,OK
72,202501,202512,3353,305,OK
72,202601,202607,1964,307,OK
73,202501,202512,2419,210,OK
73,202601,202607,1411,209,OK
82,202501,202512,1416,118,OK
82,202601,202607,826,118,OK
83,202501,202512,608,51,OK
83,202601,202607,353,51,OK
84,202501,202512,13086,1189,OK
84,202601,202607,7535,1170,OK
85,202501,202512,8521,740,OK
85,202601,202607,4978,740,OK
86,202501,202512,312,36,OK
86,202601,202607,182,31,OK
87,202501,202512,2150,216,OK
87,202601,202607,1227,206,OK
88,202501,202512,403,48,OK
88,202601,202607,248,44,OK
90,202501,202512,4128,356,OK
90,202601,202607,2406,349,OK
93,202501,202512,477,66,OK
93,202601,202607,286,64,OK
94,202501,202512,1008,84,OK
94,202601,202607,588,84,OK
96,202501,202512,966,82,OK
96,202601,202607,561,82,OK
97,202501,202512,320,32,OK
97,202601,202607,198,33,OK
99,202501,202512,1,1,OK
99,202601,202607,1,1,OK
