기준월,HSK10,수출액_USD
2025-01-01,2404110000,18519842.0
2025-01-01,2404121000,0.0
2025-01-01,2404129000,0.0
2025-01-01,2404191000,38.0
2025-01-01,2404199010,301817.0
2025-01-01,2404199090,0.0
2025-01-01,2404910000,0.0
2025-01-01,2404920000,0.0
2025-01-01,2404990000,8619.0
2025-01-01,2501001010,18136.0
2025-01-01,2501001020,86501.0
2025-01-01,2501009010,358359.0
2025-01-01,2501009090,161593.0
2025-01-01,2502000000,64.0
2025-01-01,2503000000,14168809.0
2025-01-01,2504101000,31932.0
2025-01-01,2504102000,111.0
2025-01-01,2504109000,1760860.0
2025-01-01,2504900000,0.0
2025-01-01,2505100000,98540.0
2025-01-01,2505901090,978.0
2025-01-01,2505909000,188026.0
2025-01-01,2506101000,452.0
2025-01-01,2506102000,0.0
2025-01-01,2506103000,206689.0
2025-01-01,2506200000,2533.0
2025-01-01,2507002000,6967.0
2025-01-01,2507009000,1495.0
2025-01-01,2508100000,133383.0
2025-01-01,2508300000,435.0
2025-01-01,2508401000,0.0
2025-01-01,2508402000,0.0
2025-01-01,2508409000,3861.0
2025-01-01,2508501000,0.0
2025-01-01,2508502000,0.0
2025-01-01,2508600000,0.0
2025-01-01,2508701000,0.0
2025-01-01,2509000000,76.0
2025-01-01,2510101000,0.0
2025-01-01,2510109000,4200.0
2025-01-01,2510201000,0.0
2025-01-01,2510209000,0.0
2025-01-01,2511100000,6746.0
2025-01-01,2511200000,0.0
2025-01-01,2512000000,285.0
2025-01-01,2513101000,0.0
2025-01-01,2513109000,4090.0
2025-01-01,2513201010,273.0
2025-01-01,2513201030,0.0
2025-01-01,2513201090,85.0
2025-01-01,2513202010,0.0
2025-01-01,2513202030,13349.0
2025-01-01,2513202090,2744.0
2025-01-01,2514001000,0.0
2025-01-01,2514009000,0.0
2025-01-01,2515111000,0.0
2025-01-01,2515121000,58.0
2025-01-01,2516110000,0.0
2025-01-01,2516209000,0.0
2025-01-01,2516901000,0.0
2025-01-01,2516909000,0.0
2025-01-01,2517101000,0.0
2025-01-01,2517102000,0.0
2025-01-01,2517109000,0.0
2025-01-01,2517300000,0.0
2025-01-01,2517410000,0.0
2025-01-01,2517491000,2599.0
2025-01-01,2517492000,0.0
2025-01-01,2517499000,184217.0
2025-01-01,2518100000,394975.0
2025-01-01,2518200000,0.0
2025-01-01,2519100000,0.0
2025-01-01,2519901000,42434.0
2025-01-01,2519902000,3223.0
2025-01-01,2520101000,64881.0
2025-01-01,2520102000,2800.0
2025-01-01,2520209000,138827.0
2025-01-01,2521001000,512.0
2025-01-01,2521009000,0.0
2025-01-01,2522100000,0.0
2025-01-01,2522200000,8767.0
2025-01-01,2522300000,0.0
2025-01-01,2523100000,5987522.0
2025-01-01,2523210000,46649.0
2025-01-01,2523290000,1777998.0
2025-01-01,2523300000,627765.0
2025-01-01,2523901000,0.0
2025-01-01,2523909000,62174.0
2025-01-01,2525100000,9462.0
2025-01-01,2525200000,115002.0
2025-01-01,2525300000,0.0
2025-01-01,2526100000,0.0
2025-01-01,2526200000,2380001.0
2025-01-01,2528002000,0.0
2025-01-01,2528004000,0.0
2025-01-01,2528009000,0.0
2025-01-01,2529100000,347720.0
2025-01-01,2529211000,30598.0
2025-01-01,2529219000,0.0
2025-01-01,2529221000,0.0
2025-01-01,2529229000,212.0
2025-01-01,2530101000,638.0
2025-01-01,2530102000,103213.0
2025-01-01,2530902000,0.0
2025-01-01,2530904000,0.0
2025-01-01,2530905000,399516.0
2025-01-01,2530906000,14851.0
2025-01-01,2530908000,235358.0
2025-01-01,2530909010,248000.0
2025-01-01,2530909020,18093.0
2025-01-01,2530909091,21257.0
2025-01-01,2530909099,599167.0
2025-01-01,2601111000,0.0
2025-01-01,2601112000,1508541.0
