기준월,기타수출_USD,기타_활성HSK10,기타수출_bn
2025-01-01,7022497435.0,2600,7.022497435
2025-02-01,7531706511.0,2628,7.531706511
2025-03-01,7852964380.0,2684,7.85296438
2025-04-01,8892380028.0,2679,8.892380028
2025-05-01,7988371263.0,2662,7.988371263
2025-06-01,8629296273.0,2640,8.629296273
2025-07-01,8679938640.0,2662,8.67993864
2025-08-01,7583541861.0,2649,7.583541861
2025-09-01,9135962257.0,2671,9.135962257
2025-10-01,7426573462.0,2643,7.426573462
2025-11-01,8014802400.0,2642,8.0148024
2025-12-01,8686967192.0,2679,8.686967192
2026-01-01,8340234938.0,2638,8.340234938
2026-02-01,8026464118.0,2620,8.026464118
2026-03-01,10008460367.0,2646,10.008460367
2026-04-01,9835549133.0,2674,9.835549133
2026-05-01,9245165184.0,2627,9.245165184
2026-06-01,10906895379.0,2637,10.906895379
2026-07-01,10846525320.0,2639,10.84652532
