기준월,산업20,수출액_USD,HSK10_활성수,MTI6_활성수,수출액_십억달러,YoY_%,MoM_%,3M_YoY_%,Momentum_Gap_pp,KITA_공식_USD,관세청_천USD,KITA_천USD,차이_천USD,원자료_차이_USD,Exact_PASS
2025-01-01,무선통신기기,1214244310.0,63,17,1.21424431,,,,,1214244000,1214244,1214244,0,310.0,True
2025-02-01,무선통신기기,1306633878.0,63,17,1.306633878,,7.608812101413109,,,1306634000,1306634,1306634,0,-122.0,True
2025-03-01,무선통신기기,1245735831.0,61,17,1.245735831,,-4.660681773628406,,,1245736000,1245736,1245736,0,-169.0,True
2025-04-01,무선통신기기,1452266432.0,61,16,1.452266432,,16.579004622048153,,,1452266000,1452266,1452266,0,432.0,True
2025-05-01,무선통신기기,1295407031.0,61,17,1.295407031,,-10.801007139163843,,,1295407000,1295407,1295407,0,31.0,True
2025-06-01,무선통신기기,1018108395.0,62,17,1.018108395,,-21.406293880151097,,,1018108000,1018108,1018108,0,395.0,True
2025-07-01,무선통신기기,1199891968.0,62,17,1.199891968,,17.855031339762206,,,1199892000,1199892,1199892,0,-32.0,True
2025-08-01,무선통신기기,1554044403.0,62,17,1.554044403,,29.5153600861507,,,1554044000,1554044,1554044,0,403.0,True
2025-09-01,무선통신기기,1737186825.0,61,16,1.737186825,,11.784889907035678,,,1737187000,1737187,1737187,0,-175.0,True
2025-10-01,무선통신기기,1824963215.0,60,15,1.824963215,,5.0527892991589995,,,1824963000,1824963,1824963,0,215.0,True
2025-11-01,무선통신기기,1721849752.0,62,17,1.721849752,,-5.650166652811139,,,1721850000,1721850,1721850,0,-248.0,True
2025-12-01,무선통신기기,1685851331.0,63,17,1.685851331,,-2.0906830551380207,,,1685851000,1685851,1685851,0,331.0,True
2026-01-01,무선통신기기,2025546160.0,60,16,2.02554616,66.81537177637671,20.14975002561481,66.81537177637671,0.0,2025546000,2025546,2025546,0,160.0,True
2026-02-01,무선통신기기,1466793442.0,62,17,1.466793442,12.257417069665166,-27.585286824566857,39.53639442302094,-27.27897735335577,1466793000,1466793,1466793,0,442.0,True
2026-03-01,무선통신기기,1785454400.0,61,17,1.7854544,43.325282581520284,21.725005639887506,40.79935714252072,2.5259254389995647,1785454000,1785454,1785454,0,400.0,True
2026-04-01,무선통신기기,1619500213.0,61,16,1.619500213,11.515365040125092,-9.294787198149667,22.36602156377018,-10.850656523645087,1619500000,1619500,1619500,0,213.0,True
2026-05-01,무선통신기기,1456283451.0,61,17,1.456283451,12.418986168062563,-10.078218001444627,22.419877929902643,-10.00089176184008,1456283000,1456283,1456283,0,451.0,True
2026-06-01,무선통신기기,1544198528.0,63,17,1.544198528,51.673292901194465,6.036948160032352,25.20254803646071,26.470744864733756,1544199000,1544199,1544199,0,-472.0,True
2026-07-01,무선통신기기,1812587375.0,60,16,1.812587375,51.062547574282945,17.380462559280453,38.38494221451332,12.677605359769622,1812587000,1812587,1812587,0,375.0,True
2025-01-01,반도체,10129969185.0,57,14,10.129969185,,,,,10129969000,10129969,10129969,0,185.0,True
2025-02-01,반도체,9647382548.0,57,14,9.647382548,,-4.763949703959536,,,9647383000,9647383,9647383,0,-452.0,True
2025-03-01,반도체,13058341065.0,57,14,13.058341065,,35.35631037775242,,,13058341000,13058341,13058341,0,65.0,True
2025-04-01,반도체,11663444836.0,57,14,11.663444836,,-10.68203244238054,,,11663445000,11663445,11663445,0,-164.0,True
2025-05-01,반도체,13794185577.0,57,14,13.794185577,,18.268537048534128,,,13794186000,13794186,13794186,0,-423.0,True
2025-06-01,반도체,14962292775.0,57,14,14.962292775,,8.468112825360752,,,14962293000,14962293,14962293,0,-225.0,True
2025-07-01,반도체,14707000282.0,57,14,14.707000282,,-1.706239122833897,,,14707000000,14707000,14707000,0,282.0,True
2025-08-01,반도체,15095443628.0,57,14,15.095443628,,2.641213969890366,,,15095444000,15095444,15095444,0,-372.0,True
2025-09-01,반도체,16620981535.0,57,14,16.620981535,,10.10594948114234,,,16620982000,16620982,16620982,0,-465.0,True
2025-10-01,반도체,15701441220.0,57,14,15.70144122,,-5.532406814023938,,,15701441000,15701441,15701441,0,220.0,True
2025-11-01,반도체,17258185998.0,57,14,17.258185998,,9.914661693711713,,,17258186000,17258186,17258186,0,-2.0,True
2025-12-01,반도체,20767818897.0,57,14,20.767818897,,20.33604748150657,,,20767819000,20767819,20767819,0,-103.0,True
2026-01-01,반도체,20541062130.0,57,14,20.54106213,102.77516895526469,-1.091866065110747,102.77516895526469,0.0,20541062000,20541062,20541062,0,130.0,True
2026-02-01,반도체,25137331581.0,57,14,25.137331581,160.56115693485404,22.37600676104863,131.66816294505935,28.89299398979469,25137332000,25137332,25137332,0,-419.0,True
2026-03-01,반도체,32827676808.0,57,14,32.827676808,151.39239850295638,30.593323727378973,138.24290813102505,13.149490371931336,32827677000,32827677,32827677,0,-192.0,True
2026-04-01,반도체,31892551490.0,57,14,31.89255149,173.44023946991643,-2.84858816988266,161.79793163590895,11.642307834007482,31892551000,31892551,31892551,0,490.0,True
2026-05-01,반도체,37158099212.0,57,14,37.158099212,169.3750856444636,16.510274267805226,164.7359078724455,4.639177772018115,37158099000,37158099,37158099,0,212.0,True
2026-06-01,반도체,44812600394.0,57,14,44.812600394,199.50356584971988,20.59981900131216,180.77296365469996,18.730602195019912,44812600000,44812600,44812600,0,394.0,True
2026-07-01,반도체,41006096710.0,57,14,41.00609671,178.8202619414351,-8.494270920528091,182.56630447853954,-3.7460425371044437,41006097000,41006097,41006097,0,-290.0,True
2025-01-01,자동차,4986813368.0,96,20,4.986813368,,,,,4986813000,4986813,4986813,0,368.0,True
2025-02-01,자동차,6065040333.0,101,20,6.065040333,,21.621562417372587,,,6065040000,6065040,6065040,0,333.0,True
2025-03-01,자동차,6232222031.0,104,23,6.232222031,,2.756481223881746,,,6232222000,6232222,6232222,0,31.0,True
2025-04-01,자동차,6526879880.0,103,21,6.52687988,,4.7279741885691395,,,6526880000,6526880,6526880,0,-120.0,True
2025-05-01,자동차,6197603809.0,99,20,6.197603809,,-5.044923103441579,,,6197604000,6197604,6197604,0,-191.0,True
2025-06-01,자동차,6340134741.0,102,20,6.340134741,,2.2997748225373815,,,6340135000,6340135,6340135,0,-259.0,True
2025-07-01,자동차,5829848835.0,92,18,5.829848835,,-8.048502545223746,,,5829849000,5829849,5829849,0,-165.0,True
2025-08-01,자동차,5488581021.0,96,18,5.488581021,,-5.853802108061002,,,5488581000,5488581,5488581,0,21.0,True
2025-09-01,자동차,6403543714.0,102,20,6.403543714,,16.670295828725813,,,6403544000,6403544,6403544,0,-286.0,True
2025-10-01,자동차,5543134596.0,102,22,5.543134596,,-13.436452633545649,,,5543135000,5543135,5543135,0,-404.0,True
2025-11-01,자동차,6408887048.0,106,23,6.408887048,,15.618463470555778,,,6408887000,6408887,6408887,0,48.0,True
2025-12-01,자동차,5951832601.0,106,21,5.951832601,,-7.131572823437904,,,5951833000,5951833,5951833,0,-399.0,True
2026-01-01,자동차,6066082256.0,90,18,6.066082256,21.64245598051826,1.9195710407044153,21.64245598051826,0.0,6066082000,6066082,6066082,0,256.0,True
2026-02-01,자동차,4801739453.0,89,18,4.801739453,-20.82922471473695,-20.84282325300536,0.40661563289065583,-21.235840347627605,4801739000,4801739,4801739,0,453.0,True
2026-03-01,자동차,6367235029.0,102,20,6.367235029,2.1663701538299662,32.602676411814045,0.9932004732037593,1.173169680626207,6367235000,6367235,6367235,0,29.0,True
2026-04-01,자동차,6161569218.0,104,20,6.161569218,-5.597018310684765,-3.2300646994069093,-8.086624290530581,2.489605979845816,6161569000,6161569,6161569,0,218.0,True
2026-05-01,자동차,5821011321.0,97,20,5.821011321,-6.0764208169151175,-5.527129290459265,-3.169022991256639,-2.9073978256584785,5821011000,5821011,5821011,0,321.0,True
2026-06-01,자동차,6703054256.0,98,19,6.703054256,5.724160918112586,15.152743850848104,-1.9830927364957656,7.707253654608352,6703054000,6703054,6703054,0,256.0,True
2026-07-01,자동차,6237951936.0,97,21,6.237951936,7.000234698195218,-6.938662619113966,2.215991599797562,4.784243098397656,6237952000,6237952,6237952,0,-64.0,True
2025-01-01,자동차부품,1562600613.0,60,3,1.562600613,,,,,1562601000,1562601,1562601,0,-387.0,True
2025-02-01,자동차부품,1855822775.0,61,3,1.855822775,,18.765010045468355,,,1855823000,1855823,1855823,0,-225.0,True
2025-03-01,자동차부품,1827635041.0,61,3,1.827635041,,-1.5188807023881923,,,1827635000,1827635,1827635,0,41.0,True
2025-04-01,자동차부품,2016280238.0,61,3,2.016280238,,10.321819880230665,,,2016280000,2016280,2016280,0,238.0,True
2025-05-01,자동차부품,1653810957.0,61,3,1.653810957,,-17.977128088084747,,,1653811000,1653811,1653811,0,-43.0,True
2025-06-01,자동차부품,1786194574.0,59,3,1.786194574,,8.0047611511864,,,1786195000,1786195,1786195,0,-426.0,True
2025-07-01,자동차부품,1908973888.0,62,3,1.908973888,,6.873792798790568,,,1908974000,1908974,1908974,0,-112.0,True
2025-08-01,자동차부품,1661311943.0,59,3,1.661311943,,-12.973563785069441,,,1661312000,1661312,1661312,0,-57.0,True
2025-09-01,자동차부품,1911174349.0,60,3,1.911174349,,15.040065597120677,,,1911174000,1911174,1911174,0,349.0,True
