기준월,산업20_수출_USD,산업수,산업20_수출_bn,기타수출_USD,기타_활성HSK10,기타수출_bn,한국전체수출_USD,재구성전체수출_USD,원자료차이_USD,재구성_천USD,전체수출_천USD,차이_천USD,Exact_PASS,산업20_Coverage_%,기타_Coverage_%,Coverage합계_%,한국전체수출_bn,재구성전체수출_bn
2025-01-01,42125940658.0,20,42.125940658,7022497435.0,2600,7.022497435,49176984042,49148438093.0,-28545949.0,49148438,49176984,-28546,False,85.66190358892689,14.280049034732139,99.94195262365903,49.176984042,49.148438093
2025-02-01,44729009115.0,20,44.729009115,7531706511.0,2628,7.531706511,52292301495,52260715626.0,-31585869.0,52260716,52292301,-31585,False,85.53650888606772,14.403088591769391,99.93959747783711,52.292301495,52.260715626
2025-03-01,50190539591.0,20,50.190539591,7852964380.0,2684,7.85296438,58064561820,58043503971.0,-21057849.0,58043504,58064562,-21058,False,86.4391946099422,13.52453912309572,99.96373373303793,58.06456182,58.043503971
2025-04-01,49111732802.0,20,49.111732802,8892380028.0,2679,8.892380028,58035745123,58004112830.0,-31632293.0,58004113,58035745,-31632,False,84.62324847887007,15.322246675998793,99.94549515486887,58.035745123,58.00411283
2025-05-01,49239587442.0,20,49.239587442,7988371263.0,2662,7.988371263,57261062502,57227958705.0,-33103797.0,57227959,57261063,-33104,False,85.99139675460995,13.950791190297917,99.94218794490787,57.261062502,57.227958705
2025-06-01,51175668707.0,20,51.175668707,8629296273.0,2640,8.629296273,59833796879,59804964980.0,-28831899.0,59804965,59833797,-28832,False,85.52970290434843,14.422110451139769,99.9518133554882,59.833796879,59.80496498
2025-07-01,52011846720.0,20,52.01184672,8679938640.0,2662,8.67993864,60724322143,60691785360.0,-32536783.0,60691785,60724322,-32537,False,85.652412220456,14.29400664129205,99.94641886174804,60.724322143,60.69178536
2025-08-01,50653587500.0,20,50.6535875,7583541861.0,2649,7.583541861,58259331990,58237129361.0,-22202629.0,58237129,58259332,-22203,False,86.94501939825624,13.01687060589999,99.96189000415623,58.25933199,58.237129361
2025-09-01,56734879506.0,20,56.734879506,9135962257.0,2671,9.135962257,65904118036,65870841763.0,-33276273.0,65870842,65904118,-33276,False,86.08700214303555,13.862505908977491,99.94950805201304,65.904118036,65.870841763
2025-10-01,52064913170.0,20,52.06491317,7426573462.0,2643,7.426573462,59511577956,59491486632.0,-20091324.0,59491487,59511578,-20091,False,87.48703186545363,12.47920777279818,99.9662396382518,59.511577956,59.491486632
2025-11-01,52715614880.0,20,52.71561488,8014802400.0,2642,8.0148024,60752618324,60730417280.0,-22201044.0,60730417,60752618,-22201,False,86.77093487372375,13.192521772899118,99.96345664662286,60.752618324,60.73041728
2025-12-01,60801176558.0,20,60.801176558,8686967192.0,2679,8.686967192,69513624492,69488143750.0,-25480742.0,69488144,69513624,-25480,False,87.46656069559043,12.496783552121848,99.96334424771229,69.513624492,69.48814375
2026-01-01,57478824056.0,20,57.478824056,8340234938.0,2638,8.340234938,65843936782,65819058994.0,-24877788.0,65819059,65843937,-24878,False,87.29554590015522,12.666671140295488,99.96221704045071,65.843936782,65.819058994
2026-02-01,59585702737.0,20,59.585702737,8026464118.0,2620,8.026464118,67642546892,67612166855.0,-30380037.0,67612167,67642547,-30380,False,88.08908811806897,11.865999266431052,99.95508738450002,67.642546892,67.612166855
2026-03-01,77288004538.0,20,77.288004538,10008460367.0,2646,10.008460367,87333127845,87296464905.0,-36662940.0,87296465,87333128,-36663,False,88.49792334836762,11.46009608720662,99.95801943557424,87.333127845,87.296464905
2026-04-01,75881777291.0,20,75.881777291,9835549133.0,2674,9.835549133,85751882817,85717326424.0,-34556393.0,85717326,85751883,-34557,False,88.48992558325112,11.46977630099352,99.95970188424464,85.751882817,85.717326424
2026-05-01,78306314341.0,20,78.306314341,9245165184.0,2627,9.245165184,87576083100,87551479525.0,-24603575.0,87551480,87576083,-24603,False,89.41518228394027,10.556723772908724,99.971906056849,87.5760831,87.551479525
2026-06-01,91013923047.0,20,91.013923047,10906895379.0,2637,10.906895379,101956159193,101920818426.0,-35340767.0,101920818,101956159,-35341,False,89.26770463637546,10.69763265439763,99.96533729077308,101.956159193,101.920818426
2026-07-01,88074164811.0,20,88.074164811,10846525320.0,2639,10.84652532,98959098818,98920690131.0,-38408687.0,98920690,98959099,-38409,False,89.00057282552768,10.960614485736494,99.96118731126418,98.959098818,98.920690131
