산업20,현재YTD_USD,전년YTD_USD,YTD_YoY_%,현재YTD_bn,전년YTD_bn,YTD_증감액_bn,순위
반도체,233375418325.0,87962616268.0,165.31204757935316,233.375418325,87.962616268,145.412802057,1
자동차,42158643469.0,42178542997.0,-0.04717926838159192,42.158643469,42.178542997,-0.019899528,2
석유제품,35452426235.0,25818420516.0,37.314465898600126,35.452426235,25.818420516,9.634005719,3
일반기계,27510349982.0,27951767041.0,-1.5792098522877773,27.510349982,27.951767041,-0.441417059,4
석유화학,26795244142.0,25334303634.0,5.76664955589834,26.795244142,25.334303634,1.460940508,5
컴퓨터,25975331434.0,6804851311.0,281.7178399182806,25.975331434,6.804851311,19.170480123,6
선박류,19836912664.0,16221556619.0,22.28735583097743,19.836912664,16.221556619,3.615356045,7
철강제품,14721093199.0,14911746662.0,-1.2785454804288388,14.721093199,14.911746662,-0.190653463,8
자동차부품,11969279940.0,12611318086.0,-5.090967824471382,11.96927994,12.611318086,-0.642038146,9
무선통신기기,11710363569.0,8732287845.0,34.104186404084345,11.710363569,8.732287845,2.978075724,10
비철금속,11187359784.0,8233868442.0,35.870033178263895,11.187359784,8.233868442,2.953491342,11
바이오헬스,10766719592.0,9476826209.0,13.611027094440198,10.766719592,9.476826209,1.289893383,12
전기기기,10408745519.0,9920779742.0,4.918623230129571,10.408745519,9.920779742,0.487965777,13
디스플레이,9934570372.0,9180564744.0,8.213063673373512,9.934570372,9.180564744,0.754005628,14
화장품,8326242423.0,6480973828.0,28.472088361594917,8.326242423,6.480973828,1.845268595,15
농수산식품,7654942195.0,7107908211.0,7.696131798008099,7.654942195,7.107908211,0.547033984,16
섬유류,6298617721.0,6210945843.0,1.4115704792179162,6.298617721,6.210945843,0.087671878,17
생활용품,5004234834.0,4922086550.0,1.6689727652188457,5.004234834,4.92208655,0.082148284,18
이차전지,4682694025.0,4185136135.0,11.888690688911119,4.682694025,4.185136135,0.49755789,19
가전,3859521397.0,4337824352.0,-11.026332930688476,3.859521397,4.337824352,-0.478302955,20
