기준월,연도,월,산업,수출액_천달러,수출액_USD,수출액_십억달러,KITA_YoY_%,전체수출_천달러,전체수출_USD,전년동월_수출액_USD,계산_YoY_%,전체수출대비_비중_%,MoM_%,3M_수출액_USD,3M_전년동기_USD,3M_YoY_%
2022-01-01,2022,1,무선통신기기 (812),1350522,1350522000,1.350522,-16.8,22521593,22521593000,,,5.996565163041531,,,,
2022-02-01,2022,2,무선통신기기 (812),1268830,1268830000,1.26883,-9.1,22355024,22355024000,,,5.675815870293855,-6.048920343393149,,,
2022-03-01,2022,3,무선통신기기 (812),1844725,1844725000,1.844725,23.6,26391597,26391597000,,,6.989819524752519,45.38787702056224,4464077000.0,,
2022-04-01,2022,4,무선통신기기 (812),1570091,1570091000,1.570091,-2.6,23144448,23144448000,,,6.783877498396159,-14.887530661751747,4683646000.0,,
2022-05-01,2022,5,무선통신기기 (812),1297984,1297984000,1.297984,-4.8,24098720,24098720000,,,5.386111793489447,-17.330651535484254,4712800000.0,,
2022-06-01,2022,6,무선통신기기 (812),1161915,1161915000,1.161915,-3.9,23714691,23714691000,,,4.899557831050803,-10.483103027464125,4029990000.0,,
2022-07-01,2022,7,무선통신기기 (812),1125359,1125359000,1.125359,-16.9,24898466,24898466000,,,4.519792504486019,-3.146185392218881,3585258000.0,,
2022-08-01,2022,8,무선통신기기 (812),1319624,1319624000,1.319624,-21.0,22194986,22194986000,,,5.945595099722072,17.262491347205653,3606898000.0,,
2022-09-01,2022,9,무선통신기기 (812),1670673,1670673000,1.670673,-7.8,24299379,24299379000,,,6.875373234846865,26.60219880814536,4115656000.0,,
2022-10-01,2022,10,무선통신기기 (812),1792302,1792302000,1.792302,-5.5,21896471,21896471000,,,8.18534639668648,7.280239759665719,4782599000.0,,
2022-11-01,2022,11,무선통신기기 (812),1628078,1628078000,1.628078,-18.9,21078451,21078451000,,,7.723897738026385,-9.162741546904485,5091053000.0,,
2022-12-01,2022,12,무선통신기기 (812),1200804,1200804000,1.200804,-33.3,22600071,22600071000,,,5.3132753432500275,-26.244074301108423,4621184000.0,,
2023-01-01,2023,1,무선통신기기 (812),1561729,1561729000,1.561729,15.6,17492602,17492602000,1350522000.0,15.638915915475637,8.927939937123133,30.056945180062698,4390611000.0,,
2023-02-01,2023,2,무선통신기기 (812),1243238,1243238000,1.243238,-2.0,18019429,18019429000,1268830000.0,-2.0169762694766002,6.899430609038721,-20.39348696220663,4005771000.0,,
2023-03-01,2023,3,무선통신기기 (812),1060397,1060397000,1.060397,-42.5,21206947,21206947000,1844725000.0,-42.517339982924284,5.000234121394278,-14.706838111447684,3865364000.0,4464077000.0,-13.41179822839077
2023-04-01,2023,4,무선통신기기 (812),1030796,1030796000,1.030796,-34.3,18773238,18773238000,1570091000.0,-34.34800912813334,5.49077362147116,-2.7915016734298526,3334431000.0,4683646000.0,-28.806938013675676
2023-05-01,2023,5,무선통신기기 (812),1141017,1141017000,1.141017,-12.1,19750914,19750914000,1297984000.0,-12.093138282135985,5.777033913468511,10.692804395826139,3232210000.0,4712800000.0,-31.416355457477508
2023-06-01,2023,6,무선통신기기 (812),1019472,1019472000,1.019472,-12.3,22793574,22793574000,1161915000.0,-12.259330501800903,4.472628996224989,-10.65233909748935,3191285000.0,4029990000.0,-20.81159010320125
2023-07-01,2023,7,무선통신기기 (812),951948,951948000,0.951948,-15.4,20431155,20431155000,1125359000.0,-15.409393802333305,4.659296060354885,-6.623428598333259,3112437000.0,3585258000.0,-13.187921203997032
2023-08-01,2023,8,무선통신기기 (812),1206005,1206005000,1.206005,-8.6,20973429,20973429000,1319624000.0,-8.60995253193334,5.750156543310109,26.688117418178315,3177425000.0,3606898000.0,-11.90699043887573
2023-09-01,2023,9,무선통신기기 (812),1610382,1610382000,1.610382,-3.6,22533828,22533828000,1670673000.0,-3.608785202131115,7.1465087955761435,33.53029216296781,3768335000.0,4115656000.0,-8.439019198883479
2023-10-01,2023,10,무선통신기기 (812),1712167,1712167000,1.712167,-4.5,23864352,23864352000,1792302000.0,-4.471065702097077,7.174579892217479,6.320550030986438,4528554000.0,4782599000.0,-5.311860768590471
2023-11-01,2023,11,무선통신기기 (812),1763197,1763197000,1.763197,8.3,23719020,23719020000,1628078000.0,8.299295242611215,7.4336840223584275,2.98043356751998,5085746000.0,5091053000.0,-0.10424169616777279
2023-12-01,2023,12,무선통신기기 (812),1164764,1164764000,1.164764,-3.0,26234525,26234525000,1200804000.0,-3.0013224472936417,4.4398135662833615,-33.940223355643184,4640128000.0,4621184000.0,0.4099382322798606
2024-01-01,2024,1,무선통신기기 (812),1340312,1340312000,1.340312,-14.2,23356174,23356174000,1561729000.0,-14.177683836312195,5.738576874791222,15.071550975133153,4268273000.0,4390611000.0,-2.7863547920779164
2024-02-01,2024,2,무선통신기기 (812),1032757,1032757000,1.032757,-16.9,21789998,21789998000,1243238000.0,-16.930064878969276,4.739591990784028,-22.946522899145872,3537833000.0,4005771000.0,-11.68159637682733
2024-03-01,2024,3,무선통신기기 (812),1114969,1114969000,1.114969,5.1,25284290,25284290000,1060397000.0,5.146374423918587,4.409730310797732,7.960439871141034,3488038000.0,3865364000.0,-9.761719724196738
2024-04-01,2024,4,무선통신기기 (812),1147486,1147486000,1.147486,11.3,23774108,23774108000,1030796000.0,11.320377649893864,4.826620624420483,2.916403953831903,3295212000.0,3334431000.0,-1.1761826830424704
2024-05-01,2024,5,무선통신기기 (812),1247166,1247166000,1.247166,9.3,25772539,25772539000,1141017000.0,9.303016519473427,4.839127413872571,8.686816222594441,3509621000.0,3232210000.0,8.582703475331122
