기준월,수출액_USD,전년동월_수출액_USD,YoY_%,수출액_십억달러
2025-01-01,8268989656,,,8.268989656
2025-02-01,8112391734,,,8.112391734
2025-03-01,10455177574,,,10.455177574
2025-04-01,9775948355,,,9.775948355
2025-05-01,11574556621,,,11.574556621
2025-06-01,12255310096,,,12.255310096
2025-07-01,12288713721,,,12.288713721
2025-08-01,12615814759,,,12.615814759
2025-09-01,13623717419,,,13.623717419
2025-10-01,13175851662,,,13.175851662
2025-11-01,13954468154,,,13.954468154
2025-12-01,16726109703,,,16.726109703
2026-01-01,16403458697,8268989656.0,98.37319164013718,16.403458697
2026-02-01,19449479440,8112391734.0,139.75024971347122,19.44947944
2026-03-01,24904816868,10455177574.0,138.20558466585447,24.904816868
2026-04-01,25237330789,9775948355.0,158.1573661453738,25.237330789
2026-05-01,29433799312,11574556621.0,154.29742387365008,29.433799312
2026-06-01,33564194438,12255310096.0,173.87470553645957,33.564194438
2026-07-01,32723176487,12288713721.0,166.28642533253787,32.723176487
