대시보드품목,조회HS,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,수출액_십억달러
반도체,8542,2025-01-01,8268989656,,,8.268989656
반도체,8542,2025-02-01,8112391734,,,8.112391734
반도체,8542,2025-03-01,10455177574,,,10.455177574
반도체,8542,2025-04-01,9775948355,,,9.775948355
반도체,8542,2025-05-01,11574556621,,,11.574556621
반도체,8542,2025-06-01,12255310096,,,12.255310096
반도체,8542,2025-07-01,12288713721,,,12.288713721
반도체,8542,2025-08-01,12615814759,,,12.615814759
반도체,8542,2025-09-01,13623717419,,,13.623717419
반도체,8542,2025-10-01,13175851662,,,13.175851662
반도체,8542,2025-11-01,13954468154,,,13.954468154
반도체,8542,2025-12-01,16726109703,,,16.726109703
반도체,8542,2026-01-01,16403458697,8268989656.0,98.37319164013718,16.403458697
반도체,8542,2026-02-01,19449479440,8112391734.0,139.75024971347122,19.44947944
반도체,8542,2026-03-01,24904816868,10455177574.0,138.20558466585447,24.904816868
반도체,8542,2026-04-01,25237330789,9775948355.0,158.1573661453738,25.237330789
반도체,8542,2026-05-01,29433799312,11574556621.0,154.29742387365008,29.433799312
반도체,8542,2026-06-01,33564194438,12255310096.0,173.87470553645957,33.564194438
반도체,8542,2026-07-01,32723176487,12288713721.0,166.28642533253787,32.723176487
선박,8901,2025-01-01,2012617003,,,2.012617003
선박,8901,2025-02-01,1426040098,,,1.426040098
선박,8901,2025-03-01,2772861657,,,2.772861657
선박,8901,2025-04-01,1593980774,,,1.593980774
선박,8901,2025-05-01,2121014590,,,2.12101459
선박,8901,2025-06-01,2272274171,,,2.272274171
선박,8901,2025-07-01,2051955963,,,2.051955963
선박,8901,2025-08-01,2940606745,,,2.940606745
선박,8901,2025-09-01,2474103416,,,2.474103416
선박,8901,2025-10-01,2116298659,,,2.116298659
선박,8901,2025-11-01,1355906559,,,1.355906559
선박,8901,2025-12-01,2833789412,,,2.833789412
선박,8901,2026-01-01,2214926125,2012617003.0,10.05204277308791,2.214926125
선박,8901,2026-02-01,2101450976,1426040098.0,47.36268488854232,2.101450976
선박,8901,2026-03-01,2595347641,2772861657.0,-6.401834565091679,2.595347641
선박,8901,2026-04-01,2614393838,1593980774.0,64.01664817068865,2.614393838
선박,8901,2026-05-01,2451647795,2121014590.0,15.58844557500192,2.451647795
선박,8901,2026-06-01,2655544810,2272274171.0,16.867270855405934,2.65554481
선박,8901,2026-07-01,3047217866,2051955963.0,48.503082958218435,3.047217866
승용차,8703,2025-01-01,4828883076,,,4.828883076
승용차,8703,2025-02-01,5848945289,,,5.848945289
승용차,8703,2025-03-01,6011597465,,,6.011597465
승용차,8703,2025-04-01,6298092143,,,6.298092143
승용차,8703,2025-05-01,5939575213,,,5.939575213
승용차,8703,2025-06-01,5995652378,,,5.995652378
승용차,8703,2025-07-01,5492658435,,,5.492658435
승용차,8703,2025-08-01,5212759365,,,5.212759365
승용차,8703,2025-09-01,6042273371,,,6.042273371
승용차,8703,2025-10-01,5246367134,,,5.246367134
승용차,8703,2025-11-01,6043663013,,,6.043663013
승용차,8703,2025-12-01,5587815030,,,5.58781503
승용차,8703,2026-01-01,5743691377,4828883076.0,18.944511320778968,5.743691377
승용차,8703,2026-02-01,4503114242,5848945289.0,-23.00980741828922,4.503114242
승용차,8703,2026-03-01,6077604504,6011597465.0,1.0979949902550468,6.077604504
승용차,8703,2026-04-01,5841731823,6298092143.0,-7.246008944267679,5.841731823
승용차,8703,2026-05-01,5480812945,5939575213.0,-7.723822858508522,5.480812945
승용차,8703,2026-06-01,6360318498,5995652378.0,6.082175833576997,6.360318498
승용차,8703,2026-07-01,5954827283,5492658435.0,8.414301625875641,5.954827283
자동차부품,8708,2025-01-01,1301972338,,,1.301972338
자동차부품,8708,2025-02-01,1567416790,,,1.56741679
자동차부품,8708,2025-03-01,1552955557,,,1.552955557
자동차부품,8708,2025-04-01,1708272450,,,1.70827245
자동차부품,8708,2025-05-01,1404162468,,,1.404162468
자동차부품,8708,2025-06-01,1520443219,,,1.520443219
자동차부품,8708,2025-07-01,1607760744,,,1.607760744
자동차부품,8708,2025-08-01,1403690866,,,1.403690866
자동차부품,8708,2025-09-01,1628200311,,,1.628200311
자동차부품,8708,2025-10-01,1267387478,,,1.267387478
자동차부품,8708,2025-11-01,1307094628,,,1.307094628
자동차부품,8708,2025-12-01,1541096221,,,1.541096221
자동차부품,8708,2026-01-01,1366942234,1301972338.0,4.990113392101891,1.366942234
자동차부품,8708,2026-02-01,1206014503,1567416790.0,-23.057191252876652,1.206014503
자동차부품,8708,2026-03-01,1505162383,1552955557.0,-3.0775622511906797,1.505162383
자동차부품,8708,2026-04-01,1588851130,1708272450.0,-6.99076543674283,1.58885113
자동차부품,8708,2026-05-01,1306855079,1404162468.0,-6.929923795684301,1.306855079
자동차부품,8708,2026-06-01,1469543349,1520443219.0,-3.3476994973529517,1.469543349
자동차부품,8708,2026-07-01,1653930745,1607760744.0,2.871696001553814,1.653930745
