산업,MTI3,MTI4,MTI6코드,품목명,매칭키워드
반도체,732,7321,732100,반도체제조용장비,반도체
반도체,732,7322,732200,반도체제조용장비부품,반도체
반도체,831,8311,831110,D램,D램
반도체,831,8311,831120,낸드,낸드
반도체,831,8311,831190,기타 메모리반도체,"반도체, 메모리"
반도체,831,8312,831210,프로세서와 컨트롤러,"프로세서, 컨트롤러"
반도체,831,8312,831230,기타 집적회로반도체,"반도체, 집적회로"
반도체,831,8312,831240,집적회로 반도체부품,"반도체, 집적회로"
반도체,831,8313,831330,반도체기반 트랜스듀서,반도체
반도체,831,8313,831340,개별소자 반도체부품,반도체
반도체,831,8313,831390,기타개별소자반도체,반도체
디스플레이,736,7361,736100,평판 디스플레이 제조용 장비,"디스플레이, 평판"
디스플레이,736,7362,736200,평판 디스플레이 장비 부품,"디스플레이, 평판"
디스플레이,813,8134,813420,데이터디스플레이장치,디스플레이
디스플레이,821,8211,821122,LCD TV(디지털의 것),LCD
디스플레이,837,8371,837110,LCD,LCD
디스플레이,837,8371,837120,OLED,OLED
디스플레이,837,8371,837130,"LCD, OLED 이외","LCD, OLED"
무선통신기기,811,8115,811500,유선통신기기부품,통신기기
무선통신기기,811,8119,811900,기타유선통신기기,통신기기
무선통신기기,812,8122,812200,방송용통신기기,통신기기
무선통신기기,812,8128,812890,기타무선통신기기부품,"무선통신, 통신기기"
컴퓨터,719,7191,719110,적층제조기계(3D프린터),프린터
컴퓨터,719,7192,719210,적층제조기계(3D프린터) 부품,프린터
컴퓨터,813,8131,813110,휴대용컴퓨터,컴퓨터
컴퓨터,813,8131,813120,개인용컴퓨터,컴퓨터
컴퓨터,813,8133,813310,레이저프린터,프린터
컴퓨터,813,8133,813320,도트프린터,프린터
컴퓨터,813,8133,813330,잉크젯프린터,프린터
컴퓨터,813,8133,813390,기타프린터,프린터
컴퓨터,813,8135,813510,스캐너,스캐너
컴퓨터,813,8135,813530,마우스,마우스
컴퓨터,813,8135,813590,기타컴퓨터주변기기,컴퓨터
컴퓨터,813,8136,813690,기타컴퓨터부품,컴퓨터
컴퓨터,813,8138,813800,전산기록매체,전산기록매체
가전,812,8124,812410,TV카메라,TV
가전,821,8211,821122,LCD TV(디지털의 것),TV
가전,821,8211,821143,기타 TV,TV
가전,821,8211,821170,칼라TV부품,TV
가전,821,8212,821210,흑백TV,TV
가전,823,8230,823010,냉장고(200리터이하),냉장고
가전,823,8230,823020,냉장고(200-400리터이하),냉장고
가전,823,8230,823030,냉장고(400리터이상),냉장고
가전,823,8230,823040,냉장고부품,냉장고
가전,824,8241,824100,세탁기,세탁기
가전,824,8242,824200,에어컨,에어컨
가전,824,8245,824500,진공청소기,청소기
가전,824,8245,824510,로봇청소기,청소기
가전,824,8249,824900,기타가정용회전기기,가정용
가전,825,8254,825400,전자레인지,전자레인지
가전,829,8291,829100,기타가정용전자,가정용
가전,829,8292,829200,기타가정용전자부품,가정용
자동차,133,1331,133120,자동차휘발유,자동차
자동차,320,3203,320310,승용차용타이어,승용차
자동차,741,7411,741130,하이브리드 트랙터(신차),하이브리드
