산업,공식상위MTI,공식상위품목명,MTI6코드,MTI6품목명
반도체,831,반도체,831110,D램
반도체,831,반도체,831120,낸드
반도체,831,반도체,831130,S램
반도체,831,반도체,831190,기타 메모리반도체
반도체,831,반도체,831210,프로세서와 컨트롤러
반도체,831,반도체,831220,증폭기
반도체,831,반도체,831230,기타 집적회로반도체
반도체,831,반도체,831240,집적회로 반도체부품
반도체,831,반도체,831310,트랜지스터
반도체,831,반도체,831320,다이오드
반도체,831,반도체,831330,반도체기반 트랜스듀서
반도체,831,반도체,831340,개별소자 반도체부품
반도체,831,반도체,831390,기타개별소자반도체
반도체,831,반도체,831400,실리콘웨이퍼
자동차,741,자동차,741110,내연기관 트랙터(신차)
자동차,741,자동차,741120,내연기관 트랙터(중고차)
자동차,741,자동차,741130,하이브리드 트랙터(신차)
자동차,741,자동차,741140,하이브리드 트랙터(중고차)
자동차,741,자동차,741150,전기 트랙터(신차)
자동차,741,자동차,741160,전기 트랙터(중고차)
자동차,741,자동차,741210,내연기관 승합차(신차)
자동차,741,자동차,741220,내연기관 승합차(중고차)
자동차,741,자동차,741230,하이브리드 승합차(신차)
자동차,741,자동차,741240,하이브리드 승합차(중고차)
자동차,741,자동차,741250,전기 승합차(신차)
자동차,741,자동차,741260,전기 승합차(중고차)
자동차,741,자동차,741310,내연기관 승용차(신차)
자동차,741,자동차,741320,내연기관 승용차(중고차)
자동차,741,자동차,741330,하이브리드 승용차(신차)
자동차,741,자동차,741340,하이브리드 승용차(중고차)
자동차,741,자동차,741350,전기 승용차(신차)
자동차,741,자동차,741360,전기 승용차(중고차)
자동차,741,자동차,741410,내연기관 화물차(신차)
자동차,741,자동차,741420,내연기관 화물차(중고차)
자동차,741,자동차,741430,하이브리드 화물차(신차)
자동차,741,자동차,741440,하이브리드 화물차(중고차)
자동차,741,자동차,741450,전기 화물차(신차)
자동차,741,자동차,741460,전기 화물차(중고차)
자동차,741,자동차,741500,특장차
자동차,741,자동차,741600,기타자동차
자동차부품,742,자동차부품,742000,자동차부품
자동차부품,742,자동차부품,742010,자동차용내연기관
자동차부품,742,자동차부품,742130,차량용구동모터
선박,7461,선박,746110,여객선
선박,7461,선박,746120,화물선
선박,7461,선박,746130,어선
선박,7461,선박,746140,요트
선박,7461,선박,746151,아웃보드 모터보트
선박,7461,선박,746159,기타모터보트
선박,7461,선박,746160,예인선
선박,7461,선박,746170,군함
선박,7461,선박,746190,기타선박
디스플레이,736,평판 디스플레이 제조용 장비,736100,평판 디스플레이 제조용 장비
디스플레이,736,평판 디스플레이 제조용 장비,736200,평판 디스플레이 장비 부품
무선통신기기,812,무선통신기기,812130,코드 분할식 전화기
무선통신기기,812,무선통신기기,812140,시 분할식 전화기
무선통신기기,812,무선통신기기,812150,주파수 분할식전화기
무선통신기기,812,무선통신기기,812160,스마트폰
무선통신기기,812,무선통신기기,812190,기타무선전화기
무선통신기기,812,무선통신기기,812200,방송용통신기기
무선통신기기,812,무선통신기기,812410,TV카메라
무선통신기기,812,무선통신기기,812420,수상기
무선통신기기,812,무선통신기기,812510,위성방송수신기
무선통신기기,812,무선통신기기,812520,비디오튜너
무선통신기기,812,무선통신기기,812590,기타무선수신기
무선통신기기,812,무선통신기기,812610,레이더
무선통신기기,812,무선통신기기,812620,무선원격조절기
무선통신기기,812,무선통신기기,812720,무선중계기
무선통신기기,812,무선통신기기,812810,안테나
무선통신기기,812,무선통신기기,812820,스마트폰부품
무선통신기기,812,무선통신기기,812890,기타무선통신기기부품
컴퓨터,813,컴퓨터,813110,휴대용컴퓨터
컴퓨터,813,컴퓨터,813120,개인용컴퓨터
컴퓨터,813,컴퓨터,813220,HDD
컴퓨터,813,컴퓨터,813230,CDD
컴퓨터,813,컴퓨터,813240,DVD
컴퓨터,813,컴퓨터,813250,광디스크드라이브
컴퓨터,813,컴퓨터,813260,블루레이디스크드라이브
컴퓨터,813,컴퓨터,813290,기타보조기억장치
컴퓨터,813,컴퓨터,813310,레이저프린터
컴퓨터,813,컴퓨터,813320,도트프린터
컴퓨터,813,컴퓨터,813330,잉크젯프린터
컴퓨터,813,컴퓨터,813390,기타프린터
컴퓨터,813,컴퓨터,813420,데이터디스플레이장치
컴퓨터,813,컴퓨터,813510,스캐너
컴퓨터,813,컴퓨터,813520,키입력장치
컴퓨터,813,컴퓨터,813530,마우스
컴퓨터,813,컴퓨터,813590,기타컴퓨터주변기기
컴퓨터,813,컴퓨터,813610,메인보드
컴퓨터,813,컴퓨터,813690,기타컴퓨터부품
컴퓨터,813,컴퓨터,813700,소프트웨어
컴퓨터,813,컴퓨터,813800,전산기록매체
석유제품,133,석유제품,133110,항공휘발유
석유제품,133,석유제품,133120,자동차휘발유
석유제품,133,석유제품,133200,경유
석유제품,133,석유제품,133310,제트유
석유제품,133,석유제품,133320,등유
석유제품,133,석유제품,133400,나프타
석유제품,133,석유제품,133510,벙커-A유
석유제품,133,석유제품,133520,벙커-B유
석유제품,133,석유제품,133530,벙커-C유
석유제품,133,석유제품,133590,기타중유
석유제품,133,석유제품,133600,윤활유
석유제품,133,석유제품,133900,기타석유제품
석유화학,21,석유화학제품,211010,에틸렌
석유화학,21,석유화학제품,211020,프로필렌
석유화학,21,석유화학제품,211030,부타디엔
석유화학,21,석유화학제품,211040,벤젠
석유화학,21,석유화학제품,211050,톨루엔
석유화학,21,석유화학제품,211060,혼합크실렌
석유화학,21,석유화학제품,211090,기타기초유분
석유화학,21,석유화학제품,212010,오토크실렌
석유화학,21,석유화학제품,212020,파라크실렌
석유화학,21,석유화학제품,212030,스틸렌
석유화학,21,석유화학제품,212040,이염화에탄
석유화학,21,석유화학제품,212050,염화비닐모노마
석유화학,21,석유화학제품,212060,프로필렌옥사이드
석유화학,21,석유화학제품,212070,초산비닐
석유화학,21,석유화학제품,212080,메타아크릴산메틸
석유화학,21,석유화학제품,212090,기타석유화학중간원료
석유화학,21,석유화학제품,213010,에틸렌글리콜
석유화학,21,석유화학제품,213020,텔레프탈산
석유화학,21,석유화학제품,213030,텔레프탈산디메틸
석유화학,21,석유화학제품,213040,아크릴로니트닐
석유화학,21,석유화학제품,213050,카프로락탐
