산업,공식상위MTI,공식상위품목명,MTI6코드,MTI6품목명
비철금속,62,비철금속제품,621110,알루미늄괴
철강,6,철강금속제품,621110,알루미늄괴
비철금속,62,비철금속제품,621120,알루미늄스크랩
철강,6,철강금속제품,621120,알루미늄스크랩
비철금속,62,비철금속제품,621210,알루미늄분
철강,6,철강금속제품,621210,알루미늄분
비철금속,62,비철금속제품,621220,알루미늄봉
철강,6,철강금속제품,621220,알루미늄봉
비철금속,62,비철금속제품,621230,알루미늄선
철강,6,철강금속제품,621230,알루미늄선
비철금속,62,비철금속제품,621240,알루미늄판
철강,6,철강금속제품,621240,알루미늄판
비철금속,62,비철금속제품,621250,알루미늄박
철강,6,철강금속제품,621250,알루미늄박
비철금속,62,비철금속제품,621260,알루미늄관
철강,6,철강금속제품,621260,알루미늄관
비철금속,62,비철금속제품,621270,알루니늄관연결구류
철강,6,철강금속제품,621270,알루니늄관연결구류
비철금속,62,비철금속제품,621310,알루미늄구조물
철강,6,철강금속제품,621310,알루미늄구조물
비철금속,62,비철금속제품,621320,알루미늄용기
철강,6,철강금속제품,621320,알루미늄용기
비철금속,62,비철금속제품,621400,알루미늄케이블
철강,6,철강금속제품,621400,알루미늄케이블
비철금속,62,비철금속제품,621900,기타알루미늄제품
철강,6,철강금속제품,621900,기타알루미늄제품
비철금속,62,비철금속제품,622110,미정제동괴
철강,6,철강금속제품,622110,미정제동괴
비철금속,62,비철금속제품,622120,동괴
철강,6,철강금속제품,622120,동괴
비철금속,62,비철금속제품,622130,동스크랩
철강,6,철강금속제품,622130,동스크랩
비철금속,62,비철금속제품,622210,동분
철강,6,철강금속제품,622210,동분
비철금속,62,비철금속제품,622220,동봉
철강,6,철강금속제품,622220,동봉
비철금속,62,비철금속제품,622230,동선
철강,6,철강금속제품,622230,동선
비철금속,62,비철금속제품,622240,동판
철강,6,철강금속제품,622240,동판
비철금속,62,비철금속제품,622250,동박
철강,6,철강금속제품,622250,동박
비철금속,62,비철금속제품,622260,동관
철강,6,철강금속제품,622260,동관
비철금속,62,비철금속제품,622270,동관연결구류
철강,6,철강금속제품,622270,동관연결구류
비철금속,62,비철금속제품,622900,기타동제품
철강,6,철강금속제품,622900,기타동제품
비철금속,62,비철금속제품,623110,미정제니켈괴
철강,6,철강금속제품,623110,미정제니켈괴
비철금속,62,비철금속제품,623120,니켈괴
철강,6,철강금속제품,623120,니켈괴
비철금속,62,비철금속제품,623130,니켈스크랩
철강,6,철강금속제품,623130,니켈스크랩
비철금속,62,비철금속제품,623210,니켈분
철강,6,철강금속제품,623210,니켈분
비철금속,62,비철금속제품,623220,니켈봉및선재
철강,6,철강금속제품,623220,니켈봉및선재
비철금속,62,비철금속제품,623230,니켈박
철강,6,철강금속제품,623230,니켈박
비철금속,62,비철금속제품,623240,니켈판및대
철강,6,철강금속제품,623240,니켈판및대
비철금속,62,비철금속제품,623250,니켈관
철강,6,철강금속제품,623250,니켈관
비철금속,62,비철금속제품,623260,니켈관연결구류
철강,6,철강금속제품,623260,니켈관연결구류
비철금속,62,비철금속제품,623900,기타니켈제품
철강,6,철강금속제품,623900,기타니켈제품
비철금속,62,비철금속제품,624110,마그네슘괴
철강,6,철강금속제품,624110,마그네슘괴
비철금속,62,비철금속제품,624120,마그네슘스크랩
철강,6,철강금속제품,624120,마그네슘스크랩
비철금속,62,비철금속제품,624200,마그네슘조가공품
철강,6,철강금속제품,624200,마그네슘조가공품
비철금속,62,비철금속제품,624900,기타 마그네슘 제품
철강,6,철강금속제품,624900,기타 마그네슘 제품
비철금속,62,비철금속제품,625110,연괴
철강,6,철강금속제품,625110,연괴
비철금속,62,비철금속제품,625120,연스크랩
철강,6,철강금속제품,625120,연스크랩
비철금속,62,비철금속제품,625210,연봉및선재
철강,6,철강금속제품,625210,연봉및선재
비철금속,62,비철금속제품,625220,연분
철강,6,철강금속제품,625220,연분
비철금속,62,비철금속제품,625230,연박
철강,6,철강금속제품,625230,연박
비철금속,62,비철금속제품,625240,연판및대
철강,6,철강금속제품,625240,연판및대
비철금속,62,비철금속제품,625250,연관및연결구류
철강,6,철강금속제품,625250,연관및연결구류
비철금속,62,비철금속제품,625900,기타납제품
철강,6,철강금속제품,625900,기타납제품
비철금속,62,비철금속제품,626110,아연괴
철강,6,철강금속제품,626110,아연괴
비철금속,62,비철금속제품,626120,아연스크랩
철강,6,철강금속제품,626120,아연스크랩
비철금속,62,비철금속제품,626210,아연분및더스트
철강,6,철강금속제품,626210,아연분및더스트
비철금속,62,비철금속제품,626220,아연봉및선재
철강,6,철강금속제품,626220,아연봉및선재
비철금속,62,비철금속제품,626230,아연판및대
철강,6,철강금속제품,626230,아연판및대
비철금속,62,비철금속제품,626240,아연박
철강,6,철강금속제품,626240,아연박
비철금속,62,비철금속제품,626250,아연관
철강,6,철강금속제품,626250,아연관
비철금속,62,비철금속제품,626260,아연관연결구류
철강,6,철강금속제품,626260,아연관연결구류
비철금속,62,비철금속제품,626900,기타아연제품
철강,6,철강금속제품,626900,기타아연제품
비철금속,62,비철금속제품,627110,주석괴
철강,6,철강금속제품,627110,주석괴
비철금속,62,비철금속제품,627120,주석스크랩
철강,6,철강금속제품,627120,주석스크랩
비철금속,62,비철금속제품,627210,주석분
철강,6,철강금속제품,627210,주석분
비철금속,62,비철금속제품,627220,주석봉및선재
철강,6,철강금속제품,627220,주석봉및선재
비철금속,62,비철금속제품,627230,주석판및대
철강,6,철강금속제품,627230,주석판및대
비철금속,62,비철금속제품,627240,주석박
철강,6,철강금속제품,627240,주석박
비철금속,62,비철금속제품,627900,기타주석제품
철강,6,철강금속제품,627900,기타주석제품
비철금속,62,비철금속제품,628110,텅스텐괴및스크랩
철강,6,철강금속제품,628110,텅스텐괴및스크랩
비철금속,62,비철금속제품,628190,기타텅스텐제품
철강,6,철강금속제품,628190,기타텅스텐제품
비철금속,62,비철금속제품,628210,몰리브덴괴및스크랩
철강,6,철강금속제품,628210,몰리브덴괴및스크랩
비철금속,62,비철금속제품,628290,기타몰리브덴제품
철강,6,철강금속제품,628290,기타몰리브덴제품
비철금속,62,비철금속제품,628300,망간제품
철강,6,철강금속제품,628300,망간제품
비철금속,62,비철금속제품,629000,기타비철금속제품
철강,6,철강금속제품,629000,기타비철금속제품
