산업,공식MTI코드,공식품목명,점수,MTI6_수,검토상태
반도체,831,반도체,168,14,FOUND
자동차,741,자동차,168,26,FOUND
자동차부품,742,자동차부품,168,3,FOUND
선박,7461,선박,163,9,FOUND
디스플레이,736,평판 디스플레이 제조용 장비,28,2,FOUND
무선통신기기,812,무선통신기기,168,17,FOUND
컴퓨터,813,컴퓨터,168,21,FOUND
가전,,찾지 못함,0,0,MISSING
일반기계,,찾지 못함,0,0,MISSING
석유제품,133,석유제품,168,12,FOUND
석유화학,21,석유화학제품,73,46,FOUND
이차전지,,찾지 못함,0,0,MISSING
철강,6,철강금속제품,78,146,FOUND
비철금속,62,비철금속제품,73,68,FOUND
전기기기,84,전기기기,173,63,FOUND
바이오헬스,93,바이오헬스,173,11,FOUND
농수산식품,,찾지 못함,0,0,MISSING
화장품,2273,화장품,163,8,FOUND
생활용품,5,생활용품,178,102,FOUND
섬유,4,섬유류,78,143,FOUND
