산업,alias,공식MTI코드,공식품목명,코드길이,점수,행
반도체,반도체,831,반도체,3,168,232
반도체,반도체,2026,반도체,4,162,232
반도체,반도체,732,반도체제조용장비,3,68,203
반도체,반도체,7321,반도체제조용장비,4,63,662
반도체,반도체,7322,반도체제조용장비부품,4,63,663
반도체,반도체,2026,반도체제조용장비,4,62,203
반도체,반도체,2026,반도체제조용장비부품,4,62,663
반도체,반도체,2026,반도체기반 트랜스듀서,4,62,2012
반도체,반도체,732100,반도체제조용장비,6,53,1752
반도체,반도체,732200,반도체제조용장비부품,6,53,1753
반도체,반도체,831330,반도체기반 트랜스듀서,6,53,2012
반도체,반도체,8311,메모리반도체,4,23,788
반도체,반도체,8312,시스템반도체,4,23,789
반도체,반도체,8313,개별소자반도체,4,23,790
반도체,반도체,2026,메모리반도체,4,22,788
반도체,반도체,2026,시스템반도체,4,22,789
반도체,반도체,2026,개별소자반도체,4,22,790
반도체,반도체,2026,기타 메모리반도체,4,22,2005
반도체,반도체,2026,기타 집적회로반도체,4,22,2008
반도체,반도체,2026,집적회로 반도체부품,4,22,2009
반도체,반도체,2026,개별소자 반도체부품,4,22,2013
반도체,반도체,2026,기타개별소자반도체,4,22,2014
반도체,반도체,831190,기타 메모리반도체,6,13,2005
반도체,반도체,831230,기타 집적회로반도체,6,13,2008
반도체,반도체,831240,집적회로 반도체부품,6,13,2009
반도체,반도체,831340,개별소자 반도체부품,6,13,2013
반도체,반도체,831390,기타개별소자반도체,6,13,2014
자동차,자동차,741,자동차,3,168,207
자동차,자동차,2026,자동차,4,162,207
자동차,자동차,742,자동차부품,3,68,208
자동차,자동차,7420,자동차부품,4,63,676
자동차,자동차,2026,자동차부품,4,62,208
자동차,자동차,2026,자동차휘발유,4,62,1140
자동차,자동차,2026,자동차용내연기관,4,62,1787
자동차,자동차,133120,자동차휘발유,6,53,1140
자동차,자동차,742000,자동차부품,6,53,1786
자동차,자동차,742010,자동차용내연기관,6,53,1787
자동차,자동차,7416,기타자동차,4,23,675
자동차,자동차,2026,기타자동차,4,22,675
자동차,자동차,741600,기타자동차,6,13,1785
자동차부품,자동차부품,742,자동차부품,3,168,208
자동차부품,자동차부품,7420,자동차부품,4,163,676
자동차부품,자동차부품,2026,자동차부품,4,162,208
자동차부품,자동차부품,742000,자동차부품,6,153,1786
선박,선박,7461,선박,4,163,686
선박,선박,2026,선박,4,162,686
선박,선박,746,선박해양구조물및부품,3,68,212
선박,선박,7463,선박용 엔진 및 그 부품,4,63,688
선박,선박,7464,선박용 부품,4,63,689
선박,선박,2026,선박해양구조물및부품,4,62,212
선박,선박,2026,선박용 엔진 및 그 부품,4,62,688
선박,선박,2026,선박용 부품,4,62,689
선박,선박,2026,선박용증기터빈,4,62,1808
선박,선박,2026,선박용가스터빈,4,62,1809
선박,선박,2026,선박용불꽃점화식엔진,4,62,1810
선박,선박,2026,선박용압축점화식엔진,4,62,1811
선박,선박,746310,선박용증기터빈,6,53,1808
선박,선박,746320,선박용가스터빈,6,53,1809
선박,선박,746330,선박용불꽃점화식엔진,6,53,1810
선박,선박,746340,선박용압축점화식엔진,6,53,1811
선박,선박,746400,선박용 부품,6,53,1812
선박,선박,2026,차량·항공기·선박용 시계,4,22,1511
선박,선박,2026,기타선박,4,22,1806
선박,선박,518260,차량·항공기·선박용 시계,6,13,1511
선박,선박,746190,기타선박,6,13,1806
디스플레이,디스플레이,736,평판 디스플레이 제조용 장비,3,28,206
디스플레이,디스플레이,837,평판디스플레이 및 센서,3,28,238
디스플레이,디스플레이,7361,평판 디스플레이 제조용 장비,4,23,668
디스플레이,디스플레이,7362,평판 디스플레이 장비 부품,4,23,669
디스플레이,디스플레이,8371,평판디스플레이,4,23,807
디스플레이,디스플레이,2026,평판 디스플레이 제조용 장비,4,22,206
디스플레이,디스플레이,2026,평판디스플레이 및 센서,4,22,238
디스플레이,디스플레이,2026,평판 디스플레이 장비 부품,4,22,669
디스플레이,디스플레이,2026,평판디스플레이,4,22,807
디스플레이,디스플레이,2026,데이터디스플레이장치,4,22,1910
디스플레이,디스플레이,736100,평판 디스플레이 제조용 장비,6,13,1758
디스플레이,디스플레이,736200,평판 디스플레이 장비 부품,6,13,1759
디스플레이,디스플레이,813420,데이터디스플레이장치,6,13,1910
