MTI3,품목수
016,1
111,3
126,1
129,1
133,6
136,1
152,1
177,1
183,1
192,1
196,1
203,1
211,4
212,1
213,1
214,7
216,1
219,1
227,1
228,2
229,1
234,1
256,1
273,1
290,1
310,1
319,1
320,1
321,1
356,1
395,1
404,1
409,1
418,1
436,1
464,1
497,1
511,1
513,1
515,1
531,1
534,1
539,1
613,5
614,1
621,1
622,1
626,1
630,1
665,1
690,1
692,1
713,1
719,2
721,2
723,1
724,1
729,1
730,1
732,2
741,5
742,1
746,3
747,2
752,2
761,2
803,1
812,3
813,1
814,1
815,2
823,1
826,1
828,1
831,8
833,1
834,2
836,3
837,2
841,3
842,1
873,1
876,1
904,1
931,2
932,3
946,1
970,1
972,1
