MTI3,MTI6_품목수
011,54
012,51
013,12
014,13
015,29
016,8
017,1
019,1
021,7
022,10
023,9
024,12
025,1
031,15
032,2
033,3
041,9
042,5
043,7
044,5
045,3
046,7
047,1
049,2
111,3
112,1
113,1
114,1
115,1
116,1
117,1
119,2
121,1
122,1
123,1
124,1
129,1
131,1
132,5
133,12
134,2
135,2
136,1
190,1
211,7
212,9
213,5
214,16
215,8
219,1
221,2
222,1
223,1
224,1
225,3
226,2
227,10
228,5
229,1
231,1
232,1
233,1
234,1
239,1
241,4
242,4
243,8
249,1
251,2
252,8
261,1
262,1
271,1
272,1
290,3
310,7
320,7
331,3
332,1
333,4
411,5
412,3
413,5
421,9
422,8
423,7
431,4
432,3
433,8
434,4
435,7
436,1
439,10
441,47
442,4
443,6
449,12
511,7
512,14
513,14
514,11
515,10
516,11
517,3
518,18
521,6
524,3
525,4
529,1
611,5
612,5
613,15
614,8
615,2
617,2
619,6
621,13
622,11
623,10
624,4
625,8
626,9
627,7
628,5
629,1
630,1
641,1
642,1
643,1
690,1
691,11
692,19
711,7
712,8
713,8
714,5
715,4
716,6
719,4
721,6
722,5
723,4
724,12
729,2
732,2
734,2
735,2
736,2
741,26
742,3
743,5
744,2
745,2
746,15
747,8
748,2
751,8
752,10
761,6
762,4
763,23
811,7
812,17
813,21
814,20
815,16
821,8
822,10
823,4
824,10
825,9
826,4
829,2
831,14
832,6
833,8
834,3
835,2
836,7
837,4
839,1
841,23
842,27
849,13
911,1
912,1
919,1
921,1
922,1
923,1
924,1
925,1
931,4
932,7
950,3
961,3
962,1
963,1
970,2
980,1
999,1
