MTI3,MTI4,MTI6_품목수
011,0111,7
011,0112,4
011,0113,6
011,0114,5
011,0115,7
011,0116,24
011,0119,1
012,0121,20
012,0122,12
012,0123,3
012,0124,7
012,0125,7
012,0129,2
013,0131,5
013,0132,2
013,0133,1
013,0134,1
013,0135,1
013,0136,1
013,0139,1
014,0141,1
014,0142,1
014,0143,8
014,0144,1
014,0145,1
014,0149,1
015,0151,2
015,0152,2
015,0153,2
015,0154,2
015,0155,4
015,0156,1
015,0157,7
015,0158,4
015,0159,5
016,0161,3
016,0162,1
016,0163,1
016,0164,1
016,0165,1
016,0169,1
017,0170,1
019,0190,1
021,0211,4
021,0212,2
021,0219,1
022,0221,4
022,0222,4
022,0229,2
023,0231,3
023,0232,2
023,0233,3
023,0239,1
024,0241,2
024,0242,2
024,0243,6
024,0244,1
024,0245,1
025,0250,1
031,0311,1
031,0312,1
031,0313,2
031,0314,1
031,0315,1
031,0316,1
031,0317,2
031,0318,5
031,0319,1
032,0321,1
032,0322,1
033,0331,1
033,0332,1
033,0339,1
041,0411,1
041,0412,1
041,0413,1
041,0414,1
041,0415,1
041,0416,1
041,0417,1
041,0418,1
041,0419,1
042,0421,1
042,0422,2
042,0423,1
042,0429,1
043,0431,1
043,0432,1
043,0433,1
043,0434,1
043,0435,2
043,0439,1
044,0441,1
044,0442,1
044,0443,1
044,0444,1
044,0449,1
045,0451,1
045,0452,2
046,0461,2
046,0462,3
046,0463,1
046,0469,1
047,0470,1
049,0490,2
111,1111,1
111,1112,1
111,1113,1
112,1120,1
113,1130,1
114,1140,1
115,1150,1
116,1160,1
117,1170,1
119,1190,2
121,1210,1
122,1220,1
123,1230,1
124,1240,1
129,1290,1
131,1310,1
132,1321,1
132,1322,1
132,1323,1
132,1324,1
132,1329,1
133,1331,2
133,1332,1
133,1333,2
133,1334,1
133,1335,4
133,1336,1
133,1339,1
134,1340,2
135,1350,2
136,1360,1
190,1900,1
211,2110,7
212,2120,9
213,2130,5
214,2140,16
215,2150,8
219,2190,1
221,2211,1
221,2212,1
222,2221,1
223,2230,1
224,2240,1
225,2250,3
226,2261,2
227,2271,1
227,2273,8
227,2279,1
228,2281,1
228,2282,1
228,2283,1
228,2284,1
228,2289,1
229,2290,1
231,2310,1
232,2320,1
233,2330,1
234,2340,1
239,2390,1
241,2410,4
242,2421,1
242,2423,1
242,2424,1
242,2429,1
243,2431,1
243,2432,1
243,2433,1
243,2434,1
243,2435,1
243,2437,1
243,2438,1
243,2439,1
249,2490,1
251,2511,1
251,2512,1
252,2521,1
252,2522,1
252,2523,1
252,2524,1
252,2525,1
252,2526,1
252,2527,1
252,2529,1
261,2610,1
262,2620,1
271,2710,1
272,2720,1
290,2900,3
310,3101,1
310,3102,1
310,3103,4
310,3109,1
320,3201,1
320,3202,1
320,3203,3
320,3204,1
320,3209,1
331,3311,1
331,3312,1
331,3319,1
332,3320,1
333,3331,1
