MTI6코드,품목명,원본파일,원본행
011110,쌀,KITA_MTI6_05..xls,95
011120,보리,KITA_MTI6_12.xls,19
011130,밀,KITA_MTI6_13.xls,52
011140,옥수수,KITA_MTI6_13.xls,18
011150,조,KITA_MTI6_13.xls,27
011160,수수,KITA_MTI6_13.xls,16
011190,기타곡류,KITA_MTI6_12.xls,40
011210,감자,KITA_MTI6_08.xls,72
011220,고구마,KITA_MTI6_11.xls,36
011230,타피오카,KITA_MTI6_13.xls,17
011290,기타서류,KITA_MTI6_12.xls,93
011310,대두,KITA_MTI6_12.xls,43
011320,녹두,KITA_MTI6_13.xls,47
011330,팥,KITA_MTI6_10.xls,51
011340,강낭콩,KITA_MTI6_13.xls,61
011350,완두,KITA_MTI6_12.xls,69
011390,기타두류,KITA_MTI6_11.xls,75
011410,쌀가루,KITA_MTI6_12.xls,24
011420,보리가루,KITA_MTI6_12.xls,63
011430,밀가루,KITA_MTI6_07.xls,93
011440,옥수수가루,KITA_MTI6_07.xls,84
011490,기타곡분,KITA_MTI6_09.xls,83
011510,땅콩,KITA_MTI6_11.xls,91
011520,참깨,KITA_MTI6_10.xls,86
011530,들깨,KITA_MTI6_11.xls,101
011540,해바라기씨,KITA_MTI6_13.xls,39
011550,피마자,KITA_MTI6_13.xls,71
011560,아마인,KITA_MTI6_13.xls,68
011590,기타채유종실,KITA_MTI6_10.xls,73
011601,사과,KITA_MTI6_11.xls,46
011602,배,KITA_MTI6_06.xls,73
011603,딸기,KITA_MTI6_05..xls,65
011604,복숭아,KITA_MTI6_11.xls,16
011605,살구,KITA_MTI6_13.xls,51
011606,자두,KITA_MTI6_11.xls,88
011607,대추,KITA_MTI6_12.xls,56
011608,버찌,KITA_MTI6_13.xls,36
011610,감,KITA_MTI6_09.xls,51
011611,키위,KITA_MTI6_09.xls,99
011612,매실,KITA_MTI6_13.xls,62
011613,대추야자,KITA_MTI6_13.xls,14
011614,무화과,KITA_MTI6_12.xls,68
011615,파인애플,KITA_MTI6_13.xls,9
011616,맹고,KITA_MTI6_12.xls,98
011617,바나나,KITA_MTI6_12.xls,62
011618,오렌지,KITA_MTI6_11.xls,90
011619,레몬,KITA_MTI6_12.xls,85
011620,감귤,KITA_MTI6_10.xls,13
011621,포도,KITA_MTI6_05..xls,96
