MTI6코드,품목명,원본행,MTI1,MTI2,MTI3,MTI4
016400,면류,64,0,01,016,0164
111100,금,32,1,11,111,1111
111200,은,39,1,11,111,1112
133120,자동차휘발유,17,1,13,133,1331
133200,경유,11,1,13,133,1332
133310,제트유,19,1,13,133,1333
133400,나프타,61,1,13,133,1334
133600,윤활유,25,1,13,133,1336
133900,기타석유제품,94,1,13,133,1339
211010,에틸렌,84,2,21,211,2110
211020,프로필렌,96,2,21,211,2110
211040,벤젠,54,2,21,211,2110
212020,파라크실렌,36,2,21,212,2120
213020,텔레프탈산,85,2,21,213,2130
214001,저밀도에틸렌,59,2,21,214,2140
214002,고밀도에틸렌,76,2,21,214,2140
214004,폴리프로필렌,41,2,21,214,2140
214006,ABS수지,70,2,21,214,2140
214008,폴리메타아크릴산메틸,66,2,21,214,2140
214013,폴리카보네이트,90,2,21,214,2140
214090,기타합성수지,26,2,21,214,2140
219000,기타석유화학제품,35,2,21,219,2190
227320,"메이크업, 기초화장품",18,2,22,227,2273
228900,기타정밀화학원료,27,2,22,228,2289
229090,기타정밀화학제품,103,2,22,229,2290
290090,기타화학공업제품,47,2,29,290,2900
310900,기타플라스틱제품,24,3,31,310,3109
320310,승용차용타이어,51,3,32,320,3203
436000,편직물,83,4,43,436,4360
515190,기타문구,75,5,51,515,5151
613110,철및비합금강중후판,71,6,61,613,6131
613210,철및비합금강열연강판,42,6,61,613,6132
613310,철및비합금강냉연강판,53,6,61,613,6133
613410,용융아연도강판,46,6,61,613,6134
613430,착색아연도강판,63,6,61,613,6134
621240,알루미늄판,43,6,62,621,6212
622120,동괴,52,6,62,622,6221
626110,아연괴,91,6,62,626,6261
690000,기타철강금속제품,80,6,69,690,6900
692690,기타주철,73,6,69,692,6926
713610,화학기계,92,7,71,713,7136
719190,기타기계류,40,7,71,719,7191
719290,기타기계류부품,82,7,71,719,7192
721130,건설중장비부품,79,7,72,721,7211
721190,기타건설중장비,45,7,72,721,7211
723190,기타운반하역기계,86,7,72,723,7231
724390,기타광학기기부품,77,7,72,724,7243
729010,기타산업기계,60,7,72,729,7290
732100,반도체제조용장비,28,7,73,732,7321
732200,반도체제조용장비부품,33,7,73,732,7322
741310,내연기관 승용차(신차),8,7,74,741,7413
741320,내연기관 승용차(중고차),23,7,74,741,7413
741330,하이브리드 승용차(신차),13,7,74,741,7413
741350,전기 승용차(신차),21,7,74,741,7413
741410,내연기관 화물차(신차),62,7,74,741,7414
742000,자동차부품,12,7,74,742,7420
746120,화물선,9,7,74,746,7461
746190,기타선박,57,7,74,746,7461
746340,선박용압축점화식엔진,74,7,74,746,7463
747210,항공기엔진,81,7,74,747,7472
747290,기타항공기부품,67,7,74,747,7472
752130,불꽃점화식내연기관,49,7,75,752,7521
752220,기체펌프,58,7,75,752,7522
761200,밸브,68,7,76,761,7612
761900,기타기계요소,98,7,76,761,7619
812160,스마트폰,29,8,81,812,8121
812820,스마트폰부품,101,8,81,812,8128
812890,기타무선통신기기부품,20,8,81,812,8128
813800,전산기록매체,10,8,81,813,8138
814910,기타전자응용기기,100,8,81,814,8149
815190,기타계측기,44,8,81,815,8151
815200,계측기부품,102,8,81,815,8152
823030,냉장고(400리터이상),99,8,82,823,8230
826910,기타조명기기,95,8,82,826,8269
831110,D램,5,8,83,831,8311
831120,낸드,14,8,83,831,8311
831190,기타 메모리반도체,6,8,83,831,8311
831210,프로세서와 컨트롤러,7,8,83,831,8312
831230,기타 집적회로반도체,16,8,83,831,8312
831310,트랜지스터,87,8,83,831,8313
831390,기타개별소자반도체,72,8,83,831,8313
831400,실리콘웨이퍼,50,8,83,831,8314
833310,고정식축전기,69,8,83,833,8333
834200,연결부품,48,8,83,834,8342
834300,인쇄회로,31,8,83,834,8343
836110,리튬이온전지,34,8,83,836,8361
836120,연축전지,56,8,83,836,8361
836210,양극재,30,8,83,836,8362
837110,LCD,38,8,83,837,8371
837120,OLED,15,8,83,837,8371
841210,유입식 변압기,55,8,84,841,8412
841510,저압케이블,88,8,84,841,8415
841520,고압케이블,89,8,84,841,8415
842530,자동제어반,78,8,84,842,8425
931110,바이오의약품,22,9,93,931,9311
931220,화학원료,65,9,93,931,9312
932020,치과용기기및재료,97,9,93,932,9320
932030,영상진단장비,93,9,93,932,9320
932040,미용및조직수복용,104,9,93,932,9320
970100,무기류,37,9,97,970,9701
