파일,행,열,셀내용,MTI코드후보
KITA_MTI3_CORE_MONTHLY.xls,2,0,주기,
KITA_MTI3_CORE_MONTHLY.xls,2,2,반도체 (831),831
KITA_MTI3_CORE_MONTHLY.xls,2,4,자동차 (741),741
KITA_MTI3_CORE_MONTHLY.xls,2,6,자동차부품 (742),742
KITA_MTI3_CORE_MONTHLY.xls,2,8,선박해양구조물및부품 (746),746
KITA_MTI3_CORE_MONTHLY.xls,2,10,컴퓨터 (813),813
KITA_MTI3_CORE_MONTHLY.xls,2,12,무선통신기기 (812),812
KITA_MTI3_CORE_MONTHLY.xls,2,14,평판디스플레이 및 센서 (837),837
KITA_MTI3_CORE_MONTHLY.xls,4,0,2026년,
KITA_MTI3_CORE_MONTHLY.xls,5,0,…1월,
KITA_MTI3_CORE_MONTHLY.xls,6,0,…2월,
KITA_MTI3_CORE_MONTHLY.xls,7,0,…3월,
KITA_MTI3_CORE_MONTHLY.xls,8,0,…4월,
KITA_MTI3_CORE_MONTHLY.xls,9,0,…5월,
KITA_MTI3_CORE_MONTHLY.xls,10,0,…6월,
KITA_MTI3_CORE_MONTHLY.xls,11,0,…7월,
KITA_MTI3_CORE_MONTHLY.xls,12,0,2025년,
KITA_MTI3_CORE_MONTHLY.xls,20,0,…8월,
KITA_MTI3_CORE_MONTHLY.xls,21,0,…9월,
KITA_MTI3_CORE_MONTHLY.xls,22,0,…10월,
KITA_MTI3_CORE_MONTHLY.xls,23,0,…11월,
KITA_MTI3_CORE_MONTHLY.xls,24,0,…12월,
KITA_MTI3_CORE_MONTHLY.xls,25,0,2024년,
KITA_MTI3_CORE_MONTHLY.xls,38,0,2023년,
KITA_MTI3_CORE_MONTHLY.xls,51,0,2022년,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,2,0,순번,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,2,1,코드,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,2,2,품목명,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,2,3,수출,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,2,6,수입,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,2,9,수지,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,3,3,수출액,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,3,6,수입액,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,4,2,총계,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,5,2,D램,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,6,2,기타 메모리반도체,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,7,2,프로세서와 컨트롤러,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,8,2,내연기관 승용차(신차),
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,9,2,화물선,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,10,2,전산기록매체,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,11,2,경유,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,11,7,-,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,12,2,자동차부품,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,13,2,하이브리드 승용차(신차),
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,14,2,낸드,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,15,2,OLED,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,16,2,기타 집적회로반도체,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,17,2,자동차휘발유,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,18,2,"메이크업, 기초화장품",
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,19,2,제트유,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,20,2,기타무선통신기기부품,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,21,2,전기 승용차(신차),
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,22,2,바이오의약품,
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,23,2,내연기관 승용차(중고차),
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,24,2,기타플라스틱제품,
