파일,검색어,행,열,셀내용
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,반도체,6,2,기타 메모리반도체
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,자동차,12,2,자동차부품
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,자동차부품,12,2,자동차부품
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,반도체,16,2,기타 집적회로반도체
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,자동차,17,2,자동차휘발유
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,화장품,18,2,"메이크업, 기초화장품"
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,무선통신,20,2,기타무선통신기기부품
KITA_MTI_INDUSTRY_EXPORT_DATA.xls,바이오,22,2,바이오의약품
KITA_MTI3_CORE_MONTHLY.xls,반도체,2,2,반도체 (831)
KITA_MTI3_CORE_MONTHLY.xls,반도체,2,3,반도체 (831)
KITA_MTI3_CORE_MONTHLY.xls,자동차,2,4,자동차 (741)
KITA_MTI3_CORE_MONTHLY.xls,자동차,2,5,자동차 (741)
KITA_MTI3_CORE_MONTHLY.xls,자동차,2,6,자동차부품 (742)
KITA_MTI3_CORE_MONTHLY.xls,자동차부품,2,6,자동차부품 (742)
KITA_MTI3_CORE_MONTHLY.xls,자동차,2,7,자동차부품 (742)
KITA_MTI3_CORE_MONTHLY.xls,자동차부품,2,7,자동차부품 (742)
KITA_MTI3_CORE_MONTHLY.xls,선박,2,8,선박해양구조물및부품 (746)
KITA_MTI3_CORE_MONTHLY.xls,선박,2,9,선박해양구조물및부품 (746)
KITA_MTI3_CORE_MONTHLY.xls,컴퓨터,2,10,컴퓨터 (813)
KITA_MTI3_CORE_MONTHLY.xls,컴퓨터,2,11,컴퓨터 (813)
KITA_MTI3_CORE_MONTHLY.xls,무선통신,2,12,무선통신기기 (812)
KITA_MTI3_CORE_MONTHLY.xls,무선통신,2,13,무선통신기기 (812)
KITA_MTI3_CORE_MONTHLY.xls,디스플레이,2,14,평판디스플레이 및 센서 (837)
KITA_MTI3_CORE_MONTHLY.xls,디스플레이,2,15,평판디스플레이 및 센서 (837)
