MTI6코드,품목명,원본파일,원본행,MTI1,MTI2,MTI3,MTI4
011110,쌀,KITA_MTI6_05..xls,95,0,01,011,0111
011120,보리,KITA_MTI6_12.xls,19,0,01,011,0111
011130,밀,KITA_MTI6_13.xls,52,0,01,011,0111
011140,옥수수,KITA_MTI6_13.xls,18,0,01,011,0111
011150,조,KITA_MTI6_13.xls,27,0,01,011,0111
011160,수수,KITA_MTI6_13.xls,16,0,01,011,0111
011190,기타곡류,KITA_MTI6_12.xls,40,0,01,011,0111
011210,감자,KITA_MTI6_08.xls,72,0,01,011,0112
011220,고구마,KITA_MTI6_11.xls,36,0,01,011,0112
011230,타피오카,KITA_MTI6_13.xls,17,0,01,011,0112
011290,기타서류,KITA_MTI6_12.xls,93,0,01,011,0112
011310,대두,KITA_MTI6_12.xls,43,0,01,011,0113
011320,녹두,KITA_MTI6_13.xls,47,0,01,011,0113
011330,팥,KITA_MTI6_10.xls,51,0,01,011,0113
011340,강낭콩,KITA_MTI6_13.xls,61,0,01,011,0113
011350,완두,KITA_MTI6_12.xls,69,0,01,011,0113
011390,기타두류,KITA_MTI6_11.xls,75,0,01,011,0113
011410,쌀가루,KITA_MTI6_12.xls,24,0,01,011,0114
011420,보리가루,KITA_MTI6_12.xls,63,0,01,011,0114
011430,밀가루,KITA_MTI6_07.xls,93,0,01,011,0114
011440,옥수수가루,KITA_MTI6_07.xls,84,0,01,011,0114
011490,기타곡분,KITA_MTI6_09.xls,83,0,01,011,0114
011510,땅콩,KITA_MTI6_11.xls,91,0,01,011,0115
011520,참깨,KITA_MTI6_10.xls,86,0,01,011,0115
011530,들깨,KITA_MTI6_11.xls,101,0,01,011,0115
011540,해바라기씨,KITA_MTI6_13.xls,39,0,01,011,0115
011550,피마자,KITA_MTI6_13.xls,71,0,01,011,0115
011560,아마인,KITA_MTI6_13.xls,68,0,01,011,0115
011590,기타채유종실,KITA_MTI6_10.xls,73,0,01,011,0115
011601,사과,KITA_MTI6_11.xls,46,0,01,011,0116
011602,배,KITA_MTI6_06.xls,73,0,01,011,0116
011603,딸기,KITA_MTI6_05..xls,65,0,01,011,0116
011604,복숭아,KITA_MTI6_11.xls,16,0,01,011,0116
011605,살구,KITA_MTI6_13.xls,51,0,01,011,0116
011606,자두,KITA_MTI6_11.xls,88,0,01,011,0116
011607,대추,KITA_MTI6_12.xls,56,0,01,011,0116
011608,버찌,KITA_MTI6_13.xls,36,0,01,011,0116
011610,감,KITA_MTI6_09.xls,51,0,01,011,0116
011611,키위,KITA_MTI6_09.xls,99,0,01,011,0116
011612,매실,KITA_MTI6_13.xls,62,0,01,011,0116
011613,대추야자,KITA_MTI6_13.xls,14,0,01,011,0116
011614,무화과,KITA_MTI6_12.xls,68,0,01,011,0116
011615,파인애플,KITA_MTI6_13.xls,9,0,01,011,0116
011616,맹고,KITA_MTI6_12.xls,98,0,01,011,0116
011617,바나나,KITA_MTI6_12.xls,62,0,01,011,0116
011618,오렌지,KITA_MTI6_11.xls,90,0,01,011,0116
011619,레몬,KITA_MTI6_12.xls,85,0,01,011,0116
011620,감귤,KITA_MTI6_10.xls,13,0,01,011,0116
011621,포도,KITA_MTI6_05..xls,96,0,01,011,0116
011622,수박,KITA_MTI6_12.xls,84,0,01,011,0116
011623,멜론,KITA_MTI6_11.xls,66,0,01,011,0116
011624,참외,KITA_MTI6_10.xls,47,0,01,011,0116
011690,기타과실,KITA_MTI6_09.xls,76,0,01,011,0116
011900,기타곡실류,KITA_MTI6_11.xls,7,0,01,011,0119
012101,배추,KITA_MTI6_09.xls,63,0,01,012,0121
012102,양배추,KITA_MTI6_11.xls,11,0,01,012,0121
012103,상추,KITA_MTI6_10.xls,32,0,01,012,0121
012104,시금치,KITA_MTI6_12.xls,79,0,01,012,0121
012105,무,KITA_MTI6_10.xls,19,0,01,012,0121
012106,당근,KITA_MTI6_12.xls,16,0,01,012,0121
012107,토마토,KITA_MTI6_09.xls,95,0,01,012,0121
012108,오이,KITA_MTI6_11.xls,58,0,01,012,0121
012109,호박,KITA_MTI6_10.xls,84,0,01,012,0121
012110,가지,KITA_MTI6_13.xls,12,0,01,012,0121
012111,양파,KITA_MTI6_11.xls,42,0,01,012,0121
012112,파,KITA_MTI6_13.xls,11,0,01,012,0121
012113,마늘,KITA_MTI6_11.xls,35,0,01,012,0121
012114,부추,KITA_MTI6_13.xls,54,0,01,012,0121
012115,아스파라거스,KITA_MTI6_12.xls,46,0,01,012,0121
012116,고추,KITA_MTI6_05..xls,97,0,01,012,0121
012117,생강,KITA_MTI6_12.xls,9,0,01,012,0121
012118,겨자무,KITA_MTI6_13.xls,49,0,01,012,0121
012119,깻잎,KITA_MTI6_11.xls,100,0,01,012,0121
012190,기타채소,KITA_MTI6_07.xls,12,0,01,012,0121
012201,장미,KITA_MTI6_11.xls,74,0,01,012,0122
012202,국화,KITA_MTI6_12.xls,101,0,01,012,0122
012203,튜립,KITA_MTI6_13.xls,64,0,01,012,0122
012204,백합,KITA_MTI6_12.xls,37,0,01,012,0122
012206,히아신스,KITA_MTI6_13.xls,76,0,01,012,0122
012207,글라디올러스,KITA_MTI6_13.xls,95,0,01,012,0122
012208,아이리스,KITA_MTI6_13.xls,78,0,01,012,0122
012209,프리지아,KITA_MTI6_13.xls,79,0,01,012,0122
012210,수선,KITA_MTI6_13.xls,80,0,01,012,0122
012211,난초,KITA_MTI6_12.xls,8,0,01,012,0122
012212,카네이션,KITA_MTI6_13.xls,81,0,01,012,0122
012290,기타화초,KITA_MTI6_10.xls,30,0,01,012,0122
012310,고사리,KITA_MTI6_12.xls,35,0,01,012,0123
012320,죽순,KITA_MTI6_13.xls,24,0,01,012,0123
012330,고비,KITA_MTI6_13.xls,82,0,01,012,0123
012410,양송이,KITA_MTI6_13.xls,21,0,01,012,0124
012420,영지버섯,KITA_MTI6_12.xls,88,0,01,012,0124
012430,느타리버섯,KITA_MTI6_08.xls,10,0,01,012,0124
012440,송이버섯,KITA_MTI6_12.xls,27,0,01,012,0124
012450,표고버섯,KITA_MTI6_10.xls,98,0,01,012,0124
012460,팽이버섯,KITA_MTI6_08.xls,21,0,01,012,0124
012490,기타버섯류,KITA_MTI6_10.xls,61,0,01,012,0124
012510,밤,KITA_MTI6_09.xls,21,0,01,012,0125
012520,호두,KITA_MTI6_12.xls,39,0,01,012,0125
012530,잣,KITA_MTI6_13.xls,55,0,01,012,0125
012540,은행,KITA_MTI6_13.xls,25,0,01,012,0125
012550,아몬드,KITA_MTI6_11.xls,68,0,01,012,0125
012560,코코넛,KITA_MTI6_13.xls,66,0,01,012,0125
