산업20,소분류코드,공식소분류명,신성질코드,신성질품목명,시작월,종료월,상태,item수,resultCode,resultMsg
가전,12010000,1)가전제품,12010102,(LCD TV),202501,202512,OK,408,00,정상서비스.
가전,12010000,1)가전제품,12010102,(LCD TV),202601,202608,OK,244,00,정상서비스.
가전,12010000,1)가전제품,12010105,(흑백 TV),202501,202512,OK,4,00,정상서비스.
가전,12010000,1)가전제품,12010105,(흑백 TV),202601,202608,OK,3,00,정상서비스.
가전,12010000,1)가전제품,12010190,(기타 TV),202501,202512,OK,501,00,정상서비스.
가전,12010000,1)가전제품,12010190,(기타 TV),202601,202608,OK,304,00,정상서비스.
가전,12010000,1)가전제품,12010201,(냉장고),202501,202512,OK,1082,00,정상서비스.
가전,12010000,1)가전제품,12010201,(냉장고),202601,202608,OK,713,00,정상서비스.
가전,12010000,1)가전제품,12010301,(세탁기),202501,202512,OK,317,00,정상서비스.
가전,12010000,1)가전제품,12010301,(세탁기),202601,202608,OK,214,00,정상서비스.
가전,12010000,1)가전제품,12010401,(에어컨),202501,202512,OK,220,00,정상서비스.
가전,12010000,1)가전제품,12010401,(에어컨),202601,202608,OK,129,00,정상서비스.
가전,12010000,1)가전제품,12010501,(음향기기),202501,202512,OK,1462,00,정상서비스.
가전,12010000,1)가전제품,12010501,(음향기기),202601,202608,OK,1044,00,정상서비스.
가전,12010000,1)가전제품,12010601,"(청소,세척기)",202501,202512,OK,634,00,정상서비스.
가전,12010000,1)가전제품,12010601,"(청소,세척기)",202601,202608,OK,446,00,정상서비스.
가전,12010000,1)가전제품,12019001,(기타 가전제품),202501,202512,OK,1663,00,정상서비스.
가전,12010000,1)가전제품,12019001,(기타 가전제품),202601,202608,OK,1128,00,정상서비스.
디스플레이,34020000,2)평판디스플레이,34020101,(액정 디바이스),202501,202512,OK,251,00,정상서비스.
디스플레이,34020000,2)평판디스플레이,34020101,(액정 디바이스),202601,202608,OK,175,00,정상서비스.
디스플레이,34020000,2)평판디스플레이,34020102,(평판디스플레이 부품),202501,202512,OK,604,00,정상서비스.
디스플레이,34020000,2)평판디스플레이,34020102,(평판디스플레이 부품),202601,202608,OK,393,00,정상서비스.
디스플레이,34020000,2)평판디스플레이,34020190,(기타 평판디스플레이패널),202501,202512,OK,98,00,정상서비스.
디스플레이,34020000,2)평판디스플레이,34020190,(기타 평판디스플레이패널),202601,202608,OK,68,00,정상서비스.
무선통신기기,33020000,2)무선통신기기,33020101,(CDMA 방식 휴대전화),202501,202512,OK,9,00,정상서비스.
무선통신기기,33020000,2)무선통신기기,33020101,(CDMA 방식 휴대전화),202601,202608,OK,1,00,정상서비스.
무선통신기기,33020000,2)무선통신기기,33020102,(TDMA 방식 휴대전화),202501,202512,OK,8,00,정상서비스.
무선통신기기,33020000,2)무선통신기기,33020102,(TDMA 방식 휴대전화),202601,202608,OK,1,00,정상서비스.
무선통신기기,33020000,2)무선통신기기,33020103,(OFDM 방식 휴대전화),202501,202512,OK,0,00,정상서비스.
무선통신기기,33020000,2)무선통신기기,33020103,(OFDM 방식 휴대전화),202601,202608,OK,0,00,정상서비스.
무선통신기기,33020000,2)무선통신기기,33020104,(스마트폰),202501,202512,OK,1146,00,정상서비스.
무선통신기기,33020000,2)무선통신기기,33020104,(스마트폰),202601,202608,OK,780,00,정상서비스.
무선통신기기,33020000,2)무선통신기기,33020190,(기타 방식 휴대전화),202501,202512,OK,184,00,정상서비스.
무선통신기기,33020000,2)무선통신기기,33020190,(기타 방식 휴대전화),202601,202608,OK,179,00,정상서비스.
무선통신기기,33020000,2)무선통신기기,33020201,(레이더),202501,202512,OK,654,00,정상서비스.
