수출액순위,산업순위,산업20,기준월,수출액_USD,수출액_bn,MoM_%,YoY_%,3M_YoY_%,세세분류수
1,2,자동차,202608,350183813.0,0.350183813,-45.35760510705125,4470.725032467744,2554.4445760484346,24
2,5,일반기계,202608,34932834.0,0.034932834,-16.849159187784302,32.84727522033821,30.486687632433696,66
3,17,섬유류,202608,22500058.0,0.022500058,-15.800406013137803,-3.4522511036559234,12.99769080964024,35
4,1,반도체,202608,9751574.0,0.009751574,-99.77817678104532,218.42373366178472,28830.070151603166,10
5,7,선박류,202608,8766751.0,0.008766751,-93.34285559071962,-98.81910175947183,-85.61358888661384,5
6,6,석유화학,202608,5827904.0,0.005827904,46.1452428789382,198.19615981694506,49.52749266469239,4
7,20,가전,202608,577374.0,0.000577374,12.439605294675538,237.72263849649923,-41.93898825956748,8
8,18,생활용품,202608,563070.0,0.00056307,63.13351238125038,31.155139803780905,79.37233834337817,20
9,10,무선통신기기,202608,368465.0,0.000368465,-4.316675668938008,8.844250793885244,113.00103103429623,8
10,15,화장품,202608,356834.0,0.000356834,-7.922360761322822,53.293696139669564,85.90841535468925,8
11,13,디스플레이,202608,100164.0,0.000100164,39.886039886039896,-97.96779769682115,-97.37049900100524,3
