신성질코드,신성질품목명,산업20,소분류코드,공식소분류명
12010102,(LCD TV),가전,12010000,1)가전제품
12010105,(흑백 TV),가전,12010000,1)가전제품
12010190,(기타 TV),가전,12010000,1)가전제품
12010201,(냉장고),가전,12010000,1)가전제품
12010301,(세탁기),가전,12010000,1)가전제품
12010401,(에어컨),가전,12010000,1)가전제품
12010501,(음향기기),가전,12010000,1)가전제품
12010601,"(청소,세척기)",가전,12010000,1)가전제품
12019001,(기타 가전제품),가전,12010000,1)가전제품
34020101,(액정 디바이스),디스플레이,34020000,2)평판디스플레이
34020102,(평판디스플레이 부품),디스플레이,34020000,2)평판디스플레이
34020190,(기타 평판디스플레이패널),디스플레이,34020000,2)평판디스플레이
33020101,(CDMA 방식 휴대전화),무선통신기기,33020000,2)무선통신기기
33020102,(TDMA 방식 휴대전화),무선통신기기,33020000,2)무선통신기기
33020103,(OFDM 방식 휴대전화),무선통신기기,33020000,2)무선통신기기
33020104,(스마트폰),무선통신기기,33020000,2)무선통신기기
33020190,(기타 방식 휴대전화),무선통신기기,33020000,2)무선통신기기
33020201,(레이더),무선통신기기,33020000,2)무선통신기기
33020202,(레이더 부품),무선통신기기,33020000,2)무선통신기기
33020301,(방송용 통신기기),무선통신기기,33020000,2)무선통신기기
33020302,(방송용 통신기기 부품),무선통신기기,33020000,2)무선통신기기
33029001,(기타 무선통신기기),무선통신기기,33020000,2)무선통신기기
33029002,(기타 무선통신기기 부품),무선통신기기,33020000,2)무선통신기기
34010101,(메모리반도체),반도체,34010000,1)반도체
34010102,(시스템반도체),반도체,34010000,1)반도체
34010103,(집적회로반도체 부품),반도체,34010000,1)반도체
34010190,(기타 집적회로반도체),반도체,34010000,1)반도체
34010201,(다이오드),반도체,34010000,1)반도체
34010202,(트랜지스터),반도체,34010000,1)반도체
34010203,(발광다이오드(LED)),반도체,34010000,1)반도체
34010204,(개별소자반도체 부품),반도체,34010000,1)반도체
34010290,(기타 개별소자반도체),반도체,34010000,1)반도체
34010301,(실리콘웨이퍼),반도체,34010000,1)반도체
12040101,(가구),생활용품,12040000,4)내구성 생활용품
12040201,(가사용구),생활용품,12040000,4)내구성 생활용품
12040301,(손목시계),생활용품,12040000,4)내구성 생활용품
12040302,(전자시계),생활용품,12040000,4)내구성 생활용품
12040303,(자명종시계),생활용품,12040000,4)내구성 생활용품
12040304,(벽시계),생활용품,12040000,4)내구성 생활용품
12040305,(시계줄),생활용품,12040000,4)내구성 생활용품
12040390,(기타 시계),생활용품,12040000,4)내구성 생활용품
12040401,(목제 생활용품),생활용품,12040000,4)내구성 생활용품
12040501,(플라스틱제 생활용품),생활용품,12040000,4)내구성 생활용품
12040601,(의료위생용품),생활용품,12040000,4)내구성 생활용품
12040701,(악기류),생활용품,12040000,4)내구성 생활용품
12040801,(완구류),생활용품,12040000,4)내구성 생활용품
12040901,(장신구),생활용품,12040000,4)내구성 생활용품
12041001,(장식용 세공품),생활용품,12040000,4)내구성 생활용품
12049001,(기타 내구성 생활용품),생활용품,12040000,4)내구성 생활용품
13060101,"(종이제 생활용품(가정용 화장지, 패드, 냅킨))",생활용품,13060000,6)비내구성 생활용품
13060201,(문구류),생활용품,13060000,6)비내구성 생활용품
13060301,(운동용구),생활용품,13060000,6)비내구성 생활용품
13069001,(기타 비내구성 생활용품),생활용품,13060000,6)비내구성 생활용품
25010101,(합성수지),석유화학,25010000,1)석유화학제품
25010201,(석유화학섬유원료),석유화학,25010000,1)석유화학제품
25010301,(합성고무),석유화학,25010000,1)석유화학제품
25019001,(기타 석유화학제품),석유화학,25010000,1)석유화학제품
31040101,(여객선),선박류,31040000,4)선박
31040201,(화물선),선박류,31040000,4)선박
31040301,(어선),선박류,31040000,4)선박
31040401,(요트),선박류,31040000,4)선박
31040501,(모터보트),선박류,31040000,4)선박
31040601,(예인선),선박류,31040000,4)선박
31040701,(군함),선박류,31040000,4)선박
31049001,(기타 선박),선박류,31040000,4)선박
22010101,(견),섬유류,22010000,1)섬유원료
22010102,(모),섬유류,22010000,1)섬유원료
22010103,(면),섬유류,22010000,1)섬유원료
22010104,(마),섬유류,22010000,1)섬유원료
22010201,(나일론섬유),섬유류,22010000,1)섬유원료
22010202,(폴리에스테르섬유),섬유류,22010000,1)섬유원료
22010290,(기타 합성섬유),섬유류,22010000,1)섬유원료
22010301,(아세테이트섬유),섬유류,22010000,1)섬유원료
22010302,(비스코스섬유),섬유류,22010000,1)섬유원료
22010390,(기타 재생·반합성섬유),섬유류,22010000,1)섬유원료
22010391,(모든 재생·반합성섬유),섬유류,22010000,1)섬유원료
22020101,(견사),섬유류,22020000,2)섬유사
22020102,(모사),섬유류,22020000,2)섬유사
22020103,(면사),섬유류,22020000,2)섬유사
22020104,(마사),섬유류,22020000,2)섬유사
