산업순위,산업20,기준월,수출액_USD,수출액_bn,MoM_%,YoY_%,3M_YoY_%,세세분류수
1,반도체,202501,8354244.0,0.008354244,,,,10
1,반도체,202502,3299760.0,0.00329976,-60.50199156261177,,,10
1,반도체,202503,3218541.0,0.003218541,-2.4613608262419095,,,10
1,반도체,202504,4302092.0,0.004302092,33.66590638429028,,,10
1,반도체,202505,3811026.0,0.003811026,-11.41458620596677,,,10
1,반도체,202506,8452775.0,0.008452775,121.79788329966787,,,10
1,반도체,202507,3728188.0,0.003728188,-55.893916494878894,,,10
1,반도체,202508,3062452.0,0.003062452,-17.856824816774264,,,10
1,반도체,202509,3644839.0,0.003644839,19.0170164299718,,,10
1,반도체,202510,3238517.0,0.003238517,-11.147872375158407,,,10
1,반도체,202511,8103232.0,0.008103232,150.2142801782421,,,10
1,반도체,202512,2576573532.0,2.576573532,31696.862437111515,,,10
1,반도체,202601,3783857.0,0.003783857,-99.85314383800788,-54.707367895886215,,10
1,반도체,202602,2811350.0,0.00281135,-25.701473390775597,-14.801379494266254,,10
1,반도체,202603,3278418.0,0.003278418,16.61365536130328,1.860377108758282,-33.611732222023875,10
1,반도체,202604,3423219.0,0.003423219,4.416794929749646,-20.428968046243547,-12.082795883661523,10
1,반도체,202605,3365994.0,0.003365994,-1.6716721892464426,-11.677485275618693,-11.15483619830071,10
1,반도체,202606,4077514.0,0.004077514,21.138480936091987,-51.761238173262626,-34.40301105409772,10
1,반도체,202607,4396101565.0,4.396101565,107713.27948843339,117815.23294962592,27435.943609015736,10
1,반도체,202608,9751574.0,0.009751574,-99.77817678104532,218.42373366178472,28830.070151603166,10
2,자동차,202501,9318368.0,0.009318368,,,,26
2,자동차,202502,7725685.0,0.007725685,-17.091866301051862,,,26
2,자동차,202503,14650302.0,0.014650302,89.63110714454447,,,26
2,자동차,202504,27084923.0,0.027084923,84.87620937779985,,,24
2,자동차,202505,16111475.0,0.016111475,-40.514968419884376,,,26
2,자동차,202506,16678644.0,0.016678644,3.52027980057692,,,27
2,자동차,202507,13703332.0,0.013703332,-17.839052143567546,,,26
2,자동차,202508,7661450.0,0.00766145,-44.09060511706204,,,27
2,자동차,202509,19082614.0,0.019082614,149.07313889668404,,,26
2,자동차,202510,16156119.0,0.016156119,-15.3359230554053,,,26
2,자동차,202511,20719209.0,0.020719209,28.243726107736645,,,26
2,자동차,202512,722675070.0,0.72267507,3387.947199142593,,,25
2,자동차,202601,24729082.0,0.024729082,-96.57811884945747,165.3799678226917,,26
2,자동차,202602,9588854.0,0.009588854,-61.22438350117485,24.116554066079576,,25
2,자동차,202603,6579053.0,0.006579053,-31.38853714948627,-55.092714129715546,29.035561695450184,26
2,자동차,202604,14271825.0,0.014271825,116.92825699990559,-47.307123597877684,-38.45699159194604,26
2,자동차,202605,11677814.0,0.011677814,-18.17574837135405,-27.518653630409386,-43.767419749095446,27
2,자동차,202606,18793158.0,0.018793158,60.9304446876787,12.677973101410412,-25.27304281473406,26
2,자동차,202607,640864687.0,0.640864687,3310.095775281621,4576.707000895841,1343.935962077756,26
