YTD수출순위,산업순위,산업20,현재YTD_USD,현재YTD_bn,전년YTD_USD,전년YTD_bn,YTD증감액_bn,YTD_YoY_%
1,1,반도체,4426593491.0,4.426593491,38229078.0,0.038229078,4.388364413,11479.126995947954
2,2,자동차,1076688286.0,1.076688286,112934179.0,0.112934179,0.963754107,853.3768213784066
3,7,선박류,794539582.0,0.794539582,2154926120.0,2.15492612,-1.360386538,-63.129149782638486
4,5,일반기계,342751322.0,0.342751322,305508982.0,0.305508982,0.03724234,12.1902602523156
5,17,섬유류,284636061.0,0.284636061,196968350.0,0.19696835,0.087667711,44.5085268775415
6,13,디스플레이,40625102.0,0.040625102,112226521.0,0.112226521,-0.071601419,-63.800800703783736
7,6,석유화학,24439472.0,0.024439472,19962479.0,0.019962479,0.004476993,22.427039246979284
8,10,무선통신기기,6864181.0,0.006864181,7861366.0,0.007861366,-0.000997185,-12.684627582534635
9,20,가전,4473028.0,0.004473028,4002194.0,0.004002194,0.000470834,11.764397228120371
10,18,생활용품,3427244.0,0.003427244,3849761.0,0.003849761,-0.000422517,-10.97514884690245
11,15,화장품,2024023.0,0.002024023,1713231.0,0.001713231,0.000310792,18.14069439556021
12,3,석유제품,0.0,0.0,0.0,0.0,0.0,
13,4,컴퓨터,0.0,0.0,0.0,0.0,0.0,
14,11,전기기기,0.0,0.0,0.0,0.0,0.0,
15,9,자동차부품,0.0,0.0,0.0,0.0,0.0,
16,8,철강제품,0.0,0.0,0.0,0.0,0.0,
17,12,비철금속,0.0,0.0,0.0,0.0,0.0,
18,14,바이오헬스,0.0,0.0,0.0,0.0,0.0,
19,16,농수산식품,0.0,0.0,0.0,0.0,0.0,
20,19,이차전지,0.0,0.0,0.0,0.0,0.0,
