dlr,godsCd,godsKor,impexp,statCd,statCdCntnKor1,wgt,year,_QUERY_CODE,_QUERY_NAME
2341862,34010101,(메모리반도체),수출,AE,아랍에미리트 연합,270,2025.09,34010101,(메모리반도체)
3993540,34010101,(메모리반도체),수출,AT,오스트리아,260,2025.09,34010101,(메모리반도체)
600,34010101,(메모리반도체),수출,AU,호주,0,2025.09,34010101,(메모리반도체)
6815,34010101,(메모리반도체),수출,BA,보스니아-헤르체고비나,3,2025.09,34010101,(메모리반도체)
2454,34010101,(메모리반도체),수출,BG,불가리아,0,2025.09,34010101,(메모리반도체)
46606374,34010101,(메모리반도체),수출,BR,브라질,1613,2025.09,34010101,(메모리반도체)
2421670,34010101,(메모리반도체),수출,CA,캐나다,92,2025.09,34010101,(메모리반도체)
2858852619,34010101,(메모리반도체),수출,CN,중국,171344,2025.09,34010101,(메모리반도체)
118,34010101,(메모리반도체),수출,CR,코스타리카,0,2025.09,34010101,(메모리반도체)
15108640,34010101,(메모리반도체),수출,CZ,체코공화국,1679,2025.09,34010101,(메모리반도체)
82018089,34010101,(메모리반도체),수출,DE,독일,6602,2025.09,34010101,(메모리반도체)
7260,34010101,(메모리반도체),수출,EE,에스토니아,0,2025.09,34010101,(메모리반도체)
4304910,34010101,(메모리반도체),수출,EG,이집트,343,2025.09,34010101,(메모리반도체)
225162,34010101,(메모리반도체),수출,ES,스페인,23,2025.09,34010101,(메모리반도체)
1351084,34010101,(메모리반도체),수출,FR,프랑스,124,2025.09,34010101,(메모리반도체)
8231111,34010101,(메모리반도체),수출,GB,영국,819,2025.09,34010101,(메모리반도체)
2345259938,34010101,(메모리반도체),수출,HK,홍콩,154756,2025.09,34010101,(메모리반도체)
5783158,34010101,(메모리반도체),수출,HU,헝가리,373,2025.09,34010101,(메모리반도체)
30317612,34010101,(메모리반도체),수출,ID,인도네시아,1840,2025.09,34010101,(메모리반도체)
65465064,34010101,(메모리반도체),수출,IE,아일랜드,6652,2025.09,34010101,(메모리반도체)
29058,34010101,(메모리반도체),수출,IL,이스라엘,6,2025.09,34010101,(메모리반도체)
157569533,34010101,(메모리반도체),수출,IN,인도,3817,2025.09,34010101,(메모리반도체)
2410,34010101,(메모리반도체),수출,IT,이탈리아,1,2025.09,34010101,(메모리반도체)
69080911,34010101,(메모리반도체),수출,JP,일본,3606,2025.09,34010101,(메모리반도체)
25292325,34010101,(메모리반도체),수출,MX,멕시코,2181,2025.09,34010101,(메모리반도체)
91747936,34010101,(메모리반도체),수출,MY,말레이시아,3963,2025.09,34010101,(메모리반도체)
74808184,34010101,(메모리반도체),수출,NL,네덜란드,5584,2025.09,34010101,(메모리반도체)
134005827,34010101,(메모리반도체),수출,PH,필리핀,6381,2025.09,34010101,(메모리반도체)
23214570,34010101,(메모리반도체),수출,PL,폴란드,3399,2025.09,34010101,(메모리반도체)
