_YYYYMM,수출액_USD,세세분류수,수출액_bn,MoM_%,YoY_%
202509,16623804884.0,10,16.623804884,,
202510,15710144810.0,10,15.71014481,-5.496094789222261,
202511,17265469766.0,10,17.265469766,9.900131251559108,
202512,20771377982.0,10,20.771377982,20.305895313106426,
202601,20548589284.0,10,20.548589284,-1.0725754362231665,
202602,25143392363.0,10,25.143392363,22.360674085679012,
202603,32834481472.0,10,32.834481472,30.588907805129327,
202604,31904568824.0,10,31.904568824,-2.8321222273389512,
202605,37161409901.0,10,37.161409901,16.47676577608401,
202606,44814414760.0,10,44.81441476,20.593957224411064,
202607,41014769040.0,10,41.01476904,-8.47862398817143,
202608,46669843685.0,10,46.669843685,13.787898304351875,
