0,1,2,3
기준년도,HSK,MTI,구분
2026,0101211000,021130,농수산식품
2026,0101219000,021190,농수산식품
2026,0101291000,021130,농수산식품
2026,0101299000,021130,농수산식품
2026,0101300000,021190,농수산식품
2026,0101900000,021190,농수산식품
2026,0102211000,021110,농수산식품
2026,0102212000,021110,농수산식품
2026,0102219000,021110,농수산식품
2026,0102291000,021110,농수산식품
2026,0102292000,021110,농수산식품
2026,0102299000,021110,농수산식품
2026,0102310000,021110,농수산식품
2026,0102391000,021110,농수산식품
2026,0102392000,021110,농수산식품
2026,0102399000,021110,농수산식품
2026,0102901000,021110,농수산식품
2026,0102909010,021110,농수산식품
2026,0102909020,021110,농수산식품
2026,0102909090,021110,농수산식품
2026,0103100000,021120,농수산식품
2026,0103910000,021120,농수산식품
2026,0103920000,021120,농수산식품
2026,0104101000,021190,농수산식품
2026,0104109000,021190,농수산식품
2026,0104201000,021190,농수산식품
2026,0104209000,021190,농수산식품
2026,0105111000,021210,농수산식품
2026,0105119000,021210,농수산식품
2026,0105120000,021230,농수산식품
2026,0105131000,021220,농수산식품
2026,0105139000,021220,농수산식품
2026,0105140000,021290,농수산식품
2026,0105150000,021290,농수산식품
2026,0105941000,021210,농수산식품
2026,0105949000,021210,농수산식품
2026,0105991010,021220,농수산식품
2026,0105991090,021220,농수산식품
2026,0105992000,021230,농수산식품
2026,0105999000,021290,농수산식품
2026,0106110000,021900,농수산식품
2026,0106121000,021900,농수산식품
2026,0106122000,021900,농수산식품
2026,0106130000,021900,농수산식품
2026,0106141000,021190,농수산식품
2026,0106149000,021190,농수산식품
2026,0106191000,021190,농수산식품
2026,0106193000,021190,농수산식품
2026,0106194000,021900,농수산식품
2026,0106195010,021900,농수산식품
2026,0106195090,021900,농수산식품
2026,0106196010,021900,농수산식품
2026,0106196090,021900,농수산식품
2026,0106199000,021900,농수산식품
2026,0106201000,021900,농수산식품
2026,0106202000,021900,농수산식품
2026,0106203000,021900,농수산식품
2026,0106209000,021900,농수산식품
2026,0106310000,021900,농수산식품
2026,0106320000,021900,농수산식품
2026,0106330000,021900,농수산식품
2026,0106390000,021900,농수산식품
2026,0106410000,021900,농수산식품
2026,0106490000,021900,농수산식품
2026,0106901000,021900,농수산식품
2026,0106903010,049090,농수산식품
2026,0106903020,049090,농수산식품
2026,0106903090,021900,농수산식품
2026,0106909000,021900,농수산식품
2026,0201100000,022110,농수산식품
2026,0201201000,022110,농수산식품
2026,0201209000,022110,농수산식품
2026,0201300000,022110,농수산식품
2026,0202100000,022110,농수산식품
2026,0202201000,022110,농수산식품
2026,0202209000,022110,농수산식품
2026,0202300000,022110,농수산식품
2026,0203110000,022120,농수산식품
2026,0203120000,022120,농수산식품
2026,0203191000,022120,농수산식품
2026,0203199000,022120,농수산식품
2026,0203210000,022120,농수산식품
2026,0203220000,022120,농수산식품
2026,0203291000,022120,농수산식품
2026,0203299000,022120,농수산식품
2026,0204100000,022130,농수산식품
2026,0204210000,022130,농수산식품
2026,0204220000,022130,농수산식품
2026,0204230000,022130,농수산식품
2026,0204300000,022130,농수산식품
2026,0204410000,022130,농수산식품
2026,0204420000,022130,농수산식품
2026,0204430000,022130,농수산식품
2026,0204500000,022130,농수산식품
2026,0205000000,022190,농수산식품
2026,0206100000,022110,농수산식품
2026,0206210000,022110,농수산식품
2026,0206220000,022110,농수산식품
2026,0206291000,022110,농수산식품
2026,0206292000,022110,농수산식품
2026,0206299000,022110,농수산식품
2026,0206300000,022120,농수산식품
2026,0206410000,022120,농수산식품
2026,0206491000,022120,농수산식품
2026,0206499000,022120,농수산식품
2026,0206800000,022190,농수산식품
2026,0206900000,022190,농수산식품
2026,0207110000,022210,농수산식품
2026,0207120000,022210,농수산식품
2026,0207131000,022210,농수산식품
2026,0207132010,022210,농수산식품
2026,0207132090,022210,농수산식품
2026,0207141010,022210,농수산식품
2026,0207141020,022210,농수산식품
2026,0207141030,022210,농수산식품
2026,0207141090,022210,농수산식품
2026,0207142010,022210,농수산식품
2026,0207142090,022210,농수산식품
2026,0207240000,022230,농수산식품
2026,0207250000,022230,농수산식품
2026,0207261000,022230,농수산식품
2026,0207262010,022230,농수산식품
2026,0207262090,022230,농수산식품
2026,0207271000,022230,농수산식품
2026,0207272010,022230,농수산식품
2026,0207272090,022230,농수산식품
2026,0207410000,022220,농수산식품
2026,0207420000,022220,농수산식품
2026,0207430000,022220,농수산식품
2026,0207441000,022220,농수산식품
2026,0207442010,022220,농수산식품
2026,0207442090,022220,농수산식품
2026,0207451000,022220,농수산식품
2026,0207452010,022220,농수산식품
2026,0207452090,022220,농수산식품
2026,0207510000,022220,농수산식품
2026,0207520000,022220,농수산식품
2026,0207530000,022220,농수산식품
2026,0207541000,022220,농수산식품
2026,0207542010,022220,농수산식품
2026,0207542090,022220,농수산식품
2026,0207551000,022220,농수산식품
2026,0207552010,022220,농수산식품
2026,0207552090,022220,농수산식품
2026,0207601000,022220,농수산식품
2026,0207602000,022220,농수산식품
2026,0207603100,022220,농수산식품
2026,0207603210,022220,농수산식품
2026,0207603290,022220,농수산식품
2026,0207604100,022220,농수산식품
2026,0207604210,022220,농수산식품
2026,0207604290,022220,농수산식품
2026,0208100000,022190,농수산식품
2026,0208300000,022990,농수산식품
2026,0208401000,045100,농수산식품
2026,0208402000,045100,농수산식품
2026,0208500000,022990,농수산식품
2026,0208600000,022190,농수산식품
2026,0208901000,022190,농수산식품
2026,0208909010,045100,농수산식품
2026,0208909090,022990,농수산식품
2026,0209100000,022120,농수산식품
2026,0209900000,022290,농수산식품
2026,0210110000,022120,농수산식품
2026,0210120000,022120,농수산식품
2026,0210190000,022120,농수산식품
2026,0210201000,022110,농수산식품
2026,0210209000,022110,농수산식품
2026,0210910000,022990,농수산식품
2026,0210921000,022990,농수산식품
2026,0210922000,022990,농수산식품
2026,0210930000,022990,농수산식품
2026,0210991010,022110,농수산식품
2026,0210991090,022990,농수산식품
2026,0210999020,022290,농수산식품
2026,0210999090,022990,농수산식품
2026,0301111000,041900,농수산식품
2026,0301119000,041900,농수산식품
2026,0301190000,041900,농수산식품
2026,0301910000,041900,농수산식품
2026,0301921000,041800,농수산식품
2026,0301922000,041800,농수산식품
2026,0301929010,041800,농수산식품
2026,0301929090,041800,농수산식품
2026,0301931000,041900,농수산식품
2026,0301939000,041900,농수산식품
2026,0301940000,041100,농수산식품
2026,0301950000,041100,농수산식품
2026,0301992000,041900,농수산식품
2026,0301994010,041900,농수산식품
2026,0301994091,041900,농수산식품
2026,0301994099,041900,농수산식품
2026,0301995000,041900,농수산식품
2026,0301996000,041900,농수산식품
2026,0301997000,041900,농수산식품
2026,0301998000,041500,농수산식품
2026,0301999010,041900,농수산식품
2026,0301999020,041900,농수산식품
2026,0301999040,041900,농수산식품
2026,0301999051,041900,농수산식품
2026,0301999059,041900,농수산식품
2026,0301999060,041900,농수산식품
2026,0301999070,041900,농수산식품
2026,0301999080,041900,농수산식품
2026,0301999091,041900,농수산식품
2026,0301999092,041900,농수산식품
2026,0301999095,041900,농수산식품
2026,0301999096,041900,농수산식품
2026,0301999097,041900,농수산식품
2026,0301999099,041900,농수산식품
2026,0302110000,041900,농수산식품
2026,0302130000,041900,농수산식품
2026,0302140000,041900,농수산식품
2026,0302190000,041900,농수산식품
2026,0302210000,041500,농수산식품
2026,0302220000,041600,농수산식품
2026,0302230000,041900,농수산식품
2026,0302240000,041500,농수산식품
2026,0302290000,041900,농수산식품
2026,0302310000,041100,농수산식품
2026,0302320000,041100,농수산식품
2026,0302330000,041100,농수산식품
2026,0302340000,041100,농수산식품
2026,0302351000,041100,농수산식품
2026,0302352000,041100,농수산식품
2026,0302360000,041100,농수산식품
2026,0302390000,041100,농수산식품
2026,0302410000,041900,농수산식품
2026,0302420000,041900,농수산식품
2026,0302430000,041900,농수산식품
2026,0302440000,041900,농수산식품
2026,0302450000,041900,농수산식품
2026,0302460000,041900,농수산식품
2026,0302470000,041900,농수산식품
2026,0302491000,041900,농수산식품
2026,0302492000,041900,농수산식품
2026,0302493000,041900,농수산식품
2026,0302499000,041900,농수산식품
2026,0302510000,041700,농수산식품
2026,0302520000,041900,농수산식품
