적용연도,HSK10,MTI6,산업20
2026,0101211000,021130,농수산식품
2026,0101219000,021190,농수산식품
2026,0101291000,021130,농수산식품
2026,0101299000,021130,농수산식품
2026,0101300000,021190,농수산식품
2026,0101900000,021190,농수산식품
2026,0102211000,021110,농수산식품
2026,0102212000,021110,농수산식품
2026,0102219000,021110,농수산식품
2026,0102291000,021110,농수산식품
2026,0102292000,021110,농수산식품
2026,0102299000,021110,농수산식품
2026,0102310000,021110,농수산식품
2026,0102391000,021110,농수산식품
2026,0102392000,021110,농수산식품
2026,0102399000,021110,농수산식품
2026,0102901000,021110,농수산식품
2026,0102909010,021110,농수산식품
2026,0102909020,021110,농수산식품
2026,0102909090,021110,농수산식품
2026,0103100000,021120,농수산식품
2026,0103910000,021120,농수산식품
2026,0103920000,021120,농수산식품
2026,0104101000,021190,농수산식품
2026,0104109000,021190,농수산식품
2026,0104201000,021190,농수산식품
2026,0104209000,021190,농수산식품
2026,0105111000,021210,농수산식품
2026,0105119000,021210,농수산식품
2026,0105120000,021230,농수산식품
2026,0105131000,021220,농수산식품
2026,0105139000,021220,농수산식품
2026,0105140000,021290,농수산식품
2026,0105150000,021290,농수산식품
2026,0105941000,021210,농수산식품
2026,0105949000,021210,농수산식품
2026,0105991010,021220,농수산식품
2026,0105991090,021220,농수산식품
2026,0105992000,021230,농수산식품
2026,0105999000,021290,농수산식품
2026,0106110000,021900,농수산식품
2026,0106121000,021900,농수산식품
2026,0106122000,021900,농수산식품
2026,0106130000,021900,농수산식품
2026,0106141000,021190,농수산식품
2026,0106149000,021190,농수산식품
2026,0106191000,021190,농수산식품
2026,0106193000,021190,농수산식품
2026,0106194000,021900,농수산식품
2026,0106195010,021900,농수산식품
2026,0106195090,021900,농수산식품
2026,0106196010,021900,농수산식품
2026,0106196090,021900,농수산식품
2026,0106199000,021900,농수산식품
2026,0106201000,021900,농수산식품
2026,0106202000,021900,농수산식품
2026,0106203000,021900,농수산식품
2026,0106209000,021900,농수산식품
