MTI코드,코드길이,품목명,행,코드열,품목명열
0,1,1단위,1,1,2
01,2,2단위,11,1,2
011,3,3단위,59,1,2
0111,4,4단위,260,1,2
011110,6,6단위,847,1,2
011120,6,6단위,848,1,2
011130,6,6단위,849,1,2
011140,6,6단위,850,1,2
011150,6,6단위,851,1,2
011160,6,6단위,852,1,2
011190,6,6단위,853,1,2
0112,4,4단위,261,1,2
011210,6,6단위,854,1,2
011220,6,6단위,855,1,2
011230,6,6단위,856,1,2
011290,6,6단위,857,1,2
0113,4,4단위,262,1,2
011310,6,6단위,858,1,2
011320,6,6단위,859,1,2
011330,6,6단위,860,1,2
011340,6,6단위,861,1,2
011350,6,6단위,862,1,2
011390,6,6단위,863,1,2
0114,4,4단위,263,1,2
011410,6,6단위,864,1,2
011420,6,6단위,865,1,2
011430,6,6단위,866,1,2
011440,6,6단위,867,1,2
011490,6,6단위,868,1,2
0115,4,4단위,264,1,2
011510,6,6단위,869,1,2
011520,6,6단위,870,1,2
011530,6,6단위,871,1,2
011540,6,6단위,872,1,2
011550,6,6단위,873,1,2
011560,6,6단위,874,1,2
011590,6,6단위,875,1,2
0116,4,4단위,265,1,2
011601,6,6단위,876,1,2
011602,6,6단위,877,1,2
011603,6,6단위,878,1,2
011604,6,6단위,879,1,2
011605,6,6단위,880,1,2
011606,6,6단위,881,1,2
011607,6,6단위,882,1,2
011608,6,6단위,883,1,2
011609,6,6단위,884,1,2
011610,6,6단위,885,1,2
011611,6,6단위,886,1,2
011612,6,6단위,887,1,2
011613,6,6단위,888,1,2
011614,6,6단위,889,1,2
011615,6,6단위,890,1,2
011616,6,6단위,891,1,2
011617,6,6단위,892,1,2
011618,6,6단위,893,1,2
011619,6,6단위,894,1,2
011620,6,6단위,895,1,2
011621,6,6단위,896,1,2
011622,6,6단위,897,1,2
011623,6,6단위,898,1,2
011624,6,6단위,899,1,2
011690,6,6단위,900,1,2
0119,4,4단위,266,1,2
011900,6,6단위,901,1,2
012,3,3단위,60,1,2
0121,4,4단위,267,1,2
012101,6,6단위,902,1,2
012102,6,6단위,903,1,2
012103,6,6단위,904,1,2
012104,6,6단위,905,1,2
012105,6,6단위,906,1,2
012106,6,6단위,907,1,2
012107,6,6단위,908,1,2
012108,6,6단위,909,1,2
012109,6,6단위,910,1,2
012110,6,6단위,911,1,2
012111,6,6단위,912,1,2
012112,6,6단위,913,1,2
012113,6,6단위,914,1,2
012114,6,6단위,915,1,2
012115,6,6단위,916,1,2
012116,6,6단위,917,1,2
012117,6,6단위,918,1,2
012118,6,6단위,919,1,2
012119,6,6단위,920,1,2
012190,6,6단위,921,1,2
0122,4,4단위,268,1,2
012201,6,6단위,922,1,2
012202,6,6단위,923,1,2
012203,6,6단위,924,1,2
012204,6,6단위,925,1,2
012206,6,6단위,926,1,2
012207,6,6단위,927,1,2
012208,6,6단위,928,1,2
012209,6,6단위,929,1,2
012210,6,6단위,930,1,2
012211,6,6단위,931,1,2
012212,6,6단위,932,1,2
012290,6,6단위,933,1,2
0123,4,4단위,269,1,2
012310,6,6단위,934,1,2
012320,6,6단위,935,1,2
012330,6,6단위,936,1,2
0124,4,4단위,270,1,2
012410,6,6단위,937,1,2
012420,6,6단위,938,1,2
012430,6,6단위,939,1,2
012440,6,6단위,940,1,2
012450,6,6단위,941,1,2
012460,6,6단위,942,1,2
012490,6,6단위,943,1,2
0125,4,4단위,271,1,2
012510,6,6단위,944,1,2
012520,6,6단위,945,1,2
012530,6,6단위,946,1,2
012540,6,6단위,947,1,2
012550,6,6단위,948,1,2
012560,6,6단위,949,1,2
012590,6,6단위,950,1,2
0129,4,4단위,272,1,2
012910,6,6단위,951,1,2
012990,6,6단위,952,1,2
013,3,3단위,61,1,2
0131,4,4단위,273,1,2
013110,6,6단위,953,1,2
013120,6,6단위,954,1,2
013130,6,6단위,955,1,2
013140,6,6단위,956,1,2
013190,6,6단위,957,1,2
0132,4,4단위,274,1,2
013210,6,6단위,958,1,2
013290,6,6단위,959,1,2
0133,4,4단위,275,1,2
013300,6,6단위,960,1,2
0134,4,4단위,276,1,2
013400,6,6단위,961,1,2
0135,4,4단위,277,1,2
013500,6,6단위,962,1,2
0136,4,4단위,278,1,2
013600,6,6단위,963,1,2
0139,4,4단위,279,1,2
013900,6,6단위,964,1,2
014,3,3단위,62,1,2
0141,4,4단위,280,1,2
014100,6,6단위,965,1,2
0142,4,4단위,281,1,2
014200,6,6단위,966,1,2
0143,4,4단위,282,1,2
014310,6,6단위,967,1,2
014320,6,6단위,968,1,2
014330,6,6단위,969,1,2
014340,6,6단위,970,1,2
014350,6,6단위,971,1,2
014360,6,6단위,972,1,2
014370,6,6단위,973,1,2
014390,6,6단위,974,1,2
0144,4,4단위,283,1,2
014400,6,6단위,975,1,2
0145,4,4단위,284,1,2
014500,6,6단위,976,1,2
0149,4,4단위,285,1,2
014900,6,6단위,977,1,2
015,3,3단위,63,1,2
0151,4,4단위,286,1,2
015110,6,6단위,978,1,2
015120,6,6단위,979,1,2
0152,4,4단위,287,1,2
015210,6,6단위,980,1,2
015220,6,6단위,981,1,2
0153,4,4단위,288,1,2
015310,6,6단위,982,1,2
015320,6,6단위,983,1,2
0154,4,4단위,289,1,2
015410,6,6단위,984,1,2
015420,6,6단위,985,1,2
0155,4,4단위,290,1,2
015510,6,6단위,986,1,2
015520,6,6단위,987,1,2
015530,6,6단위,988,1,2
015590,6,6단위,989,1,2
0156,4,4단위,291,1,2
015600,6,6단위,990,1,2
0157,4,4단위,292,1,2
015710,6,6단위,991,1,2
015720,6,6단위,992,1,2
015730,6,6단위,993,1,2
015740,6,6단위,994,1,2
015750,6,6단위,995,1,2
015760,6,6단위,996,1,2
015790,6,6단위,997,1,2
0158,4,4단위,293,1,2
015810,6,6단위,998,1,2
015820,6,6단위,999,1,2
015830,6,6단위,1000,1,2
015890,6,6단위,1001,1,2
0159,4,4단위,294,1,2
015910,6,6단위,1002,1,2
015920,6,6단위,1003,1,2
015930,6,6단위,1004,1,2
015940,6,6단위,1005,1,2
015990,6,6단위,1006,1,2
016,3,3단위,64,1,2
0161,4,4단위,295,1,2
016110,6,6단위,1007,1,2
016120,6,6단위,1008,1,2
016130,6,6단위,1009,1,2
0162,4,4단위,296,1,2
016200,6,6단위,1010,1,2
0163,4,4단위,297,1,2
016300,6,6단위,1011,1,2
0164,4,4단위,298,1,2
016400,6,6단위,1012,1,2
0165,4,4단위,299,1,2
016500,6,6단위,1013,1,2
0169,4,4단위,300,1,2
016900,6,6단위,1014,1,2
017,3,3단위,65,1,2
0170,4,4단위,301,1,2
017000,6,6단위,1015,1,2
019,3,3단위,66,1,2
0190,4,4단위,302,1,2
019000,6,6단위,1016,1,2
02,2,2단위,12,1,2
021,3,3단위,67,1,2
0211,4,4단위,303,1,2
021110,6,6단위,1017,1,2
021120,6,6단위,1018,1,2
021130,6,6단위,1019,1,2
021190,6,6단위,1020,1,2
0212,4,4단위,304,1,2
021210,6,6단위,1021,1,2
021220,6,6단위,1022,1,2
021230,6,6단위,1023,1,2
021290,6,6단위,1024,1,2
0219,4,4단위,305,1,2
021900,6,6단위,1025,1,2
022,3,3단위,68,1,2
0221,4,4단위,306,1,2
022110,6,6단위,1026,1,2
022120,6,6단위,1027,1,2
022130,6,6단위,1028,1,2
022190,6,6단위,1029,1,2
0222,4,4단위,307,1,2
022210,6,6단위,1030,1,2
022220,6,6단위,1031,1,2
022230,6,6단위,1032,1,2
022290,6,6단위,1033,1,2
0229,4,4단위,308,1,2
022910,6,6단위,1034,1,2
022990,6,6단위,1035,1,2
023,3,3단위,69,1,2
0231,4,4단위,309,1,2
023110,6,6단위,1036,1,2
023120,6,6단위,1037,1,2
023190,6,6단위,1038,1,2
0232,4,4단위,310,1,2
023210,6,6단위,1039,1,2
023290,6,6단위,1040,1,2
0233,4,4단위,311,1,2
