산업,발견여부,발견횟수,시트
반도체,YES,174,"HSK-MTI 연계표, HSK코드표, MTI코드표"
자동차,YES,294,"HSK-MTI 연계표, HSK코드표, MTI코드표"
자동차부품,YES,68,"HSK-MTI 연계표, MTI코드표"
선박,YES,120,"HSK-MTI 연계표, HSK코드표, MTI코드표"
디스플레이,YES,79,"HSK-MTI 연계표, HSK코드표, MTI코드표"
무선통신,YES,89,"HSK-MTI 연계표, HSK코드표, MTI코드표"
컴퓨터,YES,115,"HSK-MTI 연계표, HSK코드표, MTI코드표"
가전,YES,228,"HSK-MTI 연계표, MTI코드표"
일반기계,YES,1273,"HSK-MTI 연계표, MTI코드표"
석유제품,YES,156,"HSK-MTI 연계표, MTI코드표"
석유화학,YES,359,"HSK-MTI 연계표, HSK코드표, MTI코드표"
이차전지,YES,24,"HSK-MTI 연계표, HSK코드표, MTI코드표"
철강,YES,439,"HSK-MTI 연계표, HSK코드표, MTI코드표"
비철금속,YES,376,"HSK-MTI 연계표, MTI코드표"
전기기기,YES,323,"HSK-MTI 연계표, HSK코드표, MTI코드표"
바이오,YES,574,"HSK-MTI 연계표, HSK코드표, MTI코드표"
농수산,YES,2731,"HSK-MTI 연계표, MTI코드표"
화장품,YES,49,"HSK-MTI 연계표, HSK코드표, MTI코드표"
생활용품,YES,720,"HSK-MTI 연계표, MTI코드표"
섬유,YES,1739,"HSK-MTI 연계표, HSK코드표, MTI코드표"
