시트,검색어,행,열,셀내용
HSK코드표,HS,0,1,HS 코드
HSK코드표,코드,0,1,HS 코드
HSK코드표,HS,0,2,HS 품목명(국문)
HSK코드표,품목명,0,2,HS 품목명(국문)
HSK코드표,HS,0,3,HS 품목명(영문)
HSK코드표,품목명,0,3,HS 품목명(영문)
HSK코드표,HS,574,3,"Live, fresh or chilled stromboid conchs (Strombus spp.)"
HSK코드표,HS,576,3,Frozen stromboid conchs (Strombus spp.)
HSK코드표,HS,702,3,Stomachs
HSK코드표,바이오,1459,2,바이오디젤 제조용
HSK코드표,바이오,1462,2,바이오디젤 제조용
HSK코드표,HS,2127,3,Decolourising earths and fuller's earth
HSK코드표,HS,2143,3,"Siliceous fossil meals (for example, kieselguhr, tripolite and diatomite) and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less."
HSK코드표,철강,2274,2,철강을 제조할 때 생기는 알갱이 모양의 슬래그(slag)[슬래그 샌드(slag sand)]
HSK코드표,자동차,2335,2,자동차 휘발유
HSK코드표,자동차,2356,2,자동차용 기관오일
HSK코드표,선박,2357,2,선박용 기관오일
HSK코드표,자동차,2383,2,자동차 휘발유
HSK코드표,자동차,2404,2,자동차용 기관오일
HSK코드표,선박,2405,2,선박용 기관오일
HSK코드표,자동차,2431,2,자동차 휘발유ㆍ항공 휘발유ㆍ제트 연료유의 것
HSK코드표,자동차,2441,2,자동차 휘발유ㆍ항공 휘발유ㆍ제트 연료유의 것
HSK코드표,이차전지,2493,2,이차전지 제조용
HSK코드표,반도체,2527,2,반도체 제조용
HSK코드표,반도체,2530,2,반도체 제조용
HSK코드표,반도체,2534,2,반도체 제조용
HSK코드표,반도체,2541,2,반도체 제조용
HSK코드표,이차전지,2597,2,이차전지 제조용
HSK코드표,이차전지,2687,2,이차전지 제조용
HSK코드표,이차전지,2694,2,이차전지 제조용
HSK코드표,이차전지,2696,2,이차전지 제조용
HSK코드표,이차전지,2729,2,이차전지 제조용
HSK코드표,반도체,2778,2,반도체 제조용 금청산칼륨
HSK코드표,반도체,2806,2,반도체 제조용
HSK코드표,반도체,2913,2,반도체 제조용
