산업,시트,검색중심행,현재행,행내용
농수산식품,HSK코드표,1185,1183,C1=2026 | C2=1107209000 | C3=기타 | C4=Other
농수산식품,HSK코드표,1185,1184,C1=2026 | C2=1108110000 | C3=밀로 만든 것 | C4=Wheat starch
농수산식품,HSK코드표,1185,1185,C1=2026 | C2=1108121000 | C3=식품용 | C4=For food
농수산식품,HSK코드표,1185,1186,C1=2026 | C2=1108129000 | C3=기타 | C4=Other
농수산식품,HSK코드표,1185,1187,C1=2026 | C2=1108130000 | C3=감자로 만든 것 | C4=Potato starch
농수산식품,HSK코드표,1188,1186,C1=2026 | C2=1108129000 | C3=기타 | C4=Other
농수산식품,HSK코드표,1188,1187,C1=2026 | C2=1108130000 | C3=감자로 만든 것 | C4=Potato starch
농수산식품,HSK코드표,1188,1188,C1=2026 | C2=1108141000 | C3=식품용 | C4=For food
농수산식품,HSK코드표,1188,1189,C1=2026 | C2=1108149000 | C3=기타 | C4=Other
농수산식품,HSK코드표,1188,1190,C1=2026 | C2=1108191000 | C3=고구마로 만든 것 | C4=Of sweet potato
농수산식품,HSK코드표,1459,1457,C1=2026 | C2=1506001000 | C3=우각유(neat's foot oil)와 그 분획물 | C4=Neat's foot oil and its fractions
농수산식품,HSK코드표,1459,1458,C1=2026 | C2=1506009000 | C3=기타 | C4=Other
농수산식품,HSK코드표,1459,1459,C1=2026 | C2=1507101000 | C3=식품용 | C4=For food
농수산식품,HSK코드표,1459,1460,C1=2026 | C2=1507102000 | C3=바이오디젤 제조용 | C4=For manufacturing biodiesel
농수산식품,HSK코드표,1459,1461,C1=2026 | C2=1507109000 | C3=기타 | C4=Other
농수산식품,HSK코드표,1462,1460,C1=2026 | C2=1507102000 | C3=바이오디젤 제조용 | C4=For manufacturing biodiesel
농수산식품,HSK코드표,1462,1461,C1=2026 | C2=1507109000 | C3=기타 | C4=Other
농수산식품,HSK코드표,1462,1462,C1=2026 | C2=1507901010 | C3=식품용 | C4=For food
농수산식품,HSK코드표,1462,1463,C1=2026 | C2=1507901020 | C3=바이오디젤 제조용 | C4=For manufacturing biodiesel
농수산식품,HSK코드표,1462,1464,C1=2026 | C2=1507901090 | C3=기타 | C4=Other
이차전지,HSK코드표,2494,2492,C1=2026 | C2=2802003000 | C3=콜로이드황 | C4=Colloidal sulfur
이차전지,HSK코드표,2494,2493,C1=2026 | C2=2803001000 | C3=아세틸렌 블랙 | C4=Acetylene black
이차전지,HSK코드표,2494,2494,C1=2026 | C2=2803009011 | C3=이차전지 제조용 | C4=For manufacturing secondary batteries
이차전지,HSK코드표,2494,2495,C1=2026 | C2=2803009019 | C3=기타 | C4=Other
이차전지,HSK코드표,2494,2496,C1=2026 | C2=2803009090 | C3=기타 | C4=Other
농수산식품,HSK코드표,2575,2573,C1=2026 | C2=2815110000 | C3=고체 | C4=Solid
농수산식품,HSK코드표,2575,2574,C1=2026 | C2=2815120000 | C3=수용액(소다액이나 액체 상태의 소다) | C4=In aqueous solution (soda lye or liquid soda)
농수산식품,HSK코드표,2575,2575,C1=2026 | C2=2815200000 | C3=수산화칼륨[가성(苛性)칼륨] | C4=Potassium hydroxide (caustic potash)
농수산식품,HSK코드표,2575,2576,C1=2026 | C2=2815300000 | C3=과산화나트륨이나 과산화칼륨 | C4=Peroxides of sodium or potassium
농수산식품,HSK코드표,2575,2577,C1=2026 | C2=2816101000 | C3=수산화마그네슘 | C4=Magnesium hydroxide
농수산식품,HSK코드표,2577,2575,C1=2026 | C2=2815200000 | C3=수산화칼륨[가성(苛性)칼륨] | C4=Potassium hydroxide (caustic potash)
농수산식품,HSK코드표,2577,2576,C1=2026 | C2=2815300000 | C3=과산화나트륨이나 과산화칼륨 | C4=Peroxides of sodium or potassium
농수산식품,HSK코드표,2577,2577,C1=2026 | C2=2816101000 | C3=수산화마그네슘 | C4=Magnesium hydroxide
농수산식품,HSK코드표,2577,2578,C1=2026 | C2=2816102000 | C3=과산화마그네슘 | C4=Magnesium peroxide
농수산식품,HSK코드표,2577,2579,"C1=2026 | C2=2816400000 | C3=스트론튬이나 바륨의 산화물, 수산화물, 과산화물 | C4=Oxides, hydroxides and peroxides, of strontium or barium"
농수산식품,HSK코드표,2579,2577,C1=2026 | C2=2816101000 | C3=수산화마그네슘 | C4=Magnesium hydroxide
농수산식품,HSK코드표,2579,2578,C1=2026 | C2=2816102000 | C3=과산화마그네슘 | C4=Magnesium peroxide
농수산식품,HSK코드표,2579,2579,"C1=2026 | C2=2816400000 | C3=스트론튬이나 바륨의 산화물, 수산화물, 과산화물 | C4=Oxides, hydroxides and peroxides, of strontium or barium"
농수산식품,HSK코드표,2579,2580,C1=2026 | C2=2817001000 | C3=산화아연 | C4=Zinc oxide
농수산식품,HSK코드표,2579,2581,C1=2026 | C2=2817002000 | C3=과산화아연 | C4=Zinc peroxide
농수산식품,HSK코드표,2591,2589,C1=2026 | C2=2819901010 | C3=산화제이크로뮴 | C4=Chromic oxides
농수산식품,HSK코드표,2591,2590,C1=2026 | C2=2819901090 | C3=기타 | C4=Other
농수산식품,HSK코드표,2591,2591,C1=2026 | C2=2819902000 | C3=수산화크로뮴 | C4=Chromium hydroxides
농수산식품,HSK코드표,2591,2592,C1=2026 | C2=2820100000 | C3=이산화망간 | C4=Manganese dioxide
농수산식품,HSK코드표,2591,2593,C1=2026 | C2=2820900000 | C3=기타 | C4=Other
농수산식품,HSK코드표,2595,2593,C1=2026 | C2=2820900000 | C3=기타 | C4=Other
농수산식품,HSK코드표,2595,2594,C1=2026 | C2=2821101000 | C3=산화철 | C4=Iron oxides
농수산식품,HSK코드표,2595,2595,C1=2026 | C2=2821102000 | C3=수산화철 | C4=Iron hydroxides
농수산식품,HSK코드표,2595,2596,C1=2026 | C2=2821200000 | C3=어스컬러(earth colour) | C4=Earth colours
농수산식품,HSK코드표,2595,2597,C1=2026 | C2=2822001010 | C3=산화제이코발트 | C4=Cobaltic oxide
이차전지,HSK코드표,2598,2596,C1=2026 | C2=2821200000 | C3=어스컬러(earth colour) | C4=Earth colours
이차전지,HSK코드표,2598,2597,C1=2026 | C2=2822001010 | C3=산화제이코발트 | C4=Cobaltic oxide
이차전지,HSK코드표,2598,2598,C1=2026 | C2=2822001091 | C3=이차전지 제조용 | C4=For manufacturing secondary battery
이차전지,HSK코드표,2598,2599,C1=2026 | C2=2822001099 | C3=기타 | C4=Other
이차전지,HSK코드표,2598,2600,C1=2026 | C2=2822002010 | C3=수산화제일코발트 | C4=Cobaltous hydroxide
농수산식품,HSK코드표,2600,2598,C1=2026 | C2=2822001091 | C3=이차전지 제조용 | C4=For manufacturing secondary battery
농수산식품,HSK코드표,2600,2599,C1=2026 | C2=2822001099 | C3=기타 | C4=Other
농수산식품,HSK코드표,2600,2600,C1=2026 | C2=2822002010 | C3=수산화제일코발트 | C4=Cobaltous hydroxide
농수산식품,HSK코드표,2600,2601,C1=2026 | C2=2822002090 | C3=기타 | C4=Other
농수산식품,HSK코드표,2600,2602,C1=2026 | C2=2823001000 | C3=아나타스형 | C4=Anatase type
농수산식품,HSK코드표,2611,2609,C1=2026 | C2=2825109000 | C3=기타 | C4=Other
농수산식품,HSK코드표,2611,2610,C1=2026 | C2=2825201000 | C3=산화리튬 | C4=Lithium oxide
농수산식품,HSK코드표,2611,2611,C1=2026 | C2=2825202000 | C3=수산화리튬 | C4=Lithium hydroxide
농수산식품,HSK코드표,2611,2612,C1=2026 | C2=2825301000 | C3=오산화바나듐 | C4=Vanadic pentoxide
농수산식품,HSK코드표,2611,2613,C1=2026 | C2=2825309000 | C3=기타 | C4=Other
농수산식품,HSK코드표,2615,2613,C1=2026 | C2=2825309000 | C3=기타 | C4=Other
농수산식품,HSK코드표,2615,2614,C1=2026 | C2=2825401000 | C3=산화니켈 | C4=Nickel oxides
농수산식품,HSK코드표,2615,2615,C1=2026 | C2=2825402000 | C3=수산화니켈 | C4=Nickel hydroxides
농수산식품,HSK코드표,2615,2616,C1=2026 | C2=2825501000 | C3=산화구리 | C4=Copper oxides
