산업,검색어,시트,행,열,셀주소,셀내용
농수산식품,식품,HSK코드표,1185,3,C1185,식품용
농수산식품,식품,HSK코드표,1188,3,C1188,식품용
농수산식품,식품,HSK코드표,1459,3,C1459,식품용
농수산식품,식품,HSK코드표,1462,3,C1462,식품용
이차전지,이차전지,HSK코드표,2494,3,C2494,이차전지 제조용
농수산식품,수산,HSK코드표,2575,3,C2575,수산화칼륨[가성(苛性)칼륨]
농수산식품,수산,HSK코드표,2577,3,C2577,수산화마그네슘
농수산식품,수산,HSK코드표,2579,3,C2579,"스트론튬이나 바륨의 산화물, 수산화물, 과산화물"
농수산식품,수산,HSK코드표,2591,3,C2591,수산화크로뮴
농수산식품,수산,HSK코드표,2595,3,C2595,수산화철
이차전지,이차전지,HSK코드표,2598,3,C2598,이차전지 제조용
농수산식품,수산,HSK코드표,2600,3,C2600,수산화제일코발트
농수산식품,수산,HSK코드표,2611,3,C2611,수산화리튬
농수산식품,수산,HSK코드표,2615,3,C2615,수산화니켈
농수산식품,수산,HSK코드표,2622,3,C2622,수산화몰리브덴
농수산식품,수산,HSK코드표,2629,3,C2629,수산화칼슘
농수산식품,수산,HSK코드표,2630,3,C2630,니켈 코발트 망간 수산화물
농수산식품,수산,HSK코드표,2660,3,C2660,수산화염화물
이차전지,이차전지,HSK코드표,2688,3,C2688,이차전지 제조용
이차전지,이차전지,HSK코드표,2695,3,C2695,이차전지 제조용
이차전지,이차전지,HSK코드표,2697,3,C2697,이차전지 제조용
이차전지,이차전지,HSK코드표,2730,3,C2730,이차전지 제조용
농수산식품,식품,HSK코드표,3893,3,C3893,식품공업용
농수산식품,식품,HSK코드표,4012,3,C4012,식품용
농수산식품,식품,HSK코드표,4014,3,C4014,식품용
농수산식품,식품,HSK코드표,4016,3,C4016,식품용
이차전지,이차전지,HSK코드표,4127,3,C4127,이차전지 제조용
이차전지,이차전지,HSK코드표,4385,3,C4385,폴리비닐리덴 플루오라이드[이차전지 제조용으로 한정한다]
이차전지,이차전지,HSK코드표,4533,3,C4533,격리막(이차전지 제조용으로 한정한다)
이차전지,이차전지,HSK코드표,4535,3,C4535,격리막(이차전지 제조용으로 한정한다)
가전,가정용,HSK코드표,6840,3,C6840,가정용품
가전,가정용,HSK코드표,7736,3,C7736,태양열 집열기(가정용에 사용되는 비전기식으로 한정한다)
가전,가정용,HSK코드표,7737,3,C7737,기타 가정용 물품
가전,가정용,HSK코드표,7738,3,C7738,태양열 집열기(가정용에 사용되는 비전기식으로 한정한다)용
가전,가정용,HSK코드표,7825,3,C7825,그 밖의 가정용 물품
가전,가정용,HSK코드표,8018,3,C8018,가정용 공구
농수산식품,식품,HSK코드표,8055,3,C8055,주방기구용이나 식품공업에 사용되는 기계용
가전,가정용,HSK코드표,8067,3,C8067,그 밖의 가정용 식품가공기기
농수산식품,식품,HSK코드표,8067,3,C8067,그 밖의 가정용 식품가공기기
가전,가정용,HSK코드표,8078,3,C8078,가정용ㆍ사무용 가위
농수산식품,농산,HSK코드표,8392,3,C8392,기타(농산물용으로 한정한다)
농수산식품,식품,HSK코드표,8428,3,C8428,식품공업용
농수산식품,농산,HSK코드표,8656,3,C8656,농산물 선별기
가전,가정용,HSK코드표,8847,3,C8847,가정용 의류관리기
일반기계,공작기계,HSK코드표,8983,3,C8983,유리 냉간 가공용 공작기계
일반기계,공작기계,HSK코드표,8984,3,C8984,콘크리트 가공용 공작기계
