국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,품목수출대비_비중_%
CN,중국,2026-07-01,13422130645,3595259491.0,273.3285644221111,15.892747308830435,13.422130645,41.01719969127152
VN,베트남,2026-07-01,5856242074,1813794611.0,222.8723935160043,21.51862594607472,5.856242074,17.89631295826834
HK,홍콩,2026-07-01,4368675552,1496602044.0,191.90629329382367,-28.504212375376326,4.368675552,13.350401828305245
TW,대만,2026-07-01,3896005534,3428019880.0,13.651777713727853,-35.75789617555631,3.896005534,11.905951537277481
MY,말레이시아,2026-07-01,1582975656,453595174.0,248.98423676791586,13.85529957653564,1.582975656,4.837475532452883
PH,필리핀,2026-07-01,949245195,221420145.0,328.7076927891994,-16.95095066647062,0.949245195,2.900834506017802
IN,인도,2026-07-01,780790997,269346535.0,189.8834384485399,40.413031817567855,0.780790997,2.386048913406027
SG,싱가포르,2026-07-01,409503273,482130114.0,-15.063742938073354,-8.668330943124225,0.409503273,1.251416631764597
BR,브라질,2026-07-01,273840885,69403105.0,294.5657546589594,6.590825681302692,0.273840885,0.8368407789164028
TH,태국,2026-07-01,257813196,75098440.0,243.3003348671424,76.17782755757716,0.257813196,0.7878611543180166
US,미국,2026-07-01,225764898,71584001.0,215.3845759473545,-26.3453612355081,0.225764898,0.6899235411626071
JP,일본,2026-07-01,164766122,75499568.0,118.23452287832956,-32.46412613822473,0.164766122,0.5035150608482553
ID,인도네시아,2026-07-01,164613478,31883641.0,416.2944784129266,36.794541889279266,0.164613478,0.5030485902412204
MX,멕시코,2026-07-01,92347950,36460005.0,153.285620778165,0.6692808048732957,0.09234795,0.2822096138395588
NL,네덜란드,2026-07-01,58175183,16874254.0,244.7570660012585,7.5446568192858665,0.058175183,0.17777975504031943
DE,독일,2026-07-01,53489198,21287463.0,151.27089122832533,16.713038375054335,0.053489198,0.16345967519763785
TR,튀르키예,2026-07-01,27916809,11611852.0,140.4165072031576,63.66291926415495,0.027916809,0.08531203873526937
PL,폴란드,2026-07-01,27563702,32569163.0,-15.36871242285226,4.791307778029208,0.027563702,0.08423296561979637
EG,이집트,2026-07-01,26298299,12383961.0,112.35773433072018,-4.072470895875535,0.026298299,0.08036597244906092
CZ,체코공화국,2026-07-01,20429690,21268155.0,-3.942349489177599,76.29507220613807,0.02042969,0.06243186693112186
FR,프랑스,2026-07-01,11719969,10232755.0,14.533857206588063,1.9948576006168395,0.011719969,0.03581549916052928
AT,오스트리아,2026-07-01,8921711,8693855.0,2.6208856715461692,-32.7775155280907,0.008921711,0.02726419607688253
PT,포루투갈,2026-07-01,7443918,7983567.0,-6.759497352499199,-31.20589247798754,0.007443918,0.022748152224638888
