순위,국가코드,국가,수출액_십억달러,YoY_%,MoM_%,품목수출대비_비중_%
1,CN,중국,13.422130645,273.3285644221111,15.892747308830435,41.01719969127152
2,VN,베트남,5.856242074,222.8723935160043,21.51862594607472,17.89631295826834
3,HK,홍콩,4.368675552,191.90629329382367,-28.504212375376326,13.350401828305245
4,TW,대만,3.896005534,13.651777713727853,-35.75789617555631,11.905951537277481
5,MY,말레이시아,1.582975656,248.98423676791586,13.85529957653564,4.837475532452883
6,PH,필리핀,0.949245195,328.7076927891994,-16.95095066647062,2.900834506017802
7,IN,인도,0.780790997,189.8834384485399,40.413031817567855,2.386048913406027
8,SG,싱가포르,0.409503273,-15.063742938073354,-8.668330943124225,1.251416631764597
9,BR,브라질,0.273840885,294.5657546589594,6.590825681302692,0.8368407789164028
10,TH,태국,0.257813196,243.3003348671424,76.17782755757716,0.7878611543180166
