국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러
GH,가나,2025-04-01,41249,,,,4.1249e-05
GY,가이아나,2025-05-01,0,,,,0.0
GT,과테말라,2025-04-01,510,,,,5.1e-07
GT,과테말라,2025-09-01,368,,,-27.84313725490196,3.68e-07
GT,과테말라,2025-12-01,0,,,-100.0,0.0
GT,과테말라,2026-04-01,231,,,inf,2.31e-07
VA,교황청,2026-01-01,0,,,,0.0
GR,그리스,2025-03-01,0,,,,0.0
GR,그리스,2025-04-01,1755,,,inf,1.755e-06
GR,그리스,2025-05-01,0,,,-100.0,0.0
GR,그리스,2025-07-01,0,,,,0.0
GR,그리스,2025-08-01,7007,,,inf,7.007e-06
GR,그리스,2025-10-01,8709,,,24.289995718567138,8.709e-06
GR,그리스,2026-02-01,46,,,-99.47181077046733,4.6e-08
GR,그리스,2026-04-01,5866,,,12652.173913043478,5.866e-06
GR,그리스,2026-06-01,0,,,-100.0,0.0
GR,그리스,2026-07-01,4,,,inf,4e-09
ZZ,기타국,2025-07-01,0,,,,0.0
ZZ,기타국,2026-02-01,36,,,inf,3.6e-08
ZZ,기타국,2026-07-01,0,,,-100.0,0.0
NA,나미비아,2025-03-01,0,,,,0.0
NA,나미비아,2025-04-01,0,,,,0.0
NA,나미비아,2025-06-01,0,,,,0.0
NA,나미비아,2025-10-01,0,,,,0.0
NA,나미비아,2025-12-01,0,,,,0.0
NA,나미비아,2026-01-01,0,,,,0.0
NA,나미비아,2026-02-01,0,,,,0.0
NA,나미비아,2026-03-01,0,,,,0.0
NA,나미비아,2026-04-01,0,,,,0.0
NA,나미비아,2026-06-01,0,,,,0.0
NG,나이지리아,2025-01-01,120750,,,,0.00012075
NG,나이지리아,2025-02-01,420000,,,247.82608695652172,0.00042
NG,나이지리아,2025-03-01,65987,,,-84.28880952380953,6.5987e-05
NG,나이지리아,2025-04-01,200466,,,203.79620228226773,0.000200466
NG,나이지리아,2025-07-01,15,,,-99.9925174343779,1.5e-08
NG,나이지리아,2026-01-01,173920,,,1159366.6666666665,0.00017392
