대시보드품목,조회HS,국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러,품목총수출_USD,품목수출대비_비중_%
반도체 제조장비,8486,GR,그리스,2026-07-01,0,,,-100.0,0.0,1061468198,0.0
반도체 제조장비,8486,NL,네덜란드,2026-07-01,64466608,26246987.0,145.61527004985373,-27.79820585172853,0.064466608,1061468198,6.073343329688715
반도체 제조장비,8486,NZ,뉴질랜드,2026-07-01,0,0.0,,,0.0,1061468198,0.0
반도체 제조장비,8486,TW,대만,2026-07-01,143856140,132594515.0,8.493281188893832,-37.77038554292085,0.14385614,1061468198,13.552562410353062
반도체 제조장비,8486,DK,덴마크,2026-07-01,0,,,,0.0,1061468198,0.0
반도체 제조장비,8486,DE,독일,2026-07-01,2235430,1923710.0,16.204105608433707,8.745387723134467,0.00223543,1061468198,0.21059792504494798
반도체 제조장비,8486,RU,러시아 연방,2026-07-01,0,,,,0.0,1061468198,0.0
반도체 제조장비,8486,RO,루마니아,2026-07-01,0,0.0,,,0.0,1061468198,0.0
반도체 제조장비,8486,LI,리히텐슈타인,2026-07-01,0,0.0,,-100.0,0.0,1061468198,0.0
반도체 제조장비,8486,MY,말레이시아,2026-07-01,91034072,13580192.0,570.3445135385421,24.837190608949644,0.091034072,1061468198,8.57624111316051
반도체 제조장비,8486,MX,멕시코,2026-07-01,38269,322055.0,-88.11724705407461,-99.33911446277082,3.8269e-05,1061468198,0.0036052893597854165
반도체 제조장비,8486,MA,모로코,2026-07-01,100796,100868.0,-0.07138041797200012,214.66300377735462,0.000100796,1061468198,0.009495903898950348
반도체 제조장비,8486,MT,몰타,2026-07-01,2342447,171139.0,1268.7394457137182,-55.79990954107663,0.002342447,1061468198,0.22067990396825812
반도체 제조장비,8486,MN,몽골,2026-07-01,59,,,inf,5.9e-08,1061468198,5.5583389225571505e-06
반도체 제조장비,8486,US,미국,2026-07-01,205136102,66314186.0,209.3396969390531,4.036180975983306,0.205136102,1061468198,19.325694579122942
반도체 제조장비,8486,VN,베트남,2026-07-01,22890528,9649369.0,137.2230557251982,98.91398424296945,0.022890528,1061468198,2.156496826106513
반도체 제조장비,8486,BE,벨기에,2026-07-01,1452329,136187.0,966.4226394589791,2652.917203730381,0.001452329,1061468198,0.1368226577806526
반도체 제조장비,8486,BG,불가리아,2026-07-01,0,,,,0.0,1061468198,0.0
반도체 제조장비,8486,BR,브라질,2026-07-01,21489,8261.0,160.12589274906185,-63.17917787563613,2.1489e-05,1061468198,0.002024460086556451
반도체 제조장비,8486,RS,세르비아,2026-07-01,0,,,-100.0,0.0,1061468198,0.0
반도체 제조장비,8486,SZ,스와질랜드,2026-07-01,6800,,,-9.333333333333337,6.8e-06,1061468198,0.0006406221131082817
반도체 제조장비,8486,SE,스웨덴,2026-07-01,0,51000.0,-100.0,-100.0,0.0,1061468198,0.0
반도체 제조장비,8486,CH,스위스,2026-07-01,301596,229955.0,31.15435628709966,50.13963768873491,0.000301596,1061468198,0.028413098062500784
반도체 제조장비,8486,ES,스페인,2026-07-01,80,9740.0,-99.17864476386036,-91.1504424778761,8e-08,1061468198,7.5367307424503735e-06
반도체 제조장비,8486,SG,싱가포르,2026-07-01,102807243,85901542.0,19.68032308430505,23.42964165076571,0.102807243,1061468198,9.685381360808325
반도체 제조장비,8486,AE,아랍에미리트 연합,2026-07-01,5000,,,inf,5e-06,1061468198,0.00047104567140314837
반도체 제조장비,8486,IE,아일랜드,2026-07-01,3017509,1508123.0,100.08374648486895,-38.39920056997156,0.003017509,1061468198,0.2842769105740085
반도체 제조장비,8486,GB,영국,2026-07-01,265016,2108272.0,-87.42970546494949,-74.29185615173292,0.000265016,1061468198,0.024966927930515356
반도체 제조장비,8486,AT,오스트리아,2026-07-01,675876,123388.0,447.7647745323695,11.818542783402819,0.000675876,1061468198,0.06367369284105485
반도체 제조장비,8486,IL,이스라엘,2026-07-01,1650425,2518337.0,-34.46369568489046,-67.76077938658898,0.001650425,1061468198,0.1554851104451082
반도체 제조장비,8486,IT,이탈리아,2026-07-01,255702,1190123.0,-78.51465772865494,4.960224613944786,0.000255702,1061468198,0.024089464053825567
반도체 제조장비,8486,IN,인도,2026-07-01,2337952,1479704.0,58.00132999572887,-72.45624423165599,0.002337952,1061468198,0.2202564339096667
반도체 제조장비,8486,ID,인도네시아,2026-07-01,42508,73528.0,-42.18801000979219,-72.1766222885494,4.2508e-05,1061468198,0.004004641880001006
반도체 제조장비,8486,JP,일본,2026-07-01,84241733,45962403.0,83.28400497249892,21.33981840798087,0.084241733,1061468198,7.936340736229952
반도체 제조장비,8486,CN,중국,2026-07-01,324362461,553512628.0,-41.399266323513764,-8.858313002483897,0.324362461,1061468198,30.557906643944506
반도체 제조장비,8486,CZ,체코공화국,2026-07-01,34694,55765.0,-37.78534923339012,-9.03751868068483,3.4694e-05,1061468198,0.003268491704732166
반도체 제조장비,8486,QA,카타르,2026-07-01,753,,,-97.8972354091036,7.53e-07,1061468198,7.093947811331414e-05
반도체 제조장비,8486,CA,캐나다,2026-07-01,3268,7443.0,-56.09297326346903,-99.21944601685786,3.268e-06,1061468198,0.0003078754508290978
반도체 제조장비,8486,CR,코스타리카,2026-07-01,1271,9450.0,-86.55026455026456,inf,1.271e-06,1061468198,0.00011973980967068031
반도체 제조장비,8486,HR,크로아티아,2026-07-01,57580,168258.0,-65.77874454706463,94.50731344796135,5.758e-05,1061468198,0.005424561951878656
반도체 제조장비,8486,TH,태국,2026-07-01,3622665,1943542.0,86.39499429392316,467.46272303911206,0.003622665,1061468198,0.34128813343873726
반도체 제조장비,8486,TR,튀르키예,2026-07-01,6371,,,-82.89205155746508,6.371e-06,1061468198,0.0006002063945018916
반도체 제조장비,8486,TL,티모르,2026-07-01,0,0.0,,,0.0,1061468198,0.0
반도체 제조장비,8486,PA,파나마,2026-07-01,400,,,,4e-07,1061468198,3.768365371225187e-05
반도체 제조장비,8486,PT,포루투갈,2026-07-01,109564,344890.0,-68.23218997361478,354.45269401468335,0.000109564,1061468198,0.01032192958832291
반도체 제조장비,8486,PL,폴란드,2026-07-01,0,97588.0,-100.0,-100.0,0.0,1061468198,0.0
반도체 제조장비,8486,FR,프랑스,2026-07-01,664602,618495.0,7.454708607183558,-63.29842663048431,0.000664602,1061468198,0.06261157906117504
반도체 제조장비,8486,FI,핀란드,2026-07-01,4400,6375.0,-30.980392156862745,192.35880398671097,4.4e-06,1061468198,0.00041452019083477055
반도체 제조장비,8486,PH,필리핀,2026-07-01,2386691,3747708.0,-36.3159829954735,-17.775899810725726,0.002386691,1061468198,0.2248480929053703
반도체 제조장비,8486,HU,헝가리,2026-07-01,9657,12242.0,-21.11583074661003,-58.96226415094339,9.657e-06,1061468198,0.0009097776097480408
반도체 제조장비,8486,AU,호주,2026-07-01,795,,,67.72151898734178,7.95e-07,1061468198,7.489626175310058e-05
반도체 제조장비,8486,HK,홍콩,2026-07-01,1021317,2185063.0,-53.259150880317875,-84.33598439790018,0.001021317,1061468198,0.09621739039608986
선박,8901,GR,그리스,2026-07-01,213030900,,,146.1730126853736,0.2130309,3047217866,6.990996685105416
선박,8901,DK,덴마크,2026-07-01,110212439,,,-43.63976527742265,0.110212439,3047217866,3.6168217648537504
선박,8901,LR,라이베리아,2026-07-01,420316835,785965984.0,-46.52226132473438,51.03432883212287,0.420316835,3047217866,13.79346188829414
선박,8901,MH,마샬군도,2026-07-01,864132714,226745406.0,281.1026336736454,20.97735361256643,0.864132714,3047217866,28.358087672094268
선박,8901,MX,멕시코,2026-07-01,0,,,,0.0,3047217866,0.0
