대시보드품목,조회HS,순위,국가코드,국가,수출액_십억달러,YoY_%,MoM_%,품목수출대비_비중_%
전자집적회로,8542,1,CN,중국,13.422130645,273.3285644221111,15.892747308830435,41.01719969127152
전자집적회로,8542,2,VN,베트남,5.856242074,222.8723935160043,21.51862594607472,17.89631295826834
전자집적회로,8542,3,HK,홍콩,4.368675552,191.90629329382367,-28.504212375376326,13.350401828305245
전자집적회로,8542,4,TW,대만,3.896005534,13.651777713727853,-35.75789617555631,11.905951537277481
전자집적회로,8542,5,MY,말레이시아,1.582975656,248.98423676791586,13.85529957653564,4.837475532452883
전자집적회로,8542,6,PH,필리핀,0.949245195,328.7076927891994,-16.95095066647062,2.900834506017802
전자집적회로,8542,7,IN,인도,0.780790997,189.8834384485399,40.413031817567855,2.386048913406027
전자집적회로,8542,8,SG,싱가포르,0.409503273,-15.063742938073354,-8.668330943124225,1.251416631764597
전자집적회로,8542,9,BR,브라질,0.273840885,294.5657546589594,6.590825681302692,0.8368407789164028
전자집적회로,8542,10,TH,태국,0.257813196,243.3003348671424,76.17782755757716,0.7878611543180166
반도체 제조장비,8486,1,CN,중국,0.324362461,-41.399266323513764,-8.858313002483897,30.557906643944506
반도체 제조장비,8486,2,US,미국,0.205136102,209.3396969390531,4.036180975983306,19.325694579122942
반도체 제조장비,8486,3,TW,대만,0.14385614,8.493281188893832,-37.77038554292085,13.552562410353062
반도체 제조장비,8486,4,SG,싱가포르,0.102807243,19.68032308430505,23.42964165076571,9.685381360808325
반도체 제조장비,8486,5,MY,말레이시아,0.091034072,570.3445135385421,24.837190608949644,8.57624111316051
반도체 제조장비,8486,6,JP,일본,0.084241733,83.28400497249892,21.33981840798087,7.936340736229952
반도체 제조장비,8486,7,NL,네덜란드,0.064466608,145.61527004985373,-27.79820585172853,6.073343329688715
반도체 제조장비,8486,8,VN,베트남,0.022890528,137.2230557251982,98.91398424296945,2.156496826106513
반도체 제조장비,8486,9,TH,태국,0.003622665,86.39499429392316,467.46272303911206,0.34128813343873726
반도체 제조장비,8486,10,IE,아일랜드,0.003017509,100.08374648486895,-38.39920056997156,0.2842769105740085
승용차,8703,1,US,미국,2.743375199,17.924657701264856,-7.908620799641675,46.069769426090005
승용차,8703,2,CA,캐나다,0.508709635,18.31668575986274,-17.914560493069487,8.542810913295131
승용차,8703,3,AU,호주,0.252345111,14.346814258464402,-20.201539178484563,4.23765625781291
승용차,8703,4,GB,영국,0.24001407,2.1421567714358547,8.239465453936191,4.030579873999009
승용차,8703,5,DE,독일,0.222308596,90.0741653882258,9.754223732665434,3.733250108439795
승용차,8703,6,KG,키르기스스탄,0.171988178,-40.20949710046884,-18.233160136092952,2.8882143818175288
승용차,8703,7,ES,스페인,0.142019697,-0.2709403190245485,30.71695124049427,2.384950734095036
승용차,8703,8,SA,사우디아라비아,0.13443389,54.85025683169877,-15.627336471627773,2.257561531361043
승용차,8703,9,NL,네덜란드,0.072026594,24.151826506587646,-21.4331288061957,1.209549674188258
승용차,8703,10,TR,튀르키예,0.070828002,-54.83269431771103,-8.838438042155827,1.189421600895154
자동차부품,8708,1,US,미국,0.589032007,1.3880444695264282,8.479224467773205,35.61406720207018
자동차부품,8708,2,MX,멕시코,0.144471179,-4.434986140804742,-0.13564975445058414,8.735019857194807
자동차부품,8708,3,IN,인도,0.085743265,84.56160098659853,62.47964628614551,5.184211325607833
자동차부품,8708,4,CN,중국,0.081538165,8.757764704203307,13.207726483200034,4.929962469498685
자동차부품,8708,5,SK,슬로바키아,0.066064168,-30.921959872352332,30.39029851593189,3.9943732952373403
자동차부품,8708,6,CZ,체코공화국,0.06604441,-24.99736872361087,18.674118390947502,3.99317868657191
자동차부품,8708,7,VN,베트남,0.06212545,13.21648201351664,30.37539910322522,3.7562304339411745
자동차부품,8708,8,UZ,우즈베키스탄,0.060923918,13.186087307344053,34.11562268595536,3.683583377609925
자동차부품,8708,9,BR,브라질,0.055274341,26.915808066109513,6.468516715717887,3.3419985188073884
자동차부품,8708,10,DE,독일,0.051701988,10.050535306089635,17.97690575634654,3.126006826845703
선박,8901,1,MH,마샬군도,0.864132714,281.1026336736454,20.97735361256643,28.358087672094268
선박,8901,2,LR,라이베리아,0.420316835,-46.52226132473438,51.03432883212287,13.79346188829414
선박,8901,3,SG,싱가포르,0.41457793,42.39370816290244,-8.895176921349346,13.605129276306233
선박,8901,4,BS,바하마,0.2327,,78.74438178448035,7.636473998016393
선박,8901,5,BM,버뮤다,0.2149,1.845084602910818,1.9395786044563712,7.052334603239033
선박,8901,6,FR,프랑스,0.2149,-14.933126294258937,-50.0,7.052334603239033
선박,8901,7,GR,그리스,0.2130309,,146.1730126853736,6.990996685105416
선박,8901,8,US,미국,0.123666076,,inf,4.058327347703992
선박,8901,9,DK,덴마크,0.110212439,,-43.63976527742265,3.6168217648537504
선박,8901,10,PA,파나마,0.09942202,-60.1732094500957,39.18014508878356,3.262714527547339
