대시보드품목,조회HS,국가코드,국가,기준월,수출액_USD,전년동월_수출액_USD,YoY_%,MoM_%,수출액_십억달러
반도체 제조장비,8486,Z1,국제통화기금,2025-06-01,0,,,,0.0
반도체 제조장비,8486,Z1,국제통화기금,2025-09-01,0,,,,0.0
반도체 제조장비,8486,GR,그리스,2025-03-01,0,,,,0.0
반도체 제조장비,8486,GR,그리스,2025-10-01,1500,,,inf,1.5e-06
반도체 제조장비,8486,GR,그리스,2026-02-01,48,,,-96.8,4.8e-08
반도체 제조장비,8486,GR,그리스,2026-07-01,0,,,-100.0,0.0
반도체 제조장비,8486,NL,네덜란드,2025-01-01,26492134,,,,0.026492134
반도체 제조장비,8486,NL,네덜란드,2025-02-01,18194006,,,-31.322988174527577,0.018194006
반도체 제조장비,8486,NL,네덜란드,2025-03-01,29355093,,,61.34485720187186,0.029355093
반도체 제조장비,8486,NL,네덜란드,2025-04-01,24243890,,,-17.411639608840623,0.02424389
반도체 제조장비,8486,NL,네덜란드,2025-05-01,15913340,,,-34.36144117136317,0.01591334
반도체 제조장비,8486,NL,네덜란드,2025-06-01,18114858,,,13.834418167399164,0.018114858
반도체 제조장비,8486,NL,네덜란드,2025-07-01,26246987,,,44.892038347747466,0.026246987
반도체 제조장비,8486,NL,네덜란드,2025-08-01,41739406,,,59.02551405233676,0.041739406
반도체 제조장비,8486,NL,네덜란드,2025-09-01,30007691,,,-28.10704828909161,0.030007691
반도체 제조장비,8486,NL,네덜란드,2025-10-01,53524125,,,78.36802238466132,0.053524125
반도체 제조장비,8486,NL,네덜란드,2025-11-01,17951217,,,-66.46144705775198,0.017951217
반도체 제조장비,8486,NL,네덜란드,2025-12-01,78301129,,,336.1884155263679,0.078301129
반도체 제조장비,8486,NL,네덜란드,2026-01-01,25505529,26492134.0,-3.7241431739700515,-67.42635856502146,0.025505529
반도체 제조장비,8486,NL,네덜란드,2026-02-01,48338961,18194006.0,165.68618807754598,89.52345979571723,0.048338961
반도체 제조장비,8486,NL,네덜란드,2026-03-01,35528868,29355093.0,21.03135902175477,-26.500555111227985,0.035528868
