대시보드품목,조회HS,국가코드,국가,기준월,HS코드,품목명,수출액_USD,수입액_USD,수출중량_KG,수입중량_KG,무역수지_USD
전자집적회로,8542,AE,아랍에미리트 연합,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],66851,93636,17,2,-26785
전자집적회로,8542,AE,아랍에미리트 연합,2025-01-01,854232,메모리,1800,0,16,0,1800
전자집적회로,8542,AE,아랍에미리트 연합,2025-01-01,854239,기타,200078,0,73,0,200078
전자집적회로,8542,AR,아르헨티나,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],124141,0,103,0,124141
전자집적회로,8542,AR,아르헨티나,2025-01-01,854232,메모리,52384,0,5,0,52384
전자집적회로,8542,AR,아르헨티나,2025-01-01,854239,기타,824733,0,234,0,824733
전자집적회로,8542,AT,오스트리아,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],6638081,1255385,3182,131,5382696
전자집적회로,8542,AT,오스트리아,2025-01-01,854232,메모리,2292685,0,220,0,2292685
전자집적회로,8542,AT,오스트리아,2025-01-01,854233,증폭기,19248,0,27,0,19248
전자집적회로,8542,AT,오스트리아,2025-01-01,854239,기타,704604,903025,530,181,-198421
전자집적회로,8542,AU,호주,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],5928,562,6,0,5366
전자집적회로,8542,AU,호주,2025-01-01,854233,증폭기,483000,0,72,0,483000
전자집적회로,8542,AU,호주,2025-01-01,854239,기타,1909,29460,4,1,-27551
전자집적회로,8542,BD,방글라데시,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],12977,0,71,0,12977
전자집적회로,8542,BE,벨기에,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],264316,0,28,0,264316
전자집적회로,8542,BE,벨기에,2025-01-01,854233,증폭기,7600,0,1,0,7600
전자집적회로,8542,BE,벨기에,2025-01-01,854239,기타,3287,225065,10,19,-221778
전자집적회로,8542,BG,불가리아,2025-01-01,854239,기타,1966,1244,1,1,722
전자집적회로,8542,BR,브라질,2025-01-01,854231,프로세서와 컨트롤러[메모리ㆍ변환기ㆍ논리회로ㆍ증폭기ㆍ클록(clock)ㆍ타이밍(timing) 회로나 그 밖의 회로를 갖춘 것인지는 상관없다],38550789,0,4604,0,38550789
전자집적회로,8542,BR,브라질,2025-01-01,854232,메모리,45766965,626122,2299,16,45140843
전자집적회로,8542,BR,브라질,2025-01-01,854233,증폭기,98393,16930,168,3,81463
전자집적회로,8542,BR,브라질,2025-01-01,854239,기타,3520899,2633,800,10,3518266
