국가코드,국가,품목,HS,비교기간,2025_YTD_USD,2026_YTD_USD,2025_YTD_bn,2026_YTD_bn,YTD_YoY_%,YTD_증감액_bn,YTD_품목수출대비_비중_%
CN,중국,전자집적회로,8542,1-7월,22115460066,66591897534,22.115460066,66.591897534,201.11016155787533,44.476437468,36.64608714073424
HK,홍콩,전자집적회로,8542,1-7월,9510900164,29371712048,9.510900164,29.371712048,208.82157883620488,19.860811884,16.163502753979984
TW,대만,전자집적회로,8542,1-7월,17108142014,29366155560,17.108142014,29.36615556,71.6501741449713,12.258013546,16.16044497141206
VN,베트남,전자집적회로,8542,1-7월,12245558398,28815413917,12.245558398,28.815413917,135.31318850846574,16.569855519,15.85736716481998
MY,말레이시아,전자집적회로,8542,1-7월,2562954415,6218554066,2.562954415,6.218554066,142.6322539958246,3.655599651,3.4221231505777565
PH,필리핀,전자집적회로,8542,1-7월,1161282329,5445763596,1.161282329,5.445763596,368.94398201076905,4.284481267,2.9968499874171832
SG,싱가포르,전자집적회로,8542,1-7월,2655341878,3644123632,2.655341878,3.644123632,37.23745564336707,0.988781754,2.005392204084553
IN,인도,전자집적회로,8542,1-7월,1837367390,3602474286,1.83736739,3.602474286,96.06717228175037,1.765106896,1.9824722150259544
US,미국,전자집적회로,8542,1-7월,465025321,1704768762,0.465025321,1.704768762,266.5969754795353,1.239743441,0.938148737617164
BR,브라질,전자집적회로,8542,1-7월,557511525,1516240937,0.557511525,1.516240937,171.96584626658614,0.958729412,0.834400273325759
TH,태국,전자집적회로,8542,1-7월,433445447,1389046858,0.433445447,1.389046858,220.46636263317353,0.955601411,0.7644042906998011
JP,일본,전자집적회로,8542,1-7월,503990958,1125542336,0.503990958,1.125542336,123.32589863645929,0.621551378,0.6193955128637404
ID,인도네시아,전자집적회로,8542,1-7월,270292730,712784130,0.27029273,0.71278413,163.70821368373467,0.4424914,0.39225116429781726
MX,멕시코,전자집적회로,8542,1-7월,193910278,461797066,0.193910278,0.461797066,138.14986537227284,0.267886788,0.25413084997812163
DE,독일,전자집적회로,8542,1-7월,181282143,296252896,0.181282143,0.296252896,63.42089248139571,0.114970753,0.16303048635861206
NL,네덜란드,전자집적회로,8542,1-7월,73173151,217268309,0.073173151,0.217268309,196.92353825243907,0.144095158,0.11956459688611182
PL,폴란드,전자집적회로,8542,1-7월,250382460,196093684,0.25038246,0.196093684,-21.682339889143986,-0.054288776,0.10791202079716374
CA,캐나다,전자집적회로,8542,1-7월,47065861,166450682,0.047065861,0.166450682,253.65481149914584,0.119384821,0.0915992248770546
EG,이집트,전자집적회로,8542,1-7월,49767663,138956986,0.049767663,0.138956986,179.21139475647067,0.089189323,0.07646921031451064
AT,오스트리아,전자집적회로,8542,1-7월,64817080,121773692,0.06481708,0.121773692,87.87284462675579,0.056956612,0.06701309759498122
TR,튀르키예,전자집적회로,8542,1-7월,66278064,103539815,0.066278064,0.103539815,56.220337093732844,0.037261751,0.056978840122226905
FR,프랑스,전자집적회로,8542,1-7월,85841777,95456440,0.085841777,0.09545644,11.200447306676796,0.009614663,0.05253049016358533
CZ,체코공화국,전자집적회로,8542,1-7월,77540525,95430042,0.077540525,0.095430042,23.071183745531766,0.017889517,0.052515963119843315
HU,헝가리,전자집적회로,8542,1-7월,16872285,72928671,0.016872285,0.072928671,332.2394447462214,0.056056386,0.04013326743181341
PT,포루투갈,전자집적회로,8542,1-7월,76005498,70178518,0.076005498,0.070178518,-7.666524334857982,-0.00582698,0.03861983486388133
MT,몰타,전자집적회로,8542,1-7월,16230183,51039078,0.016230183,0.051039078,214.47013259185064,0.034808895,0.028087238376347
SE,스웨덴,전자집적회로,8542,1-7월,17907522,27788309,0.017907522,0.027788309,55.1767408131622,0.009880787,0.01529214260019722
IL,이스라엘,전자집적회로,8542,1-7월,9145195,20646043,0.009145195,0.020646043,125.75836819225832,0.011500848,0.011361692922221486
SK,슬로바키아,전자집적회로,8542,1-7월,2589306,10599123,0.002589306,0.010599123,309.3422330153331,0.008009817,0.005832787462994965
GB,영국,전자집적회로,8542,1-7월,4521842,9452844,0.004521842,0.009452844,109.04852491528897,0.004931002,0.0052019803877025655
BE,벨기에,전자집적회로,8542,1-7월,2438205,8703989,0.002438205,0.008703989,256.9834775992995,0.006265784,0.004789879117097337
AR,아르헨티나,전자집적회로,8542,1-7월,6343304,6244790,0.006343304,0.00624479,-1.5530392363348855,-9.8514e-05,0.0034365610080226757
RS,세르비아,전자집적회로,8542,1-7월,6044003,6235740,0.006044003,0.00623574,3.1723511718971587,0.000191737,0.003431580716111722
IT,이탈리아,전자집적회로,8542,1-7월,25111295,5329735,0.025111295,0.005329735,-78.77554701977736,-0.01978156,0.002932998464975401
FI,핀란드,전자집적회로,8542,1-7월,1293804,4772426,0.001293804,0.004772426,268.8677728620409,0.003478622,0.002626306586013881
AE,아랍에미리트 연합,전자집적회로,8542,1-7월,11974445,4180576,0.011974445,0.004180576,-65.08751762607787,-0.007793869,0.0023006065012074715
AU,호주,전자집적회로,8542,1-7월,3798379,2876485,0.003798379,0.002876485,-24.27072180000995,-0.000921894,0.0015829541411580064
IE,아일랜드,전자집적회로,8542,1-7월,660439,2694730,0.000660439,0.00269473,308.0210284371456,0.002034291,0.001482932820022602
BD,방글라데시,전자집적회로,8542,1-7월,423975,2439959,0.000423975,0.002439959,475.49596084674806,0.002015984,0.0013427301735645233
ES,스페인,전자집적회로,8542,1-7월,1730605,1974914,0.001730605,0.001974914,14.116970654771022,0.000244309,0.0010868119579038036
ZA,남아프리카공화국,전자집적회로,8542,1-7월,3088256,1851063,0.003088256,0.001851063,-40.061219018112496,-0.001237193,0.0010186557000625288
CH,스위스,전자집적회로,8542,1-7월,1237347,1486315,0.001237347,0.001486315,20.121113963989078,0.000248968,0.0008179317758706414
MA,모로코,전자집적회로,8542,1-7월,941460,1191220,0.00094146,0.00119122,26.52900813629895,0.00024976,0.0006555384895211483
RO,루마니아,전자집적회로,8542,1-7월,730937,1187579,0.000730937,0.001187579,62.47351002890811,0.000456642,0.0006535348162782994
MM,미얀마,전자집적회로,8542,1-7월,0,1138700,0.0,0.0011387,,0.0011387,0.0006266362871826628
DK,덴마크,전자집적회로,8542,1-7월,638640,1043319,0.00063864,0.001043319,63.365745960165356,0.000404679,0.0005741473122922003
PK,파키스탄,전자집적회로,8542,1-7월,717,619472,7.17e-07,0.000619472,86297.76847977685,0.000618755,0.00034090070615053875
NG,나이지리아,전자집적회로,8542,1-7월,807218,425324,0.000807218,0.000425324,-47.3098964591969,-0.000381894,0.00023405941179386924
TN,튀니지,전자집적회로,8542,1-7월,280,424185,2.8e-07,0.000424185,151394.64285714287,0.000423905,0.00023343261041413704
UZ,우즈베키스탄,전자집적회로,8542,1-7월,18771,223906,1.8771e-05,0.000223906,1092.8293644451549,0.000205135,0.00012321737465348316
HR,크로아티아,전자집적회로,8542,1-7월,121132,156327,0.000121132,0.000156327,29.05508040814979,3.5195e-05,8.602807663687023e-05
BG,불가리아,전자집적회로,8542,1-7월,496651,135398,0.000496651,0.000135398,-72.73779776945985,-0.000361253,7.451067007285341e-05
SI,슬로베니아,전자집적회로,8542,1-7월,4400,98848,4.4e-06,9.8848e-05,2146.5454545454545,9.4448e-05,5.439689445458142e-05
EE,에스토니아,전자집적회로,8542,1-7월,146326,94472,0.000146326,9.4472e-05,-35.43731120921777,-5.1854e-05,5.198874446537325e-05
UA,우크라이나,전자집적회로,8542,1-7월,21468,91749,2.1468e-05,9.1749e-05,327.375628842929,7.0281e-05,5.049025442409952e-05
MC,모나코,전자집적회로,8542,1-7월,0,80165,0.0,8.0165e-05,,8.0165e-05,4.411548077807866e-05
AN,네덜란드 열도,전자집적회로,8542,1-7월,114600,74600,0.0001146,7.46e-05,-34.904013961605585,-4e-05,4.10530139842159e-05
PR,푸에르토리코,전자집적회로,8542,1-7월,4838,72111,4.838e-06,7.2111e-05,1390.5126085159156,6.7273e-05,3.968329613157899e-05
LB,레바논,전자집적회로,8542,1-7월,62040,46253,6.204e-05,4.6253e-05,-25.446486137975498,-1.5787e-05,2.5453418978712305e-05
CR,코스타리카,전자집적회로,8542,1-7월,1612645,44662,0.001612645,4.4662e-05,-97.23051260506807,-0.001567983,2.457787815768164e-05
KZ,카자흐스탄,전자집적회로,8542,1-7월,25059,41972,2.5059e-05,4.1972e-05,67.49271718743766,1.6913e-05,2.30975482968567e-05
LK,스리랑카,전자집적회로,8542,1-7월,0,26475,0.0,2.6475e-05,,2.6475e-05,1.456941749640906e-05
LV,라트비아,전자집적회로,8542,1-7월,986,26431,9.86e-07,2.6431e-05,2580.6288032454363,2.5445e-05,1.4545203922477351e-05
LT,리투아니아,전자집적회로,8542,1-7월,246122,22286,0.000246122,2.2286e-05,-90.94514102762045,-0.000223836,1.2264175196410666e-05
NZ,뉴질랜드,전자집적회로,8542,1-7월,35170,11527,3.517e-05,1.1527e-05,-67.22490759169747,-2.3643e-05,6.3434060616093385e-06
IS,아이슬란드,전자집적회로,8542,1-7월,6001,9044,6.001e-06,9.044e-06,50.70821529745042,3.043e-06,4.976990059963118e-06
NO,노르웨이,전자집적회로,8542,1-7월,6737,7965,6.737e-06,7.965e-06,18.227697788333085,1.228e-06,4.383207190137797e-06
RW,르완다,전자집적회로,8542,1-7월,12817,7429,1.2817e-05,7.429e-06,-42.03791838963876,-5.388e-06,4.088241834969704e-06
SA,사우디아라비아,전자집적회로,8542,1-7월,2264,6865,2.264e-06,6.865e-06,203.22438162544168,4.601e-06,3.7778678418450695e-06
BA,보스니아-헤르체고비나,전자집적회로,8542,1-7월,0,6555,0.0,6.555e-06,,6.555e-06,3.6072722073262096e-06
GR,그리스,전자집적회로,8542,1-7월,1755,5916,1.755e-06,5.916e-06,237.0940170940171,4.161e-06,3.2556250768179794e-06
LU,룩셈부르그,전자집적회로,8542,1-7월,0,3657,0.0,3.657e-06,,3.657e-06,2.0124781788240958e-06
CL,칠레,전자집적회로,8542,1-7월,5499,2719,5.499e-06,2.719e-06,-50.55464629932715,-2.78e-06,1.4962888072799335e-06
OM,오만,전자집적회로,8542,1-7월,21751,1811,2.1751e-05,1.811e-06,-91.6739460254701,-1.994e-05,9.966086906892092e-07
MO,마카오,전자집적회로,8542,1-7월,0,1456,0.0,1.456e-06,,1.456e-06,8.012491737401923e-07
PE,페루,전자집적회로,8542,1-7월,0,1186,0.0,1.186e-06,,1.186e-06,6.526658791592501e-07
PY,파라과이,전자집적회로,8542,1-7월,0,665,0.0,6.65e-07,,6.65e-07,3.6595515146787635e-07
KE,케냐,전자집적회로,8542,1-7월,960,511,9.6e-07,5.11e-07,-46.77083333333333,-4.49e-07,2.8120764270689445e-07
CO,콜롬비아,전자집적회로,8542,1-7월,958,502,9.58e-07,5.02e-07,-47.5991649269311,-4.56e-07,2.7625486622086307e-07
CK,쿡 아일랜드,전자집적회로,8542,1-7월,0,467,0.0,4.67e-07,,4.67e-07,2.5699406877518535e-07
QA,카타르,전자집적회로,8542,1-7월,6915,405,6.915e-06,4.05e-07,-94.14316702819957,-6.51e-06,2.2287494187141343e-07
KG,키르기스스탄,전자집적회로,8542,1-7월,0,267,0.0,2.67e-07,,2.67e-07,1.4693236908559847e-07
GT,과테말라,전자집적회로,8542,1-7월,510,231,5.1e-07,2.31e-07,-54.70588235294118,-2.79e-07,1.2712126314147284e-07
HN,온두라스,전자집적회로,8542,1-7월,0,230,0.0,2.3e-07,,2.3e-07,1.265709546430249e-07
PA,파나마,전자집적회로,8542,1-7월,731,159,7.31e-07,1.59e-07,-78.24897400820794,-5.72e-07,8.749905125322155e-08
JO,요르단,전자집적회로,8542,1-7월,150254,146,0.000150254,1.46e-07,-99.90283120582481,-0.000150108,8.034504077339841e-08
EC,에쿠아도르,전자집적회로,8542,1-7월,270,131,2.7e-07,1.31e-07,-51.48148148148148,-1.39e-07,7.20904132966794e-08
ME,몬테네그로,전자집적회로,8542,1-7월,0,98,0.0,9.8e-08,,9.8e-08,5.3930232847897564e-08
ZZ,기타국,전자집적회로,8542,1-7월,0,36,0.0,3.6e-08,,3.6e-08,1.9811105944125636e-08
CY,사이프러스,전자집적회로,8542,1-7월,0,14,0.0,1.4e-08,,1.4e-08,7.70431897827108e-09
SZ,스와질랜드,전자집적회로,8542,1-7월,30841,3,3.0841e-05,3e-09,-99.99027268895301,-3.0838e-05,1.6509254953438028e-09
GH,가나,전자집적회로,8542,1-7월,41249,0,4.1249e-05,0.0,-100.0,-4.1249e-05,0.0
GY,가이아나,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
VA,교황청,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
NP,네팔,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
SS,남수단,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
NA,나미비아,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
MK,마세도니아,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
LA,라오스,전자집적회로,8542,1-7월,585,0,5.85e-07,0.0,-100.0,-5.85e-07,0.0
DO,도미니카 공화국,전자집적회로,8542,1-7월,4360,0,4.36e-06,0.0,-100.0,-4.36e-06,0.0
RU,러시아 연방,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
LR,라이베리아,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
YT,메요트,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
MU,모리셔스,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
ML,말리,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
LI,리히텐슈타인,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
MS,몬트세라트,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
MZ,모잠비크,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
MR,모리타니,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
MN,몽골,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
AM,아르메니아,전자집적회로,8542,1-7월,606,0,6.06e-07,0.0,-100.0,-6.06e-07,0.0
SO,소말리아,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
PM,세인트 피레 미켈론,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
KN,세인트 키츠 네비스,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
SB,솔로몬 군도,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
PF,불령 폴리네시아,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
SM,산마리노,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
SC,세이쉘,전자집적회로,8542,1-7월,5808,0,5.808e-06,0.0,-100.0,-5.808e-06,0.0
BF,부르키나 파소,전자집적회로,8542,1-7월,43,0,4.3e-08,0.0,-100.0,-4.3e-08,0.0
BY,벨라루스,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
BH,바레인,전자집적회로,8542,1-7월,221,0,2.21e-07,0.0,-100.0,-2.21e-07,0.0
VE,베네주엘라,전자집적회로,8542,1-7월,0,0,0.0,0.0,,0.0,0.0
SV,엘살바도르,전자집적회로,8542,1-7월,4434,0,4.434e-06,0.0,-100.0,-4.434e-06,0.0
