순위,국가코드,국가,품목,HS,비교기간,2025_YTD_bn,2026_YTD_bn,YTD_YoY_%,YTD_증감액_bn,YTD_품목수출대비_비중_%
1,CN,중국,전자집적회로,8542,1-7월,22.115460066,66.591897534,201.11016155787533,44.476437468,36.64608714073424
2,HK,홍콩,전자집적회로,8542,1-7월,9.510900164,29.371712048,208.82157883620488,19.860811884,16.163502753979984
3,TW,대만,전자집적회로,8542,1-7월,17.108142014,29.36615556,71.6501741449713,12.258013546,16.16044497141206
4,VN,베트남,전자집적회로,8542,1-7월,12.245558398,28.815413917,135.31318850846574,16.569855519,15.85736716481998
5,MY,말레이시아,전자집적회로,8542,1-7월,2.562954415,6.218554066,142.6322539958246,3.655599651,3.4221231505777565
6,PH,필리핀,전자집적회로,8542,1-7월,1.161282329,5.445763596,368.94398201076905,4.284481267,2.9968499874171832
7,SG,싱가포르,전자집적회로,8542,1-7월,2.655341878,3.644123632,37.23745564336707,0.988781754,2.005392204084553
8,IN,인도,전자집적회로,8542,1-7월,1.83736739,3.602474286,96.06717228175037,1.765106896,1.9824722150259544
9,US,미국,전자집적회로,8542,1-7월,0.465025321,1.704768762,266.5969754795353,1.239743441,0.938148737617164
10,BR,브라질,전자집적회로,8542,1-7월,0.557511525,1.516240937,171.96584626658614,0.958729412,0.834400273325759
