기준월,관세청_HSK합산_USD,관세청_HSK합산_bn,YoY_%
2025-01-01,10129969185.0,10.129969185,
2025-02-01,9647382548.0,9.647382548,
2025-03-01,13058341065.0,13.058341065,
2025-04-01,11663444836.0,11.663444836,
2025-05-01,13794185577.0,13.794185577,
2025-06-01,14962292775.0,14.962292775,
2025-07-01,14707000282.0,14.707000282,
2025-08-01,15095443628.0,15.095443628,
2025-09-01,16620981535.0,16.620981535,
2025-10-01,15701441220.0,15.70144122,
2025-11-01,17258185998.0,17.258185998,
2025-12-01,20767818897.0,20.767818897,
2026-01-01,20541062130.0,20.54106213,102.77516895526469
2026-02-01,25137331581.0,25.137331581,160.56115693485404
2026-03-01,32827676808.0,32.827676808,151.39239850295638
2026-04-01,31892551490.0,31.89255149,173.44023946991643
2026-05-01,37158099212.0,37.158099212,169.3750856444636
2026-06-01,44812600394.0,44.812600394,199.50356584971988
2026-07-01,41006096710.0,41.00609671,178.8202619414351
