기준월,요청_HSK10,수출액_USD
2025-01-01,3818001000,68030712.0
2025-01-01,3818002010,3.0
2025-01-01,3818002090,93795543.0
2025-01-01,8473304060,1414646859.0
2025-01-01,8523521000,3681078.0
2025-01-01,8523522000,181546.0
2025-01-01,8523529000,705316.0
2025-01-01,8541101000,4357321.0
2025-01-01,8541109000,18954084.0
2025-01-01,8541211000,4149468.0
2025-01-01,8541219000,8541753.0
2025-01-01,8541291000,61379546.0
2025-01-01,8541299000,22800189.0
2025-01-01,8541301000,0.0
2025-01-01,8541302000,123860.0
2025-01-01,8541303000,57117.0
2025-01-01,8541304000,23716.0
2025-01-01,8541411000,1350673.0
2025-01-01,8541419000,23087642.0
2025-01-01,8541420000,49191014.0
2025-01-01,8541491000,8247084.0
2025-01-01,8541492000,115540.0
2025-01-01,8541493000,41943220.0
2025-01-01,8541499000,8511429.0
2025-01-01,8541511000,444728.0
2025-01-01,8541512000,211607.0
2025-01-01,8541513000,5272.0
2025-01-01,8541514000,94689.0
2025-01-01,8541591000,12306797.0
2025-01-01,8541599000,855660.0
2025-01-01,8541601000,4129738.0
2025-01-01,8541609000,2513874.0
2025-01-01,8541902000,777437.0
2025-01-01,8541903000,735775.0
2025-01-01,8541909000,5018515.0
2025-01-01,8542311000,1916199148.0
2025-01-01,8542312000,171297.0
2025-01-01,8542313000,244598644.0
2025-01-01,8542314000,540257547.0
2025-01-01,8542321010,1836333612.0
2025-01-01,8542321020,212947.0
2025-01-01,8542321030,307270877.0
2025-01-01,8542321090,22442752.0
2025-01-01,8542322000,263167.0
2025-01-01,8542323000,2236388115.0
2025-01-01,8542324000,362776019.0
2025-01-01,8542331000,10725028.0
2025-01-01,8542332000,444002.0
2025-01-01,8542333000,1836901.0
2025-01-01,8542334000,1924274.0
2025-01-01,8542391000,729372913.0
2025-01-01,8542392000,1117532.0
2025-01-01,8542393000,21610995.0
2025-01-01,8542394000,9572051.0
2025-01-01,8542900000,25471835.0
2025-01-01,8543901000,6890.0
2025-01-01,8548001000,3834.0
2025-02-01,3818001000,77045193.0
2025-02-01,3818002010,481487.0
2025-02-01,3818002090,94753569.0
2025-02-01,8473304060,1087373066.0
2025-02-01,8523521000,4907744.0
2025-02-01,8523522000,184426.0
2025-02-01,8523529000,506335.0
