기준월,관세청_HSK합산_USD,관세청_HSK합산_bn,YoY_%,KITA_공식_USD,관세청_천USD,KITA_천USD,차이_천USD,원자료_차이_USD,Exact_PASS
2025-01-01,10129969185.0,10.129969185,,10129969000,10129969,10129969,0,185.0,True
2025-02-01,9647382548.0,9.647382548,,9647383000,9647383,9647383,0,-452.0,True
2025-03-01,13058341065.0,13.058341065,,13058341000,13058341,13058341,0,65.0,True
2025-04-01,11663444836.0,11.663444836,,11663445000,11663445,11663445,0,-164.0,True
2025-05-01,13794185577.0,13.794185577,,13794186000,13794186,13794186,0,-423.0,True
2025-06-01,14962292775.0,14.962292775,,14962293000,14962293,14962293,0,-225.0,True
2025-07-01,14707000282.0,14.707000282,,14707000000,14707000,14707000,0,282.0,True
2025-08-01,15095443628.0,15.095443628,,15095444000,15095444,15095444,0,-372.0,True
2025-09-01,16620981535.0,16.620981535,,16620982000,16620982,16620982,0,-465.0,True
2025-10-01,15701441220.0,15.70144122,,15701441000,15701441,15701441,0,220.0,True
2025-11-01,17258185998.0,17.258185998,,17258186000,17258186,17258186,0,-2.0,True
2025-12-01,20767818897.0,20.767818897,,20767819000,20767819,20767819,0,-103.0,True
2026-01-01,20541062130.0,20.54106213,102.77516895526469,20541062000,20541062,20541062,0,130.0,True
2026-02-01,25137331581.0,25.137331581,160.56115693485404,25137332000,25137332,25137332,0,-419.0,True
2026-03-01,32827676808.0,32.827676808,151.39239850295638,32827677000,32827677,32827677,0,-192.0,True
2026-04-01,31892551490.0,31.89255149,173.44023946991643,31892551000,31892551,31892551,0,490.0,True
2026-05-01,37158099212.0,37.158099212,169.3750856444636,37158099000,37158099,37158099,0,212.0,True
2026-06-01,44812600394.0,44.812600394,199.50356584971988,44812600000,44812600,44812600,0,394.0,True
2026-07-01,41006096710.0,41.00609671,178.8202619414351,41006097000,41006097,41006097,0,-290.0,True
