기준값,HS_raw,수출액_USD,수입액_USD
2026.07,0101211000,1145.0,0.0
2026.07,0101291000,75066.0,281995.0
2026.07,0101299000,0.0,1591935.0
2026.07,0102212000,658.0,0.0
2026.07,0105111000,0.0,6631945.0
2026.07,0106149000,474.0,61505.0
2026.07,0106191000,234908.0,241655.0
2026.07,0106199000,20208.0,1131879.0
2026.07,0106201000,4931.0,13600.0
2026.07,0106202000,0.0,16759.0
2026.07,0106203000,18132.0,84738.0
2026.07,0106209000,94219.0,86249.0
2026.07,0106320000,187.0,23501.0
2026.07,0106490000,0.0,35479.0
2026.07,0106901000,0.0,11556.0
2026.07,0106903010,0.0,585124.0
2026.07,0106903090,0.0,18000.0
2026.07,0106909000,0.0,8314.0
2026.07,0201201000,19216.0,9964105.0
2026.07,0201209000,819.0,1619201.0
2026.07,0201300000,321014.0,133300125.0
2026.07,0202100000,0.0,0.0
2026.07,0202201000,1228.0,70162960.0
2026.07,0202209000,12278.0,2048222.0
2026.07,0202300000,48451.0,172248004.0
2026.07,0203191000,0.0,13107106.0
2026.07,0203199000,31055.0,8055687.0
2026.07,0203291000,14918.0,73278951.0
2026.07,0203299000,7064.0,92380029.0
2026.07,0204220000,0.0,6220052.0
2026.07,0204230000,0.0,276169.0
2026.07,0204420000,0.0,8407990.0
2026.07,0204430000,0.0,4642978.0
2026.07,0204500000,0.0,4044971.0
2026.07,0206100000,0.0,4323722.0
2026.07,0206210000,0.0,132041.0
2026.07,0206220000,0.0,25256.0
2026.07,0206291000,0.0,1443531.0
2026.07,0206299000,0.0,8916705.0
2026.07,0206300000,0.0,266.0
2026.07,0206491000,0.0,996087.0
2026.07,0206499000,0.0,2810218.0
2026.07,0206800000,0.0,19.0
2026.07,0206900000,0.0,72071.0
2026.07,0207120000,4299249.0,139356.0
2026.07,0207141010,983880.0,78458083.0
2026.07,0207141020,0.0,366012.0
2026.07,0207141030,67162.0,5359993.0
2026.07,0207141090,501708.0,0.0
2026.07,0207142010,0.0,5865.0
2026.07,0207142090,0.0,1156814.0
2026.07,0207271000,0.0,130518.0
2026.07,0207451000,0.0,144095.0
2026.07,0208500000,0.0,1375.0
2026.07,0208909090,0.0,46760.0
2026.07,0209100000,0.0,2351018.0
2026.07,0210110000,10521.0,54661.0
2026.07,0210120000,0.0,1193973.0
2026.07,0210190000,612.0,464439.0
2026.07,0210999090,494.0,17.0
2026.07,0301111000,0.0,2167.0
2026.07,0301119000,3900.0,356513.0
2026.07,0301190000,0.0,69559.0
2026.07,0301921000,0.0,6501.0
2026.07,0301922000,0.0,38579.0
2026.07,0301929090,0.0,221234.0
2026.07,0301931000,0.0,42603.0
2026.07,0301939000,0.0,455089.0
2026.07,0301950000,0.0,38.0
2026.07,0301992000,0.0,1391230.0
2026.07,0301994091,0.0,4174628.0
2026.07,0301994099,14925.0,615756.0
2026.07,0301995000,1065868.0,0.0
2026.07,0301996000,136538.0,0.0
2026.07,0301997000,0.0,679594.0
2026.07,0301998000,2952235.0,124370.0
2026.07,0301999010,0.0,67222.0
2026.07,0301999020,0.0,281573.0
2026.07,0301999040,221.0,0.0
2026.07,0301999059,0.0,3072762.0
2026.07,0301999070,6710.0,2011593.0
2026.07,0301999095,715.0,2486940.0
2026.07,0301999099,114323.0,2649864.0
2026.07,0302110000,0.0,170.0
2026.07,0302140000,29476.0,21477086.0
2026.07,0302210000,167811.0,0.0
2026.07,0302230000,105.0,0.0
2026.07,0302290000,311521.0,0.0
2026.07,0302320000,0.0,306.0
2026.07,0302340000,0.0,919.0
2026.07,0302351000,0.0,203614.0
2026.07,0302352000,1110.0,42705.0
2026.07,0302360000,50287.0,0.0
2026.07,0302390000,781.0,0.0
2026.07,0302410000,401081.0,0.0
2026.07,0302440000,22268.0,0.0
2026.07,0302450000,48822.0,0.0
2026.07,0302491000,980128.0,0.0
2026.07,0302492000,1547847.0,0.0
2026.07,0302550000,0.0,144310.0
2026.07,0302720000,77.0,0.0
2026.07,0302740000,39341.0,0.0
2026.07,0302820000,67481.0,257750.0
2026.07,0302840000,18591.0,7834.0
2026.07,0302850000,891.0,0.0
2026.07,0302891000,2383.0,0.0
2026.07,0302892000,504225.0,0.0
2026.07,0302893000,28818.0,0.0
2026.07,0302896000,83520.0,0.0
2026.07,0302899040,784.0,0.0
2026.07,0302899090,3396067.0,20.0
2026.07,0302911000,111.0,0.0
2026.07,0302990000,0.0,1681.0
2026.07,0303120000,238423.0,2736729.0
2026.07,0303130000,0.0,315283.0
2026.07,0303140000,0.0,20803.0
2026.07,0303230000,0.0,91606.0
2026.07,0303240000,0.0,343285.0
2026.07,0303250000,0.0,19807.0
2026.07,0303260000,25532.0,0.0
2026.07,0303290000,2680.0,50382.0
2026.07,0303310000,4508.0,0.0
2026.07,0303320000,967.0,0.0
2026.07,0303330000,3847.0,34457.0
2026.07,0303391000,198526.0,5342929.0
2026.07,0303399000,18828.0,1699976.0
2026.07,0303410000,414513.0,215619.0
2026.07,0303420000,7342391.0,1531062.0
2026.07,0303430000,11462398.0,405.0
2026.07,0303440000,3413307.0,2474508.0
2026.07,0303451000,0.0,608623.0
2026.07,0303452000,980824.0,53056.0
2026.07,0303460000,209478.0,20770.0
2026.07,0303490000,2739.0,15.0
2026.07,0303510000,3201151.0,2760500.0
2026.07,0303530000,2880407.0,291600.0
2026.07,0303540000,18348180.0,6971321.0
2026.07,0303550000,1466549.0,155471.0
2026.07,0303570000,1214285.0,2821928.0
2026.07,0303591000,5465365.0,2178639.0
2026.07,0303592000,78024.0,1106343.0
2026.07,0303599000,483033.0,940273.0
2026.07,0303630000,7244549.0,7196592.0
2026.07,0303660000,1035863.0,222140.0
2026.07,0303670000,2114161.0,1345055.0
2026.07,0303680000,0.0,128961.0
2026.07,0303699000,0.0,296.0
2026.07,0303810000,0.0,244357.0
2026.07,0303821000,159696.0,159177.0
2026.07,0303822000,146329.0,1814479.0
2026.07,0303830000,12544967.0,5331305.0
2026.07,0303891000,4788.0,353758.0
2026.07,0303892000,1032736.0,3252494.0
2026.07,0303893010,212.0,0.0
2026.07,0303893020,0.0,12027.0
2026.07,0303893090,62264.0,373109.0
2026.07,0303894000,193190.0,72879.0
2026.07,0303895010,7091.0,507605.0
2026.07,0303895020,5590.0,3074406.0
2026.07,0303895090,24873.0,27094.0
2026.07,0303896000,8019.0,0.0
2026.07,0303898000,61284.0,203371.0
2026.07,0303899010,148.0,0.0
2026.07,0303899020,0.0,37425.0
2026.07,0303899030,113160.0,0.0
2026.07,0303899040,1259568.0,4048665.0
2026.07,0303899050,1690074.0,2803975.0
2026.07,0303899060,225425.0,2144345.0
