HSK10,수출액_USD,Master포함
0101211000,1145.0,True
0101291000,75066.0,True
0101299000,0.0,True
0102212000,658.0,True
0105111000,0.0,True
0106149000,474.0,True
0106191000,234908.0,True
0106199000,20208.0,True
0106201000,4931.0,True
0106202000,0.0,True
0106203000,18132.0,True
0106209000,94219.0,True
0106320000,187.0,True
0106490000,0.0,True
0106901000,0.0,True
0106903010,0.0,True
0106903090,0.0,True
0106909000,0.0,True
0201201000,19216.0,True
0201209000,819.0,True
0201300000,321014.0,True
0202100000,0.0,True
0202201000,1228.0,True
0202209000,12278.0,True
0202300000,48451.0,True
0203191000,0.0,True
0203199000,31055.0,True
0203291000,14918.0,True
0203299000,7064.0,True
0204220000,0.0,True
0204230000,0.0,True
0204420000,0.0,True
0204430000,0.0,True
0204500000,0.0,True
0206100000,0.0,True
0206210000,0.0,True
0206220000,0.0,True
0206291000,0.0,True
0206299000,0.0,True
0206300000,0.0,True
0206491000,0.0,True
0206499000,0.0,True
0206800000,0.0,True
0206900000,0.0,True
0207120000,4299249.0,True
0207141010,983880.0,True
0207141020,0.0,True
0207141030,67162.0,True
0207141090,501708.0,True
0207142010,0.0,True
0207142090,0.0,True
0207271000,0.0,True
0207451000,0.0,True
0208500000,0.0,True
0208909090,0.0,True
0209100000,0.0,True
0210110000,10521.0,True
0210120000,0.0,True
0210190000,612.0,True
0210999090,494.0,True
0301111000,0.0,True
0301119000,3900.0,True
0301190000,0.0,True
0301921000,0.0,True
0301922000,0.0,True
0301929090,0.0,True
0301931000,0.0,True
0301939000,0.0,True
0301950000,0.0,True
0301992000,0.0,True
0301994091,0.0,True
0301994099,14925.0,True
0301995000,1065868.0,True
0301996000,136538.0,True
0301997000,0.0,True
0301998000,2952235.0,True
0301999010,0.0,True
0301999020,0.0,True
0301999040,221.0,True
0301999059,0.0,True
0301999070,6710.0,True
0301999095,715.0,True
0301999099,114323.0,True
0302110000,0.0,True
0302140000,29476.0,True
0302210000,167811.0,True
0302230000,105.0,True
